experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mip_focus,deadline_sp,old_id
1,4,mag,2019-06-23,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
2,4,mag,2019-06-23,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
3,4,mag,2019-06-30,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
4,4,mag,2019-06-30,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
5,4,mag,2019-07-07,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
6,4,mag,2019-07-07,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
7,4,mag,2019-07-14,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
8,4,mag,2019-07-14,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
9,4,mag,2019-07-21,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
10,4,mag,2019-07-21,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
11,4,mag,2019-07-28,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
12,4,mag,2019-07-28,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
13,4,mag,2019-08-04,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
14,4,mag,2019-08-04,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
15,4,mag,2019-08-11,3,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
16,4,mag,2019-08-11,3,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
17,4,mag,2019-06-23,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
18,4,mag,2019-06-23,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
19,4,mag,2019-06-30,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
20,4,mag,2019-06-30,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
21,4,mag,2019-07-07,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
22,4,mag,2019-07-07,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
23,4,mag,2019-07-14,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
24,4,mag,2019-07-14,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
25,4,mag,2019-07-21,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
26,4,mag,2019-07-21,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
27,4,mag,2019-07-28,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
28,4,mag,2019-07-28,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
29,4,mag,2019-08-04,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
30,4,mag,2019-08-04,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
31,4,mag,2019-08-11,5,6,8,0,0.01,500,48,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,
32,4,mag,2019-08-11,5,6,8,0,0.01,500,48,0,0,0,heterogeneous,1000,1,1,1,-1,6,0,,2,
