experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,formulation,runtype,operations,ptpvsrelay,becomesavailablehours,onlineweeks,timedelta,maxnightsaway,maxrepositioningdistance,hireto,basedriverfactor,timedeltaexp
1,4,basisip,2019-06-30,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,all,8,0
2,4,basisip,2019-06-30,3,6,8.848,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,all,8,0
3,4,basisip,2019-06-30,3,6,8.848,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,corridors,8,0
4,4,basisip,2019-06-30,3,6,8.848,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,hybrid,8,0
5,4,basisip,2019-06-30,3,6,8.848,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,perimeter,8,0
6,4,basisip,2019-06-30,3,6,7.373,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,all,8,0
7,4,basisip,2019-06-30,3,6,7.373,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,corridors,8,0
8,4,basisip,2019-06-30,3,6,7.373,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,hybrid,8,0
9,4,basisip,2019-06-30,3,6,7.373,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,perimeter,8,0
10,4,basisip,2019-06-30,3,6,6.636,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,all,8,0
11,4,basisip,2019-06-30,3,6,6.636,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,corridors,8,0
12,4,basisip,2019-06-30,3,6,6.636,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,hybrid,8,0
13,4,basisip,2019-06-30,3,6,6.636,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,perimeter,8,0
14,4,basisip,2019-06-30,3,6,9.48,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,all,8,0
15,4,basisip,2019-06-30,3,6,9.48,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,corridors,8,0
16,4,basisip,2019-06-30,3,6,9.48,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,hybrid,8,0
17,4,basisip,2019-06-30,3,6,9.48,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,perimeter,8,0
18,4,basisip,2019-06-30,3,6,10.209,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,all,8,0
19,4,basisip,2019-06-30,3,6,10.209,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,corridors,8,0
20,4,basisip,2019-06-30,3,6,10.209,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,hybrid,8,0
21,4,basisip,2019-06-30,3,6,10.209,0,0.01,10,homogeneous,online,relay,1,72,3,24,1,0,perimeter,8,0
22,4,basisip,2019-06-23,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
23,4,basisip,2019-06-30,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
24,4,basisip,2019-07-07,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
25,4,basisip,2019-07-14,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
26,4,basisip,2019-07-21,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
27,4,basisip,2019-07-28,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
28,4,basisip,2019-08-04,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
29,4,basisip,2019-08-11,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
30,4,basisip,2019-06-23,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,12,1,0,all,8,1
31,4,basisip,2019-06-30,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,12,1,0,all,8,1
32,4,basisip,2019-07-07,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,12,1,0,all,8,1
33,4,basisip,2019-07-14,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,12,1,0,all,8,1
34,4,basisip,2019-06-23,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,6,1,0,all,8,1
35,4,basisip,2019-06-30,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,6,1,0,all,8,1
36,4,basisip,2019-07-07,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,6,1,0,all,8,1
37,4,basisip,2019-07-14,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,6,1,0,all,8,1
38,4,basisip,2019-06-23,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,48,1,0,all,8,1
39,4,basisip,2019-06-30,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,48,1,0,all,8,1
40,4,basisip,2019-07-07,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,48,1,0,all,8,1
41,4,basisip,2019-07-14,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,48,1,0,all,8,1
42,4,basisip,2019-06-23,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,36,1,0,all,8,1
43,4,basisip,2019-06-30,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,36,1,0,all,8,1
44,4,basisip,2019-07-07,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,36,1,0,all,8,1
45,4,basisip,2019-07-14,3,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,36,1,0,all,8,1
46,1,basisip,2019-06-23,3,6,2,0,0.01,10,homogeneous,online,relay,1,72,1.714285714,12,1,0,all,2,1
47,1,basisip,2019-06-23,3,6,2,0,0.01,10,homogeneous,online,relay,1,72,1.714285714,24,1,0,all,2,1
48,1,basisip,2019-06-23,3,6,2,0,0.01,10,homogeneous,online,relay,1,72,1.714285714,48,1,0,all,2,1
49,4,basisip,2019-06-23,8,6,8,0,0.005,10,homogeneous,online,relay,1,216,1.142857143,192,1,0,all,8,1
50,4,basisip,2019-06-30,8,6,8,0,0.005,10,homogeneous,online,relay,1,216,1.142857143,192,1,0,all,8,1
51,4,basisip,2019-07-07,8,6,8,0,0.005,10,homogeneous,online,relay,1,216,1.142857143,192,1,0,all,8,1
52,4,basisip,2019-07-14,8,6,8,0,0.005,10,homogeneous,online,relay,1,216,1.142857143,192,1,0,all,8,1
53,1,basisip,2019-06-23,3,6,2,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,2,1
54,1,basisip,2019-06-23,8,6,2,0,0.01,10,homogeneous,online,relay,1,192,1.142857143,192,1,0,all,2,1
55,4,basisip,2019-06-23,3,6,-75,0,0.01,10,homogeneous,online,relay,1,72,2,24,1,0,all,-1,0
56,4,basisip,2019-06-23,3,6,-50,0,0.01,10,homogeneous,online,relay,1,72,2,24,1,0,all,-1,0
57,4,basisip,2019-06-23,3,6,-25,0,0.01,10,homogeneous,online,relay,1,72,2,24,1,0,all,-1,0
58,4,basisip,2019-06-23,3,6,0,0,0.01,10,homogeneous,online,relay,1,72,2,24,1,0,all,-1,0
59,4,basisip,2019-06-23,3,6,25,0,0.01,10,homogeneous,online,relay,1,72,2,24,1,0,all,-1,0
60,4,basisip,2019-06-23,3,6,50,0,0.01,10,homogeneous,online,relay,1,72,2,24,1,0,all,-1,0
61,4,basisip,2019-06-23,3,6,75,0,0.01,10,homogeneous,online,relay,1,72,2,24,1,0,all,-1,0
62,4,basisip,2019-06-23,4,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
63,4,basisip,2019-06-30,4,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
64,4,basisip,2019-07-07,4,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
65,4,basisip,2019-07-14,4,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
66,4,basisip,2019-06-23,2,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
67,4,basisip,2019-06-30,2,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
68,4,basisip,2019-07-07,2,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
69,4,basisip,2019-07-14,2,6,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
70,4,basisip,2019-06-23,3,3,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
71,4,basisip,2019-06-30,3,3,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
72,4,basisip,2019-07-07,3,3,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
73,4,basisip,2019-07-14,3,3,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
74,4,basisip,2019-06-23,3,12,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
75,4,basisip,2019-06-30,3,12,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
76,4,basisip,2019-07-07,3,12,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
77,4,basisip,2019-07-14,3,12,8,0,0.01,10,homogeneous,online,relay,1,72,1.142857143,24,1,0,all,8,1
78,4,basisip,2019-06-23,4,6,8,0,0.01,10,homogeneous,online,ptp,1,72,1.142857143,24,2,300,all,8,1
79,4,basisip,2019-06-30,4,6,8,0,0.01,10,homogeneous,online,ptp,1,72,1.142857143,24,2,300,all,8,1
80,4,basisip,2019-07-07,4,6,8,0,0.01,10,homogeneous,online,ptp,1,72,1.142857143,24,2,300,all,8,1
81,4,basisip,2019-07-14,4,6,8,0,0.01,10,homogeneous,online,ptp,1,72,1.142857143,24,2,300,all,8,1
82,1,basisip,2019-06-23,5,6,2,0,0.01,10,homogeneous,online,relay,1,216,1.142857143,24,1,0,all,2,1
83,4,basisip,2019-06-23,4,6,8,0,0.01,10,homogeneous,online,relay,1,216,1.142857143,24,1,0,all,8,1
84,4,basisip,2019-06-30,4,6,8,0,0.01,10,homogeneous,online,relay,1,216,1.142857143,24,1,0,all,8,1
