experiment,cb,ab,db,totalflow,n,stdev,seed,dist,lb,ub
1,1,1,1,500,1,0,69456,normal,0,250
2,1,1,1,500,2,0,88971,normal,0,250
3,1,1,1,500,3,0,48913,normal,0,250
4,1,1,1,500,4,0,11553,normal,0,250
5,1,1,1,500,5,0,9043,normal,0,250
6,1,1,1,500,6,0,5757,normal,0,250
7,1,1,1,500,7,0,99001,normal,0,250
8,1,1,1,500,8,0,22227,normal,0,250
9,1,1,1,500,9,0,70406,normal,0,250
10,1,1,1,500,10,0,60891,normal,0,250
11,1,1,1,500,15,0,90152,normal,0,250
12,1,1,1,500,20,0,90033,normal,0,250
13,1,1,1,500,25,0,66899,normal,0,250
14,1,1,1,500,30,0,97113,normal,0,250
15,1,1,1,500,35,0,28668,normal,0,250
16,1,1,1,500,40,0,39565,normal,0,250
17,1,1,1,500,45,0,42983,normal,0,250
18,1,1,1,500,50,0,73448,normal,0,250
19,1,1,1,500,1,0.1,31136,normal,0,250
20,1,1,1,500,2,0.1,17804,normal,0,250
21,1,1,1,500,3,0.1,96173,normal,0,250
22,1,1,1,500,4,0.1,23729,normal,0,250
23,1,1,1,500,5,0.1,8181,normal,0,250
24,1,1,1,500,6,0.1,90122,normal,0,250
25,1,1,1,500,7,0.1,18760,normal,0,250
26,1,1,1,500,8,0.1,29034,normal,0,250
27,1,1,1,500,9,0.1,77310,normal,0,250
28,1,1,1,500,10,0.1,24949,normal,0,250
29,1,1,1,500,15,0.1,69125,normal,0,250
30,1,1,1,500,20,0.1,48309,normal,0,250
31,1,1,1,500,25,0.1,73301,normal,0,250
32,1,1,1,500,30,0.1,19470,normal,0,250
33,1,1,1,500,35,0.1,50712,normal,0,250
34,1,1,1,500,40,0.1,11381,normal,0,250
35,1,1,1,500,45,0.1,62823,normal,0,250
36,1,1,1,500,50,0.1,20121,normal,0,250
37,1,1,1,500,1,0.2,33771,normal,0,250
38,1,1,1,500,2,0.2,26126,normal,0,250
39,1,1,1,500,3,0.2,6095,normal,0,250
40,1,1,1,500,4,0.2,66275,normal,0,250
41,1,1,1,500,5,0.2,358,normal,0,250
42,1,1,1,500,6,0.2,11693,normal,0,250
43,1,1,1,500,7,0.2,40958,normal,0,250
44,1,1,1,500,8,0.2,66175,normal,0,250
45,1,1,1,500,9,0.2,7187,normal,0,250
46,1,1,1,500,10,0.2,1598,normal,0,250
47,1,1,1,500,15,0.2,46586,normal,0,250
48,1,1,1,500,20,0.2,20925,normal,0,250
49,1,1,1,500,25,0.2,6405,normal,0,250
50,1,1,1,500,30,0.2,38864,normal,0,250
51,1,1,1,500,35,0.2,75724,normal,0,250
52,1,1,1,500,40,0.2,45870,normal,0,250
53,1,1,1,500,45,0.2,62771,normal,0,250
54,1,1,1,500,50,0.2,7445,normal,0,250
55,1,1,1,500,1,0.3,43133,normal,0,250
56,1,1,1,500,2,0.3,8277,normal,0,250
57,1,1,1,500,3,0.3,36993,normal,0,250
58,1,1,1,500,4,0.3,38991,normal,0,250
59,1,1,1,500,5,0.3,43338,normal,0,250
60,1,1,1,500,6,0.3,34133,normal,0,250
61,1,1,1,500,7,0.3,82389,normal,0,250
62,1,1,1,500,8,0.3,4754,normal,0,250
63,1,1,1,500,9,0.3,79986,normal,0,250
64,1,1,1,500,10,0.3,27754,normal,0,250
65,1,1,1,500,15,0.3,72135,normal,0,250
66,1,1,1,500,20,0.3,3758,normal,0,250
67,1,1,1,500,25,0.3,69868,normal,0,250
68,1,1,1,500,30,0.3,33623,normal,0,250
69,1,1,1,500,35,0.3,93812,normal,0,250
70,1,1,1,500,40,0.3,16837,normal,0,250
71,1,1,1,500,45,0.3,48103,normal,0,250
72,1,1,1,500,50,0.3,24366,normal,0,250
73,1,1,1,500,1,0.4,32123,normal,0,250
74,1,1,1,500,2,0.4,22803,normal,0,250
75,1,1,1,500,3,0.4,43225,normal,0,250
76,1,1,1,500,4,0.4,20434,normal,0,250
77,1,1,1,500,5,0.4,72977,normal,0,250
78,1,1,1,500,6,0.4,98835,normal,0,250
79,1,1,1,500,7,0.4,29734,normal,0,250
80,1,1,1,500,8,0.4,7671,normal,0,250
81,1,1,1,500,9,0.4,69623,normal,0,250
82,1,1,1,500,10,0.4,1271,normal,0,250
83,1,1,1,500,15,0.4,99089,normal,0,250
84,1,1,1,500,20,0.4,20785,normal,0,250
85,1,1,1,500,25,0.4,30793,normal,0,250
86,1,1,1,500,30,0.4,60494,normal,0,250
87,1,1,1,500,35,0.4,66057,normal,0,250
88,1,1,1,500,40,0.4,87455,normal,0,250
89,1,1,1,500,45,0.4,14149,normal,0,250
90,1,1,1,500,50,0.4,88919,normal,0,250
91,1,1,1,500,1,0.5,57977,normal,0,250
92,1,1,1,500,2,0.5,7518,normal,0,250
93,1,1,1,500,3,0.5,10235,normal,0,250
94,1,1,1,500,4,0.5,72217,normal,0,250
95,1,1,1,500,5,0.5,526,normal,0,250
96,1,1,1,500,6,0.5,45318,normal,0,250
97,1,1,1,500,7,0.5,27954,normal,0,250
98,1,1,1,500,8,0.5,67059,normal,0,250
99,1,1,1,500,9,0.5,46273,normal,0,250
100,1,1,1,500,10,0.5,97344,normal,0,250
101,1,1,1,500,15,0.5,38687,normal,0,250
102,1,1,1,500,20,0.5,12347,normal,0,250
103,1,1,1,500,25,0.5,97416,normal,0,250
104,1,1,1,500,30,0.5,44314,normal,0,250
105,1,1,1,500,35,0.5,49246,normal,0,250
106,1,1,1,500,40,0.5,41686,normal,0,250
107,1,1,1,500,45,0.5,75222,normal,0,250
108,1,1,1,500,50,0.5,2255,normal,0,250
109,1,1,1,500,1,0.6,82530,normal,0,250
110,1,1,1,500,2,0.6,75090,normal,0,250
111,1,1,1,500,3,0.6,70076,normal,0,250
112,1,1,1,500,4,0.6,5399,normal,0,250
113,1,1,1,500,5,0.6,26894,normal,0,250
114,1,1,1,500,6,0.6,39272,normal,0,250
115,1,1,1,500,7,0.6,76612,normal,0,250
116,1,1,1,500,8,0.6,52562,normal,0,250
117,1,1,1,500,9,0.6,27220,normal,0,250
118,1,1,1,500,10,0.6,41569,normal,0,250
119,1,1,1,500,15,0.6,72297,normal,0,250
120,1,1,1,500,20,0.6,45634,normal,0,250
121,1,1,1,500,25,0.6,52331,normal,0,250
122,1,1,1,500,30,0.6,82272,normal,0,250
123,1,1,1,500,35,0.6,38600,normal,0,250
124,1,1,1,500,40,0.6,98408,normal,0,250
125,1,1,1,500,45,0.6,45197,normal,0,250
126,1,1,1,500,50,0.6,21535,normal,0,250
127,1,1,1,500,1,0.7,10052,normal,0,250
128,1,1,1,500,2,0.7,12188,normal,0,250
129,1,1,1,500,3,0.7,51270,normal,0,250
130,1,1,1,500,4,0.7,91357,normal,0,250
131,1,1,1,500,5,0.7,17235,normal,0,250
132,1,1,1,500,6,0.7,70381,normal,0,250
133,1,1,1,500,7,0.7,35318,normal,0,250
134,1,1,1,500,8,0.7,80929,normal,0,250
135,1,1,1,500,9,0.7,91105,normal,0,250
136,1,1,1,500,10,0.7,55502,normal,0,250
137,1,1,1,500,15,0.7,1104,normal,0,250
138,1,1,1,500,20,0.7,16499,normal,0,250
139,1,1,1,500,25,0.7,77035,normal,0,250
140,1,1,1,500,30,0.7,23683,normal,0,250
141,1,1,1,500,35,0.7,63117,normal,0,250
142,1,1,1,500,40,0.7,61753,normal,0,250
143,1,1,1,500,45,0.7,58291,normal,0,250
144,1,1,1,500,50,0.7,91892,normal,0,250
145,1,1,1,500,1,0.8,89734,normal,0,250
146,1,1,1,500,2,0.8,29879,normal,0,250
147,1,1,1,500,3,0.8,75049,normal,0,250
148,1,1,1,500,4,0.8,89782,normal,0,250
149,1,1,1,500,5,0.8,47492,normal,0,250
150,1,1,1,500,6,0.8,49616,normal,0,250
151,1,1,1,500,7,0.8,45701,normal,0,250
152,1,1,1,500,8,0.8,52859,normal,0,250
153,1,1,1,500,9,0.8,81170,normal,0,250
154,1,1,1,500,10,0.8,10335,normal,0,250
155,1,1,1,500,15,0.8,38543,normal,0,250
156,1,1,1,500,20,0.8,42133,normal,0,250
157,1,1,1,500,25,0.8,40566,normal,0,250
158,1,1,1,500,30,0.8,58434,normal,0,250
159,1,1,1,500,35,0.8,35093,normal,0,250
160,1,1,1,500,40,0.8,2036,normal,0,250
161,1,1,1,500,45,0.8,41559,normal,0,250
162,1,1,1,500,50,0.8,38285,normal,0,250
163,1,1,1,500,1,0.9,35389,normal,0,250
164,1,1,1,500,2,0.9,51167,normal,0,250
165,1,1,1,500,3,0.9,69565,normal,0,250
166,1,1,1,500,4,0.9,39415,normal,0,250
167,1,1,1,500,5,0.9,68595,normal,0,250
168,1,1,1,500,6,0.9,84039,normal,0,250
169,1,1,1,500,7,0.9,34196,normal,0,250
170,1,1,1,500,8,0.9,1566,normal,0,250
171,1,1,1,500,9,0.9,16698,normal,0,250
172,1,1,1,500,10,0.9,84841,normal,0,250
173,1,1,1,500,15,0.9,9652,normal,0,250
174,1,1,1,500,20,0.9,13200,normal,0,250
175,1,1,1,500,25,0.9,97254,normal,0,250
176,1,1,1,500,30,0.9,25435,normal,0,250
177,1,1,1,500,35,0.9,26033,normal,0,250
178,1,1,1,500,40,0.9,25463,normal,0,250
179,1,1,1,500,45,0.9,73084,normal,0,250
180,1,1,1,500,50,0.9,49881,normal,0,250
181,1,1,1,500,1,1,33034,normal,0,250
182,1,1,1,500,2,1,90104,normal,0,250
183,1,1,1,500,3,1,83430,normal,0,250
184,1,1,1,500,4,1,96755,normal,0,250
185,1,1,1,500,5,1,73019,normal,0,250
186,1,1,1,500,6,1,37417,normal,0,250
187,1,1,1,500,7,1,5971,normal,0,250
188,1,1,1,500,8,1,19114,normal,0,250
189,1,1,1,500,9,1,21565,normal,0,250
190,1,1,1,500,10,1,65405,normal,0,250
191,1,1,1,500,15,1,68805,normal,0,250
192,1,1,1,500,20,1,70046,normal,0,250
193,1,1,1,500,25,1,85547,normal,0,250
194,1,1,1,500,30,1,70522,normal,0,250
195,1,1,1,500,35,1,49203,normal,0,250
196,1,1,1,500,40,1,41185,normal,0,250
197,1,1,1,500,45,1,26030,normal,0,250
198,1,1,1,500,50,1,25059,normal,0,250
199,1,1,1,500,1,0,79775,normal,0,250
200,1,1,1,500,2,0,44069,normal,0,250
201,1,1,1,500,3,0,26824,normal,0,250
202,1,1,1,500,4,0,62329,normal,0,250
203,1,1,1,500,5,0,68695,normal,0,250
204,1,1,1,500,6,0,85930,normal,0,250
205,1,1,1,500,7,0,3163,normal,0,250
206,1,1,1,500,8,0,89267,normal,0,250
207,1,1,1,500,9,0,49654,normal,0,250
208,1,1,1,500,10,0,31988,normal,0,250
209,1,1,1,500,1,0.1,6956,normal,0,250
210,1,1,1,500,2,0.1,76430,normal,0,250
211,1,1,1,500,3,0.1,72555,normal,0,250
212,1,1,1,500,4,0.1,81478,normal,0,250
213,1,1,1,500,5,0.1,240,normal,0,250
214,1,1,1,500,6,0.1,76871,normal,0,250
215,1,1,1,500,7,0.1,36452,normal,0,250
216,1,1,1,500,8,0.1,59740,normal,0,250
217,1,1,1,500,9,0.1,10506,normal,0,250
218,1,1,1,500,10,0.1,69792,normal,0,250
219,1,1,1,500,1,0.2,3611,normal,0,250
220,1,1,1,500,2,0.2,6977,normal,0,250
221,1,1,1,500,3,0.2,972,normal,0,250
