number,code,name,loc,lat_coord,long_coord,velocity_category,salem_proximity_rnk
60,SXVP1,salem,tdpd8,11.71142578,78.06884766,2,1
40,KRIP1,KRISHNAGIRI,tdpx7,12.54638672,78.20068359,2,2
16,BLRP2,Bangalore 2,tdr2f,12.81005859,77.80517578,2,3
44,MULP1,"Mulbagal, Karnataka",tdrg4,13.20556641,78.50830078,2,4
15,BLRP1,Bangalore,tdqfz,13.16162109,77.32177734,2,5
8,BAGP1,"Bagepalli,Karnataka",tdrq6,13.77685547,77.80517578,2,6
42,MAAP1,Chennai,tf2fr,13.07373047,80.13427734,2,7
27,GDRP1,"Gudur, Nellore",tf8b3,14.12841797,79.87060547,1,8
21,CTAP1,Chitradurga,tdw31,14.26025391,76.35498047,1,9
29,GTYP1,Gooty,tdxjw,15.05126953,77.62939453,2,10
41,KRNP1,Kurnool,tdz6x,15.93017578,78.02490234,2,11
30,HBXP1,Hubli,tdtrh,15.31494141,75.08056641,2,12
52,PGRP1,Piduguralla,tfbvd,16.45751953,79.91455078,2,13
64,VGAP1,Vijayawada,tfcmd,16.45751953,80.61767578,2,14
11,BGMP1,Belgaum,tdv40,15.84228516,74.55322266,2,15
31,HYDP1,Hyderabad,tep9v,17.20458984,78.28857422,2,16
32,HYDP2,Patancheru,tepeg,17.55615234,78.20068359,2,17
49,NPWP1,"Nipani, Karnataka",tduy5,16.54541016,74.33349609,2,18
62,TPNP1,TOOPRAN,tepv9,17.86376953,78.46435547,1,19
55,SATP1,Sathupally,tg19b,17.20458984,80.88134766,2,20
57,SSEP1,Solapur,tejuv,17.73193359,75.82763672,2,21
58,STRP1,SATARA,tehsu,17.73193359,74.02587891,2,22
47,NDCP1,NANDED,tequz,19.13818359,77.32177734,2,23
66,VTZP1,Vishakhapatnam,tg4ur,17.64404297,82.94677734,2,24
1,ADBP1,Adilabad,terz6,19.57763672,78.50830078,1,25
53,PNQP1,PUNE,tek6j,18.65478516,73.71826172,2,26
7,AWBP1,"Aurangabad ,Maharashtra",tet8u,19.84130859,75.43212891,2,27
43,MLGP1,"Malegaon Jahangir, Maharastra",tewep,20.23681641,76.97021484,2,28
17,BOMP1,BHIWANDI,te7vq,19.22607422,73.05908203,2,29
46,NAGP1,Nagpur-P1,tgb05,21.11572266,78.90380859,1,30
25,DHIP1,Dhule,tetnt,20.85205078,74.77294922,2,31
63,VAPP1,VAPI,teegd,20.32470703,72.88330078,2,32
9,BAMP1,Berhampur,tgkm9,19.27001953,84.79248047,2,33
54,RPRP1,Raipur_PitStop,tgcby,21.24755859,81.49658203,2,34
59,STVP1,Surat-P1,tegbk,21.15966797,72.97119141,2,35
33,IDRP1,Indore-P1,tsjby,22.65380859,75.87158203,1,36
50,NURP1,Narsinghpur - P1,tu066,22.91748047,79.21142578,1,37
56,SBPP1,"Sambalpur, Odisha",tgg9u,21.42333984,83.86962891,2,38
10,BDQP1,BARODA,teunf,22.30224609,73.23486328,2,39
5,AMDP1,Ahmedabad,ts5d5,22.87353516,72.57568359,2,40
37,KDJP1,"Keonjhar, Odisha",tgugw,21.73095703,85.71533203,2,41
12,BHCP1,Bhadrak,tgv81,21.11572266,86.55029297,2,42
38,KHRP1,KHERWARA,tsk2e,24.01611328,73.63037109,2,43
20,CORP1,Chittorgarh,tsmj3,24.85107422,74.59716797,2,44
36,JHSP1,Jhansi,tsxbc,25.46630859,78.46435547,1,45
34,IXWP1,Jamshedpur-P1,tuj3g,22.82958984,86.28662109,2,46
13,BHLP1,BHILWARA,tst00,25.33447266,74.55322266,2,47
65,VNSP1,varanasi,tu7pe,25.24658203,83.12255859,2,48
6,AUBP1,"Aurangabad,Bihar",tu7uz,24.76318359,84.35302734,2,49
39,KNUP1,KANPUR,tu9jr,26.25732422,80.48583984,2,50
22,DBDP1,DHANBAD,tujrx,23.84033203,86.46240234,2,51
19,CCUP1,kolkata-P1,tun8x,22.60986328,88.22021484,2,52
61,SYNP1,Saiyan - P1,tsz3t,27.00439453,77.93701172,2,53
35,JAIP1,JAIPUR-P1,tsvbc,26.87255859,75.65185547,2,54
2,AGRP1,Agra,tszdf,27.22412109,78.15673828,2,55
3,AGRP2,Agra - 2,tsz76,27.31201172,77.80517578,2,56
28,GKPP1,Gorakhpur,tug0j,26.74072266,83.21044922,2,57
18,BPCP1,"Baharampore, West bengal",tuqb8,24.01611328,88.26416016,2,58
45,MZUP1,Muzaffarpur,tustj,26.21337891,85.31982422,2,59
23,DELP1,PATAUDI,ttn8u,28.27880859,76.83837891,1,60
24,DELP3,Hamidpur,ttngg,28.80615234,77.14599609,2,61
51,PGHP1,Pantnagar,tv0s3,28.89404297,79.51904297,2,62
48,NJPP1,Siliguri,tuwzs,26.65283203,88.43994141,2,63
4,AMBP1,Ambala,ttqsh,30.25634766,76.83837891,2,64
14,BKSP1,Bakshirhat,tuxvd,26.30126953,89.75830078,2,65
26,GAUP1,Guwahati,wh9jx,26.30126953,91.73583984,2,66
