X.SXVP1.,X.SXVP1..1,X0,startloc,endloc,,
SXVP1,SXVP1,0,1,1,1_1,0
SXVP1,KRIP1,94.05205987,1,2,1_2,94.05205987
SXVP1,BLRP2,125.6224314,1,3,1_3,125.6224314
SXVP1,MULP1,173.056724,1,4,1_4,173.056724
SXVP1,BLRP1,180.7175243,1,5,1_5,180.7175243
SXVP1,BAGP1,231.7069717,1,6,1_6,231.7069717
SXVP1,MAAP1,270.9805777,1,7,1_7,270.9805777
SXVP1,GDRP1,332.583665,1,8,1_8,332.583665
SXVP1,CTAP1,339.2183154,1,9,1_9,339.2183154
SXVP1,GTYP1,374.8371001,1,10,1_10,374.8371001
SXVP1,KRNP1,469.6715957,1,11,1_11,469.6715957
SXVP1,HBXP1,515.2768248,1,12,1_12,515.2768248
SXVP1,PGRP1,564.6665608,1,13,1_13,564.6665608
SXVP1,VGAP1,595.6918349,1,14,1_14,595.6918349
SXVP1,BGMP1,596.5601005,1,15,1_15,596.5601005
SXVP1,HYDP1,611.9784179,1,16,1_16,611.9784179
SXVP1,HYDP2,650.812368,1,17,1_17,650.812368
SXVP1,NPWP1,672.3755687,1,18,1_18,672.3755687
SXVP1,TPNP1,686.2229516,1,19,1_19,686.2229516
SXVP1,SATP1,682.489027,1,20,1_20,682.489027
SXVP1,SSEP1,712.2979411,1,21,1_21,712.2979411
SXVP1,STRP1,799.0474327,1,22,1_22,799.0474327
SXVP1,NDCP1,830.646711,1,23,1_23,830.646711
SXVP1,VTZP1,843.6971417,1,24,1_24,843.6971417
SXVP1,ADBP1,876.9608347,1,25,1_25,876.9608347
SXVP1,PNQP1,903.114386,1,26,1_26,903.114386
SXVP1,AWBP1,948.018572,1,27,1_27,948.018572
SXVP1,MLGP1,956.3186916,1,28,1_28,956.3186916
SXVP1,BOMP1,994.0926698,1,29,1_29,994.0926698
SXVP1,NAGP1,1050.702025,1,30,1_30,1050.702025
SXVP1,DHIP1,1076.641818,1,31,1_31,1076.641818
SXVP1,VAPP1,1107.498167,1,32,1_32,1107.498167
SXVP1,BAMP1,1107.862106,1,33,1_33,1107.862106
SXVP1,RPRP1,1122.716261,1,34,1_34,1122.716261
SXVP1,STVP1,1183.941101,1,35,1_35,1183.941101
SXVP1,IDRP1,1240.275174,1,36,1_36,1240.275174
SXVP1,NURP1,1253.373341,1,37,1_37,1253.373341
SXVP1,SBPP1,1245.328228,1,38,1_38,1245.328228
SXVP1,BDQP1,1286.042488,1,39,1_39,1286.042488
SXVP1,AMDP1,1372.434385,1,40,1_40,1372.434385
SXVP1,KDJP1,1380.771484,1,41,1_41,1380.771484
SXVP1,BHCP1,1383.442077,1,42,1_42,1383.442077
SXVP1,KHRP1,1447.898273,1,43,1_43,1447.898273
SXVP1,CORP1,1507.825577,1,44,1_44,1507.825577
SXVP1,JHSP1,1531.811724,1,45,1_45,1531.811724
SXVP1,IXWP1,1513.898825,1,46,1_46,1513.898825
SXVP1,BHLP1,1561.033722,1,47,1_47,1561.033722
SXVP1,VNSP1,1597.915367,1,48,1_48,1597.915367
SXVP1,AUBP1,1596.880458,1,49,1_49,1596.880458
SXVP1,KNUP1,1639.028447,1,50,1_50,1639.028447
SXVP1,DBDP1,1615.816388,1,51,1_51,1615.816388
SXVP1,CCUP1,1622.688709,1,52,1_52,1622.688709
SXVP1,SYNP1,1702.528339,1,53,1_53,1702.528339
SXVP1,JAIP1,1706.64408,1,54,1_54,1706.64408
SXVP1,AGRP1,1726.957732,1,55,1_55,1726.957732
SXVP1,AGRP2,1736.936114,1,56,1_56,1736.936114
SXVP1,GKPP1,1757.586992,1,57,1_57,1757.586992
SXVP1,BPCP1,1742.741521,1,58,1_58,1742.741521
SXVP1,MZUP1,1784.602649,1,59,1_59,1784.602649
SXVP1,DELP1,1848.788008,1,60,1_60,1848.788008
SXVP1,DELP3,1905.464604,1,61,1_61,1905.464604
SXVP1,PGHP1,1918.755229,1,62,1_62,1918.755229
SXVP1,NJPP1,1986.503684,1,63,1_63,1986.503684
SXVP1,AMBP1,2068.400349,1,64,1_64,2068.400349
SXVP1,BKSP1,2034.734839,1,65,1_65,2034.734839
SXVP1,GAUP1,2165.891886,1,66,1_66,2165.891886
KRIP1,SXVP1,94.05205987,2,1,2_1,94.05205987
KRIP1,KRIP1,0,2,2,2_2,0
KRIP1,BLRP2,52.02696769,2,3,2_3,52.02696769
KRIP1,MULP1,80.61923519,2,4,2_4,80.61923519
KRIP1,BLRP1,117.432144,2,5,2_5,117.432144
KRIP1,BAGP1,143.5328216,2,6,2_6,143.5328216
KRIP1,MAAP1,217.9513702,2,7,2_7,217.9513702
KRIP1,GDRP1,252.4588071,2,8,2_8,252.4588071
KRIP1,CTAP1,276.3123927,2,9,2_9,276.3123927
KRIP1,GTYP1,285.6099395,2,10,2_10,285.6099395
KRIP1,KRNP1,377.17356,2,11,2_11,377.17356
KRIP1,HBXP1,456.7473264,2,12,2_12,456.7473264
KRIP1,PGRP1,472.9471629,2,13,2_13,472.9471629
KRIP1,VGAP1,507.3472778,2,14,2_14,507.3472778
KRIP1,BGMP1,538.0825565,2,15,2_15,538.0825565
KRIP1,HYDP1,518.6553628,2,16,2_16,518.6553628
KRIP1,HYDP2,557.7065045,2,17,2_17,557.7065045
KRIP1,NPWP1,609.7134043,2,18,2_18,609.7134043
KRIP1,TPNP1,592.6283583,2,19,2_19,592.6283583
KRIP1,SATP1,593.3328957,2,20,2_20,593.3328957
KRIP1,SSEP1,631.0475987,2,21,2_21,631.0475987
KRIP1,STRP1,730.984276,2,22,2_22,730.984276
KRIP1,NDCP1,739.8282813,2,23,2_23,739.8282813
KRIP1,VTZP1,762.922913,2,24,2_24,762.922913
KRIP1,ADBP1,783.4363503,2,25,2_25,783.4363503
KRIP1,PNQP1,832.5435297,2,26,2_26,832.5435297
KRIP1,AWBP1,864.2672168,2,27,2_27,864.2672168
KRIP1,MLGP1,866.1365381,2,28,2_28,866.1365381
KRIP1,BOMP1,924.9790254,2,29,2_29,924.9790254
KRIP1,NAGP1,956.902189,2,30,2_30,956.902189
KRIP1,DHIP1,994.0856147,2,31,2_31,994.0856147
KRIP1,VAPP1,1035.141112,2,32,2_32,1035.141112
KRIP1,BAMP1,1028.368684,2,33,2_33,1028.368684
KRIP1,RPRP1,1030.15792,2,34,2_34,1030.15792
KRIP1,STVP1,1108.642123,2,35,2_35,1108.642123
KRIP1,IDRP1,1151.930438,2,36,2_36,1151.930438
KRIP1,NURP1,1159.496295,2,37,2_37,1159.496295
KRIP1,SBPP1,1157.540792,2,38,2_38,1157.540792
KRIP1,BDQP1,1206.996257,2,39,2_39,1206.996257
KRIP1,AMDP1,1294.70629,2,40,2_40,1294.70629
KRIP1,KDJP1,1297.168816,2,41,2_41,1297.168816
KRIP1,BHCP1,1303.692944,2,42,2_42,1303.692944
KRIP1,KHRP1,1364.807601,2,43,2_43,1364.807601
KRIP1,CORP1,1421.267892,2,44,2_44,1421.267892
KRIP1,JHSP1,1438.561909,2,45,2_45,1438.561909
KRIP1,IXWP1,1429.433073,2,46,2_46,1429.433073
KRIP1,BHLP1,1474.23265,2,47,2_47,1474.23265
KRIP1,VNSP1,1505.374475,2,48,2_48,1505.374475
KRIP1,AUBP1,1506.176762,2,49,2_49,1506.176762
KRIP1,KNUP1,1544.977016,2,50,2_50,1544.977016
KRIP1,DBDP1,1529.965601,2,51,2_51,1529.965601
KRIP1,CCUP1,1543.276583,2,52,2_52,1543.276583
KRIP1,SYNP1,1609.756656,2,53,2_53,1609.756656
KRIP1,JAIP1,1616.900481,2,54,2_54,1616.900481
KRIP1,AGRP1,1633.988643,2,55,2_55,1633.988643
KRIP1,AGRP2,1644.283597,2,56,2_56,1644.283597
KRIP1,GKPP1,1664.585302,2,57,2_57,1664.585302
KRIP1,BPCP1,1660.310829,2,58,2_58,1660.310829
KRIP1,MZUP1,1694.127902,2,59,2_59,1694.127902
KRIP1,DELP1,1757.100757,2,60,2_60,1757.100757
KRIP1,DELP3,1813.398233,2,61,2_61,1813.398233
KRIP1,PGHP1,1825.003949,2,62,2_62,1825.003949
KRIP1,NJPP1,1900.212128,2,63,2_63,1900.212128
KRIP1,AMBP1,1976.532343,2,64,2_64,1976.532343
KRIP1,BKSP1,1951.098837,2,65,2_65,1951.098837
KRIP1,GAUP1,2085.576777,2,66,2_66,2085.576777
BLRP2,SXVP1,125.6224314,3,1,3_1,125.6224314
BLRP2,KRIP1,52.02696769,3,2,3_2,52.02696769
BLRP2,BLRP2,0,3,3,3_3,0
BLRP2,MULP1,88.0628709,3,4,3_4,88.0628709
BLRP2,BLRP1,65.43250029,3,5,3_5,65.43250029
BLRP2,BAGP1,107.6275717,3,6,3_6,107.6275717
BLRP2,MAAP1,254.3961352,3,7,3_7,254.3961352
BLRP2,GDRP1,267.4645975,3,8,3_8,267.4645975
BLRP2,CTAP1,225.1607715,3,9,3_9,225.1607715
BLRP2,GTYP1,250.2220457,3,10,3_10,250.2220457
BLRP2,KRNP1,348.1505926,3,11,3_11,348.1505926
BLRP2,HBXP1,405.3512329,3,12,3_12,405.3512329
BLRP2,PGRP1,465.2713751,3,13,3_13,465.2713751
BLRP2,VGAP1,506.5681237,3,14,3_14,506.5681237
BLRP2,BGMP1,486.7689145,3,15,3_15,486.7689145
BLRP2,HYDP1,491.9681484,3,16,3_16,491.9681484
BLRP2,HYDP2,530.0583081,3,17,3_17,530.0583081
BLRP2,NPWP1,559.1359079,3,18,3_18,559.1359079
BLRP2,TPNP1,567.0286936,3,19,3_19,567.0286936
BLRP2,SATP1,590.4872448,3,20,3_20,590.4872448
BLRP2,SSEP1,587.6114491,3,21,3_21,587.6114491
BLRP2,STRP1,681.7781427,3,22,3_22,681.7781427
BLRP2,NDCP1,706.3661383,3,23,3_23,706.3661383
BLRP2,VTZP1,770.9598886,3,24,3_24,770.9598886
BLRP2,ADBP1,757.1282192,3,25,3_25,757.1282192
BLRP2,PNQP1,784.1706151,3,26,3_26,784.1706151
BLRP2,AWBP1,822.717435,3,27,3_27,822.717435
BLRP2,MLGP1,831.5555229,3,28,3_28,831.5555229
BLRP2,BOMP1,876.1935806,3,29,3_29,876.1935806
BLRP2,NAGP1,931.9731955,3,30,3_30,931.9731955
BLRP2,DHIP1,951.6685716,3,31,3_31,951.6685716
BLRP2,VAPP1,987.4850687,3,32,3_32,987.4850687
BLRP2,BAMP1,1036.939654,3,33,3_33,1036.939654
BLRP2,RPRP1,1017.989716,3,34,3_34,1017.989716
BLRP2,STVP1,1062.1944,3,35,3_35,1062.1944
BLRP2,IDRP1,1114.798655,3,36,3_36,1114.798655
