experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mip_focus,deadline_sp,percentnightshift
1,4,mag,2019-06-23,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.5
2,4,mag,2019-06-23,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.4
3,4,mag,2019-06-23,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.3
4,4,mag,2019-06-23,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.2
5,4,mag,2019-06-23,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.1
6,4,mag,2019-06-23,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0
7,4,mag,2019-06-30,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.5
8,4,mag,2019-06-30,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.4
9,4,mag,2019-06-30,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.3
10,4,mag,2019-06-30,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.2
11,4,mag,2019-06-30,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.1
12,4,mag,2019-06-30,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0
13,4,mag,2019-07-07,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.5
14,4,mag,2019-07-07,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.4
15,4,mag,2019-07-07,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.3
16,4,mag,2019-07-07,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.2
17,4,mag,2019-07-07,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.1
18,4,mag,2019-07-07,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0
19,4,mag,2019-07-14,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.5
20,4,mag,2019-07-14,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.4
21,4,mag,2019-07-14,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.3
22,4,mag,2019-07-14,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.2
23,4,mag,2019-07-14,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0.1
24,4,mag,2019-07-14,5,6,7.7,0,0.01,500,30,0.01,0,0,heterogenous,1000,1,1,1,-1,6,0,,1,0
25,4,mag,2019-06-23,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.5
26,4,mag,2019-06-23,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.4
27,4,mag,2019-06-23,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.3
28,4,mag,2019-06-23,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.2
29,4,mag,2019-06-23,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.1
30,4,mag,2019-06-23,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0
31,4,mag,2019-06-30,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.5
32,4,mag,2019-06-30,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.4
33,4,mag,2019-06-30,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.3
34,4,mag,2019-06-30,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.2
35,4,mag,2019-06-30,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.1
36,4,mag,2019-06-30,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0
37,4,mag,2019-07-07,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.5
38,4,mag,2019-07-07,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.4
39,4,mag,2019-07-07,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.3
40,4,mag,2019-07-07,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.2
41,4,mag,2019-07-07,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.1
42,4,mag,2019-07-07,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0
43,4,mag,2019-07-14,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.5
44,4,mag,2019-07-14,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.4
45,4,mag,2019-07-14,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.3
46,4,mag,2019-07-14,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.2
47,4,mag,2019-07-14,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.1
48,4,mag,2019-07-14,5,6,8,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0
49,1,mag,2019-07-14,5,6,1.7,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.1
50,1,mag,2019-07-14,5,6,1.7,0,0.01,500,0,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,0.5
