,trip_code,vehicle_number,vehicle_type,arrival_timestamp,departure_timestamp,client_id,ps_seq,placement_location,destination_location
0,CCUP1-MAAP1,3,TYPE_32,1566043047572.0,1565806230000.0,31,BHCP1-BAMP1-VTZP1-VGAP1-GDRP1,tuncn,tf34c
1,PNQP1-MAAP1,7,TYPE_32,1565263476000.0,1564994750000.0,552,PNQP1-BGMP1-HBXP1-CTAP1-KRIP1,tek6x,tf2c5
2,MNGC1-CCUP1,9,TYPE_32,1566332792000.0,1566230196000.0,784,DBDP1,tut82,tunb1
3,BDQP1-MAAP1,10,TYPE_32,1566523145000.0,1566295986000.0,943,BDQP1-VAPP1-PNQP1-BGMP1-CTAP1-KRIP1,tsh0p,tf2bk
4,DELP1,11,TYPE_22,1565012443000.0,1565011616212.0,393,DELP1,ttncb,ttn8u
5,BDQP1-MAAP1,12,TYPE_32,1566416908113.0,1566044881000.0,943,BDQP1-VAPP1-PNQP1-NPWP1-HBXP1-CTAP1-KRIP1-HBXP1-CTAP1-KRIP1,tsh0p,tf2bk
6,CCUP1-JAIP1,15,TYPE_32,1565734832386.0,1565481853242.0,446,DBDP1-AUBP1-VNSP1-KNUP1-AGRP1,tgyt7,tsvch
7,BOMP1-BLRP1,17,TYPE_32,1565775361748.0,1565633781000.0,446,SSEP1-CTAP1,te7vw,tdr48
8,BOMP1-CCUP1,18,TYPE_32,1565039590000.0,1564821123000.0,84,AWBP1-MLGP1-NAGP1-RPRP1-SBPP1-KDJP1,te7yp,tun8x
9,RPRP1-HYDP2,19,TYPE_32,1565696379314.0,1565578147067.0,446,NAGP1-ADBP1-ADBP1,tgc84,tepu3
10,AMBP1-CCUP1,21,TYPE_32,1565545253000.0,1565107239000.0,46,DELP1-AGRP1-KNUP1-AUBP1-DBDP1,ttqty,tunc4
11,HYDP1-VTZP1,26,TYPE_32,1565953825000.0,1565408544000.0,1213,HYDP1-SATP1-VTZP1,tepf8,tg7m6
12,BLRP2-STVC1-AMDP1,28,TYPE_32,1565471109000.0,1565222213000.0,84,BLRP2-CTAP1-SSEP1-DHIP1-STVP1,tdr3f,ts5d9
13,BLRP2-NAGC1-IDRP1,29,TYPE_32,1565755064708.0,1565569622000.0,84,GTYP1-TPNP1-ADBP1-NAGP1,tdr3f,tsn1b
14,IDRP1-NAGC1-BLRP2,31,TYPE_32,1566591536661.0,1566434316000.0,84,NAGP1-ADBP1-TPNP1-GTYP1,tsn1b,tdr3f
15,AMBP1-DELP1,32,TYPE_32,1565139814466.0,1565116202000.0,1667,AMBP1,ttqsh,ttn9k
16,AMDP1-DELP1,33,TYPE_22,1565227854000.0,1565153231000.0,511,AMDP1-KHRP1-BHLP1-JAIP1,ts5d9,ttn9k
17,BOMP1-NJPC1-GAUP1,35,TYPE_22,1566153797000.0,1565658992841.0,84,BOMP1-DHIP1-IDRP1-JHSP1-KNUP1-GKPP1-MZUP1-NJPP1,te7yp,wh9jn
18,NAGP1-HYDP1,36,TYPE_32,1565567293000.0,1565492252629.0,189,NAGP1-ADBP1,tgb25,tepfe
19,BOMP1-BLRP2,38,TYPE_32,1564893931048.0,1564781527895.0,84,BOMP1-STRP1-BGMP1-CTAP1,te7yp,tdr3f
20,BOMP1-AMDP1,40,TYPE_32,1565531362000.0,1565451066000.0,24,BOMP1-STVP1,te7ug,ts59s
21,HYDP1-BLRP1,41,TYPE_32,1565878292904.0,1565744074871.0,25,HYDP1-GTYP1,tg0nf,tdr6h
22,MAAP1-PNQP1,43,TYPE_32,1565787096000.0,1565603979000.0,1759,MAAP1-KRIP1-CTAP1-SSEP1,tf2bk,tekgz
23,JAIP1-BOMP1,47,TYPE_22,1566514086000.0,1566397436000.0,84,JAIP1-BHLP1-KHRP1-VAPP1,tsvc7,te7yp
24,HYDP1-MBNC1-KRNC1-ATPC1-BLRP2,48,TYPE_32,1565302003869.0,1565233913000.0,84,HYDP1-GTYP1,tepu4,tdr3f
25,DELC1-DELP1,49,TYPE_32,1564869198000.0,1564863809464.0,393,DELP1,ttncc,ttn8u
26,BOMP1-BLRP1,53,TYPE_22,1566201365256.0,1565692454941.0,446,STRP1-BGMP1-CTAP1-BLRP1,te7yn,tdr43
27,CCUP1-MAAP1,54,TYPE_32,1566100435474.0,1565797567740.0,446,BHCP1-BAMP1-VTZP1-VGAP1-GDRP1-MAAP1,tunbt,tf34d
28,HYDP1-LKOC1,55,TYPE_32,1566136586803.0,1566026203000.0,1,ADBP1-NAGP1-NURP1-JHSP1,tepf1,tuc2r
29,CJPC1-TUPC1-SXVC2-BLRP1-HYDP1,57,TYPE_32,1565903904227.0,1565759280000.0,84,SXVP1-BAGP1-KRNP1,t9yyf,tepu4
30,BOMP1-AMBP1,58,TYPE_22,1565574714000.0,1565433783000.0,511,VAPP1-BDQP1-KHRP1-BHLP1-JAIP1-DELP1,te7yp,ttqsh
31,NAGP1-CCUP1,60,TYPE_32,1566686300732.0,1566483115000.0,1852,RPRP1-SBPP1-KDJP1,tg8j5,tunb6
32,AMDP1-BDQC1-BOMP1,61,TYPE_22,1566391434000.0,1566351034000.0,1667,AMDP1-BDQP1-VAPP1,ts5d9,tekn0
33,PNQP1-MAAP1,62,TYPE_22,1566851746000.0,1566598107000.0,84,PNQP1-NPWP1-HBXP1-CTAP1-KRIP1,tekd2,tf2fq
34,HYDP1-BLRP1,65,TYPE_32,1565469300000.0,1565396608000.0,25,GTYP1,tepf2,tdr6h
35,AMDP1-BOMP1,66,TYPE_22,1565175437681.0,1565143503000.0,1667,BDQP1-VAPP1,ts5d9,tekn0
36,NAGP1-GWLC1-DELP1,70,TYPE_22,1566036384741.0,1565918307000.0,84,NAGP1-NURP1-JHSP1-SYNP1,tgb07,ttn9k
37,NAGP1-IDRP1,71,TYPE_22,1565440200000.0,1565385019584.0,150,NAGP1-IDRP1,tgb0r,tsjcn
38,CCUP1-IXWC1-IXRC1-DELP1,72,TYPE_32,1566520595000.0,1566353696000.0,1667,IXWP1-AUBP1-VNSP1-KNUP1-AGRP1,tun8x,ttn9k
39,CJPC1-TUPC1-NAGC1-LKOC1,73,TYPE_22,1565642714000.0,1565413598000.0,84,SXVP1-BAGP1-KRNP1-TPNP1-ADBP1-NAGP1-NURP1-JHSP1,t9yyf,tuc80
40,BOMP1-HYDP1,26,TYPE_32,1565334479000.0,1565256754000.0,1,PNQP1-SSEP1,tekn0,tepf1
