id,trip_code,vehicle_number,vehicle_type,arrival_timestamp,departure_timestamp,client_id,ps_seq,1,2,3,4,5,6,7,8,9,10,11,12,ps_count,ps_count_for hist,placement_location,destination_location,Revisit Pitstops,Origin_PS,Destination_PS,arrival_time,departure_time,arrival_date,departure_date,lead time days
7901,BOMP1-SXVC2-CJPC1,2103,TYPE_32,1566371619503,1559825617000,1667,STRP1-BGMP1-CTAP1-KRIP1,STRP1,BGMP1,CTAP1,KRIP1,,,,,,,,,4,3,te7yp,t9yyf,FALSE,22,2,8/21/19,6/6/19,8/21/19,6/6/19,75.69444444
9429,GAUP1-AMDP1,1181,TYPE_32,1562696874288,1559634861000,511,BKSP1-NJPP1-MZUP1-NJPP1-MZUP1-GKPP1-KNUP1-JHSP1-IDRP1-BDQP1,BKSP1,NJPP1,MZUP1,NJPP1,MZUP1,GKPP1,KNUP1,JHSP1,IDRP1,BDQP1,,,10,9,wh3vq,teg78,TRUE,65,39,7/9/19,6/4/19,7/9/19,6/4/19,35.53240741
5780,CJPC1-SXVP1,1858,TYPE_32,1564644644000,1562628000000,393,SXVP1,SXVP1,,,,,,,,,,,,1,0,t9ywx,tdpd6,FALSE,1,1,8/1/19,7/8/19,8/1/19,7/8/19,23.26388889
2864,IXWP1-IXWC1,2276,TYPE_22,1562414160000,1560498347000,393,IXWP1,IXWP1,,,,,,,,,,,,1,0,tuj3g,tuj60,FALSE,46,46,7/6/19,6/14/19,7/6/19,6/14/19,22.10648148
5653,BOMP1-BLRP1,2647,TYPE_32,1566210637000,1564458053000,516,STRP1-BGMP1-CTAP1-BLRP2-BLRP1-BLRP1,STRP1,BGMP1,CTAP1,BLRP2,BLRP1,,,,,,,,5,4,tek53,tdr3c,FALSE,22,5,8/19/19,7/30/19,8/19/19,7/30/19,20.25462963
4303,HYDP1-CTCC1-BLSC2-CCUP1,1266,TYPE_32,1564641213437,1563034557000,84,HYDP2-HYDP1-SATP1-VTZP1-BAMP1-BHCP1,HYDP2,HYDP1,SATP1,VTZP1,BAMP1,BHCP1,,,,,,,6,5,tepu4,tun8x,FALSE,17,42,8/1/19,7/13/19,8/1/19,7/13/19,18.63425926
9020,BLRP2-VGAP1,709,TYPE_32,1563123262833,1561614334919,446,MULP1-GDRP1-VGAP1-PGRP1-VGAP1-VGAP1,MULP1,GDRP1,VGAP1,PGRP1,VGAP1,,,,,,,,5,4,tdr09,tfchy,TRUE,4,14,7/14/19,6/27/19,7/14/19,6/27/19,17.47685185
9637,KNUP1-BGMP1,2305,TYPE_32,1562679442000,1561315463204,31,JHSP1-IDRP1-DHIP1-PNQP1-BGMP1-BGMP1,JHSP1,IDRP1,DHIP1,PNQP1,BGMP1,,,,,,,,5,4,tu9re,tdufp,FALSE,45,15,7/9/19,6/23/19,7/9/19,6/23/19,15.74074074
3013,GAUP1-SXVP1,1953,TYPE_32,1563611284000,1562257596000,227,BKSP1-NJPP1-BPCP1-CCUP1-BHCP1-BAMP1-VTZP1-VGAP1-GDRP1-MAAP1-SXVP1-SXVP1-SXVP1,BKSP1,NJPP1,BPCP1,CCUP1,BHCP1,BAMP1,VTZP1,VGAP1,GDRP1,MAAP1,SXVP1,,11,10,wh8s2,tdp0w,FALSE,65,1,7/20/19,7/4/19,7/20/19,7/4/19,15.625
7962,KNUP1-PNQP1,1824,TYPE_32,1562927064614,1561651238320,31,JHSP1-IDRP1-DHIP1-PNQP1-BGMP1-BGMP1-BGMP1-STRP1,JHSP1,IDRP1,DHIP1,PNQP1,BGMP1,,,,,,,,5,4,tu87z,temhs,FALSE,45,15,7/12/19,6/27/19,7/12/19,6/27/19,14.81481481
