seed,n
92882,2
92882,3
92882,4
92882,5
92882,6
92882,7
92882,8
92882,9
92882,10
92882,15
92882,20
92882,25
92882,30
92882,35
92882,40
92882,45
92882,50
83409,2
83409,3
83409,4
83409,5
83409,6
83409,7
83409,8
83409,9
83409,10
83409,15
83409,20
83409,25
83409,30
83409,35
83409,40
83409,45
83409,50
88338,2
88338,3
88338,4
88338,5
88338,6
88338,7
88338,8
88338,9
88338,10
88338,15
88338,20
88338,25
88338,30
88338,35
88338,40
88338,45
88338,50
76235,2
76235,3
76235,4
76235,5
76235,6
76235,7
76235,8
76235,9
76235,10
76235,15
76235,20
76235,25
76235,30
76235,35
76235,40
76235,45
76235,50
80866,2
80866,3
80866,4
80866,5
80866,6
80866,7
80866,8
80866,9
80866,10
80866,15
80866,20
80866,25
80866,30
80866,35
80866,40
80866,45
80866,50
23024,2
23024,3
23024,4
23024,5
23024,6
23024,7
23024,8
23024,9
23024,10
23024,15
23024,20
23024,25
23024,30
23024,35
23024,40
23024,45
23024,50
48255,2
48255,3
48255,4
48255,5
48255,6
48255,7
48255,8
48255,9
48255,10
48255,15
48255,20
48255,25
48255,30
48255,35
48255,40
48255,45
48255,50
98031,2
98031,3
98031,4
98031,5
98031,6
98031,7
98031,8
98031,9
98031,10
98031,15
98031,20
98031,25
98031,30
98031,35
98031,40
98031,45
98031,50
26047,2
26047,3
26047,4
26047,5
26047,6
26047,7
26047,8
26047,9
26047,10
26047,15
26047,20
26047,25
26047,30
26047,35
26047,40
26047,45
26047,50
54342,2
54342,3
54342,4
54342,5
54342,6
54342,7
54342,8
54342,9
54342,10
54342,15
54342,20
54342,25
54342,30
54342,35
54342,40
54342,45
54342,50
