experiment_id,instance,method,weekstart,horizon,tstep,numdrivers,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold
1,2,ip,2019-06-23,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
2,2,basisip,2019-06-23,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
3,2,mag,2019-06-23,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
4,2,ip,2019-06-30,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
5,2,basisip,2019-06-30,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
6,2,mag,2019-06-30,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
7,2,ip,2019-07-07,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
8,2,basisip,2019-07-07,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
9,2,mag,2019-07-07,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
10,2,ip,2019-07-14,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
11,2,basisip,2019-07-14,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
12,2,mag,2019-07-14,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
13,2,ip,2019-07-21,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
14,2,basisip,2019-07-21,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
15,2,mag,2019-07-21,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
16,2,ip,2019-07-28,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
17,2,basisip,2019-07-28,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
18,2,mag,2019-07-28,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
19,2,ip,2019-08-04,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
20,2,basisip,2019-08-04,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
21,2,mag,2019-08-04,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
22,2,ip,2019-08-11,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
23,2,basisip,2019-08-11,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
24,2,mag,2019-08-11,5,6,1.7,0,0.001,500,30,0.01,0,0,heterogeneous,1000,1,1,,
25,2,mag,2019-06-23,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
26,2,mag,2019-06-30,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
27,2,mag,2019-07-07,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
28,2,mag,2019-07-14,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
29,2,mag,2019-07-21,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
30,2,mag,2019-07-28,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
31,2,mag,2019-08-04,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
32,2,mag,2019-08-11,5,6,1.7,0,0.001,500,30,0.01,0,1,heterogeneous,1000,1,1,,
33,2,ip,2019-06-23,5,6,1.7,0,0.001,1000,30,0.01,0,0,heterogeneous,1000,1,1,,
34,2,basisip,2019-06-23,5,6,1.7,0,0.001,1000,30,0.01,0,0,heterogeneous,1000,1,1,,
35,2,mag,2019-06-23,5,6,1.7,0,0.001,1000,30,0.01,0,0,heterogeneous,1000,1,1,,
36,2,ip,2019-06-30,5,6,1.7,0,0.001,1000,30,0.01,0,0,heterogeneous,1000,1,1,,
