id,departure_timestamp,arrival_timestamp,ps_seq,Origin_PS,Destination_PS
1901,2026-01-05T00:00:00.0,2026-01-28T05:37:45.531,"Any[60, 56, 45, 37, 30, 25, 19, 13, 8]",60,8
779,2026-01-05T00:06:40.0,2026-01-14T05:44:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
2812,2026-01-05T00:06:40.0,2026-01-07T05:44:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
2894,2026-01-05T00:13:20.0,2026-01-28T05:51:05.531,"Any[45, 37, 30, 25]",45,25
2897,2026-01-05T00:13:20.0,2026-01-21T05:51:05.531,"Any[45, 37, 30, 25]",45,25
1994,2026-01-05T00:20:00.0,2026-01-14T05:57:45.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
644,2026-01-05T00:26:40.0,2026-01-21T06:04:25.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53, 60]",7,60
1676,2026-01-05T00:26:40.0,2026-01-28T06:04:25.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53, 60]",7,60
573,2026-01-05T01:33:20.0,2026-01-07T07:11:05.531,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
823,2026-01-05T01:33:20.0,2026-01-28T07:11:05.531,"Any[17, 19, 17, 25, 30, 37, 45, 53]",17,53
1543,2026-01-05T01:33:20.0,2026-01-07T07:11:05.531,"Any[17, 19, 17, 25, 30, 37, 45, 53]",17,53
1007,2026-01-05T01:40:00.0,2026-01-28T07:17:45.531,"Any[64, 53, 45, 37, 30, 25, 19, 13, 8]",64,8
1431,2026-01-05T01:40:00.0,2026-01-14T07:17:45.531,"Any[19, 25, 30, 37, 45]",19,45
221,2026-01-05T01:46:40.0,2026-01-21T07:24:25.531,"Any[56, 45, 37, 30, 25, 19, 10]",56,10
313,2026-01-05T03:20:00.0,2026-01-07T08:57:45.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
2917,2026-01-05T04:20:00.0,2026-01-07T09:57:45.531,"Any[19, 17, 25, 30, 37, 45, 53]",19,53
2804,2026-01-05T04:26:40.0,2026-01-14T10:04:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
229,2026-01-05T05:33:20.0,2026-01-07T11:11:05.531,"Any[16, 25, 30, 37, 45, 53]",16,53
1134,2026-01-05T05:33:20.0,2026-01-28T11:11:05.531,"Any[53, 45, 37, 30, 25]",53,25
1362,2026-01-05T05:33:20.0,2026-01-28T11:11:05.531,"Any[16, 25, 30, 37, 45, 53]",16,53
1839,2026-01-05T05:33:20.0,2026-01-14T11:11:05.531,"Any[16, 25, 30, 37, 45, 53]",16,53
2458,2026-01-05T05:33:20.0,2026-01-28T11:11:05.531,"Any[53, 45, 37, 30, 25]",53,25
2567,2026-01-05T05:33:20.0,2026-01-21T11:11:05.531,"Any[16, 25, 30, 37, 45, 53]",16,53
1808,2026-01-05T05:53:20.0,2026-01-14T11:31:05.531,"Any[53, 45, 37, 30, 25]",53,25
2124,2026-01-05T05:53:20.0,2026-01-28T11:31:05.531,"Any[53, 45, 37, 30, 25]",53,25
1125,2026-01-05T07:00:00.0,2026-01-28T12:37:45.531,"Any[3, 10, 19, 25, 30, 37, 45, 53]",3,53
2258,2026-01-05T07:20:00.0,2026-01-14T12:57:45.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
2602,2026-01-05T07:20:00.0,2026-01-28T12:57:45.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1710,2026-01-05T07:33:20.0,2026-01-21T13:11:05.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
2869,2026-01-05T07:33:20.0,2026-01-28T13:11:05.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1200,2026-01-05T08:20:00.0,2026-01-28T13:57:45.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1500,2026-01-05T08:20:00.0,2026-01-14T13:57:45.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1660,2026-01-05T08:40:00.0,2026-01-21T14:17:45.531,"Any[19, 25, 30, 37, 45, 56]",19,56
1749,2026-01-05T11:06:40.0,2026-01-21T16:44:25.531,"Any[8, 13, 19, 25, 30, 37, 45]",8,45
836,2026-01-05T12:33:20.0,2026-01-14T18:11:05.531,"Any[6, 11, 19, 25, 30, 37, 45]",6,45
1255,2026-01-05T12:33:20.0,2026-01-14T18:11:05.531,"Any[6, 11, 19, 25, 30, 37, 45, 53]",6,53
2122,2026-01-05T12:33:20.0,2026-01-28T18:11:05.531,"Any[6, 11, 19, 25, 30, 37, 45]",6,45
3094,2026-01-05T12:53:20.0,2026-01-07T18:31:05.531,"Any[6, 11, 16, 25, 30, 37, 45, 56]",6,56
3148,2026-01-05T12:53:20.0,2026-01-14T18:31:05.531,"Any[6, 11, 16, 25, 30, 37, 45, 56]",6,56
