id,departure_timestamp,arrival_timestamp,ps_seq,Origin_PS,Destination_PS
1589,2026-01-05T00:00:00.0,2026-01-07T05:37:45.531,"Any[60, 56, 45, 37, 30, 25, 19, 13, 8]",60,8
1135,2026-01-05T00:06:40.0,2026-01-14T05:44:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
173,2026-01-05T00:13:20.0,2026-01-14T05:51:05.531,"Any[45, 37, 30, 25]",45,25
1669,2026-01-05T00:13:20.0,2026-01-14T05:51:05.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
106,2026-01-05T00:20:00.0,2026-01-07T05:57:45.531,"Any[60, 56, 45, 37, 30, 25, 19, 11, 6]",60,6
1204,2026-01-05T00:20:00.0,2026-01-28T05:57:45.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1745,2026-01-05T00:20:00.0,2026-01-07T05:57:45.531,"Any[60, 56, 45, 37, 30, 25, 19, 11, 6]",60,6
2784,2026-01-05T00:20:00.0,2026-01-07T05:57:45.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1196,2026-01-05T00:26:40.0,2026-01-07T06:04:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1667,2026-01-05T00:26:40.0,2026-01-14T06:04:25.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
2810,2026-01-05T00:26:40.0,2026-01-21T06:04:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
136,2026-01-05T01:33:20.0,2026-01-21T07:11:05.531,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
2894,2026-01-05T01:33:20.0,2026-01-28T07:11:05.531,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
3028,2026-01-05T01:33:20.0,2026-01-28T07:11:05.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
3034,2026-01-05T01:33:20.0,2026-01-28T07:11:05.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
3048,2026-01-05T01:33:20.0,2026-01-28T07:11:05.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1304,2026-01-05T01:46:40.0,2026-01-28T07:24:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1971,2026-01-05T01:46:40.0,2026-01-07T07:24:25.531,"Any[56, 45, 37, 30, 25, 19, 10]",56,10
2807,2026-01-05T01:46:40.0,2026-01-14T07:24:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
82,2026-01-05T04:33:20.0,2026-01-07T10:11:05.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 10]",64,10
1670,2026-01-05T04:40:00.0,2026-01-21T10:17:45.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
2381,2026-01-05T04:40:00.0,2026-01-07T10:17:45.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
726,2026-01-05T05:33:20.0,2026-01-14T11:11:05.531,"Any[16, 25, 30, 37, 45, 53]",16,53
2615,2026-01-05T06:06:40.0,2026-01-14T11:44:25.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 10]",64,10
1123,2026-01-05T07:00:00.0,2026-01-07T12:37:45.531,"Any[3, 10, 19, 25, 30, 37, 45, 53]",3,53
1978,2026-01-05T07:00:00.0,2026-01-14T12:37:45.531,"Any[16, 25, 30, 37, 45, 53]",16,53
379,2026-01-05T07:20:00.0,2026-01-21T12:57:45.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
2143,2026-01-05T07:33:20.0,2026-01-28T13:11:05.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1439,2026-01-05T08:20:00.0,2026-01-21T13:57:45.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1550,2026-01-05T08:20:00.0,2026-01-21T13:57:45.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1175,2026-01-05T08:33:20.0,2026-01-07T14:11:05.531,"Any[3, 6, 11, 19, 25, 30, 37, 45]",3,45
1442,2026-01-05T08:33:20.0,2026-01-21T14:11:05.531,"Any[3, 6, 11, 19, 25, 30, 37, 45]",3,45
2997,2026-01-05T08:40:00.0,2026-01-14T14:17:45.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
