id,departure_timestamp,arrival_timestamp,ps_seq,Origin_PS,Destination_PS
1482,2026-01-05T00:00:00.0,2026-01-28T05:37:45.531,"Any[60, 56, 45, 37, 30, 25, 19, 13, 8]",60,8
1796,2026-01-05T00:00:00.0,2026-01-21T05:37:45.531,"Any[60, 56, 45, 37, 30, 25, 19, 13, 8]",60,8
1016,2026-01-05T00:06:40.0,2026-01-14T05:44:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
2107,2026-01-05T00:13:20.0,2026-01-21T05:51:05.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
2300,2026-01-05T00:20:00.0,2026-01-28T05:57:45.531,"Any[60, 56, 45, 37, 30, 25, 19, 11, 6]",60,6
2236,2026-01-05T00:26:40.0,2026-01-21T06:04:25.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
2308,2026-01-05T00:26:40.0,2026-01-14T06:04:25.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53, 60]",7,60
243,2026-01-05T01:33:20.0,2026-01-21T07:11:05.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
573,2026-01-05T01:33:20.0,2026-01-28T07:11:05.531,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
742,2026-01-05T01:40:00.0,2026-01-21T07:17:45.531,"Any[19, 25, 30, 37, 45]",19,45
2934,2026-01-05T01:58:00.0,2026-01-14T07:35:45.531,Any[],14,45
1863,2026-01-05T02:00:00.0,2026-01-14T07:37:45.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
904,2026-01-05T03:00:00.0,2026-01-07T08:37:45.531,"Any[17, 16, 25, 30, 37, 45, 56]",17,56
2342,2026-01-05T03:00:00.0,2026-01-21T08:37:45.531,"Any[17, 16, 25, 30, 37, 45, 56]",17,56
2398,2026-01-05T04:00:00.0,2026-01-07T09:37:45.531,Any[],60,7
841,2026-01-05T04:26:40.0,2026-01-21T10:04:25.531,"Any[19, 17, 25, 30, 37, 45, 53, 60]",19,60
1494,2026-01-05T04:40:00.0,2026-01-07T10:17:45.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
588,2026-01-05T05:33:20.0,2026-01-07T11:11:05.531,"Any[60, 53, 45, 37, 30, 25, 11, 6, 1]",60,1
2325,2026-01-05T05:40:00.0,2026-01-28T11:17:45.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
2593,2026-01-05T05:54:00.0,2026-01-14T11:31:45.531,Any[],53,16
1109,2026-01-05T06:06:40.0,2026-01-07T11:44:25.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 10]",64,10
3157,2026-01-05T06:26:00.0,2026-01-14T12:03:45.531,Any[],10,64
910,2026-01-05T07:06:40.0,2026-01-14T12:44:25.531,"Any[60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
1701,2026-01-05T07:06:40.0,2026-01-28T12:44:25.531,"Any[60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
1891,2026-01-05T07:06:40.0,2026-01-21T12:44:25.531,"Any[60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
974,2026-01-05T07:20:00.0,2026-01-28T12:57:45.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1253,2026-01-05T07:26:40.0,2026-01-14T13:04:25.531,"Any[25, 30, 37, 45, 53]",25,53
2865,2026-01-05T07:26:40.0,2026-01-07T13:04:25.531,"Any[25, 30, 37, 45, 53]",25,53
2866,2026-01-05T07:26:40.0,2026-01-07T13:04:25.531,"Any[25, 30, 37, 45, 53]",25,53
2893,2026-01-05T07:26:40.0,2026-01-28T13:04:25.531,"Any[25, 30, 37, 45, 53]",25,53
46,2026-01-05T07:33:20.0,2026-01-28T13:11:05.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
953,2026-01-05T08:20:00.0,2026-01-07T13:57:45.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1659,2026-01-05T08:20:00.0,2026-01-14T13:57:45.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1689,2026-01-05T08:20:00.0,2026-01-14T13:57:45.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
2179,2026-01-05T08:20:00.0,2026-01-21T13:57:45.531,"Any[64, 53, 45, 37, 30, 25, 11, 6, 1]",64,1
1638,2026-01-05T08:26:40.0,2026-01-07T14:04:25.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 56]",7,56
299,2026-01-05T08:40:00.0,2026-01-28T14:17:45.531,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
1189,2026-01-05T08:46:40.0,2026-01-28T14:24:25.531,"Any[13, 19, 25, 30, 37, 45, 53]",13,53
109,2026-01-05T10:13:20.0,2026-01-07T15:51:05.531,"Any[60, 56, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
1133,2026-01-05T11:13:20.0,2026-01-14T16:51:05.531,"Any[53, 45, 37, 30, 25]",53,25
2228,2026-01-05T11:26:40.0,2026-01-14T17:04:25.531,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
2563,2026-01-05T12:33:20.0,2026-01-14T18:11:05.531,"Any[53, 45, 37, 30, 25, 19]",53,19
587,2026-01-05T12:40:00.0,2026-01-07T18:17:45.531,"Any[8, 13, 25, 30, 37, 45, 53]",8,53
3027,2026-01-05T12:40:00.0,2026-01-21T18:17:45.531,"Any[1, 6, 11, 25, 30, 37, 45, 53]",1,53
3046,2026-01-05T12:40:00.0,2026-01-21T18:17:45.531,"Any[1, 6, 11, 25, 30, 37, 45, 53]",1,53
1969,2026-01-05T12:46:40.0,2026-01-21T18:24:25.531,"Any[19, 25, 30, 37, 45]",19,45
311,2026-01-05T12:53:20.0,2026-01-07T18:31:05.531,"Any[6, 11, 16, 25, 30, 37, 45, 56]",6,56
1386,2026-01-05T12:53:20.0,2026-01-21T18:31:05.531,"Any[25, 30, 37, 45, 53, 60]",25,60
2333,2026-01-05T12:53:20.0,2026-01-07T18:31:05.531,"Any[25, 30, 37, 45, 53, 60]",25,60
2814,2026-01-05T12:53:20.0,2026-01-14T18:31:05.531,"Any[25, 30, 37, 45, 53, 60]",25,60
810,2026-01-05T13:00:00.0,2026-01-07T18:37:45.531,"Any[3, 6, 11, 16, 25, 30, 37, 45]",3,45
1258,2026-01-05T13:00:00.0,2026-01-14T18:37:45.531,"Any[6, 11, 16, 25, 30, 37, 45]",6,45
1672,2026-01-05T13:00:00.0,2026-01-07T18:37:45.531,"Any[56, 45, 37, 30, 25]",56,25
1854,2026-01-05T14:00:00.0,2026-01-14T19:37:45.531,"Any[64, 60, 56, 45, 37, 30, 25, 19, 11, 6]",64,6
1700,2026-01-05T14:13:20.0,2026-01-21T19:51:05.531,"Any[5, 6, 11, 19, 25, 30, 37, 45, 56]",5,56
1791,2026-01-05T14:13:20.0,2026-01-21T19:51:05.531,"Any[5, 6, 11, 19, 25, 30, 37, 45, 56]",5,56
3184,2026-01-05T14:15:00.0,2026-01-28T19:52:45.531,Any[],10,64
2708,2026-01-05T14:18:00.0,2026-01-21T19:55:45.531,Any[],45,5
1135,2026-01-05T15:20:00.0,2026-01-21T20:57:45.531,"Any[14, 19, 25, 30, 37, 45, 53]",14,53
570,2026-01-05T15:26:40.0,2026-01-21T21:04:25.531,"Any[60, 53, 45, 37, 30, 25, 19]",60,19
2231,2026-01-05T15:26:40.0,2026-01-28T21:04:25.531,"Any[60, 53, 45, 37, 30, 25, 19]",60,19
2783,2026-01-05T15:26:40.0,2026-01-21T21:04:25.531,"Any[25, 30, 37, 45, 56, 60, 64]",25,64
1444,2026-01-05T15:33:20.0,2026-01-14T21:11:05.531,"Any[19, 25, 30, 37, 45]",19,45
1937,2026-01-05T15:33:20.0,2026-01-14T21:11:05.531,"Any[53, 45, 37, 30, 25]",53,25
241,2026-01-05T15:40:00.0,2026-01-07T21:17:45.531,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
549,2026-01-05T15:40:00.0,2026-01-07T21:17:45.531,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
