node,nodeid,pilot_count,pilot_count_adj,pilot_count_relay,pilot_count_ptp
tsxbc,45,147,168,28,49
tu066,37,100,114,19,0
terz6,25,99,113,19,33
tsz76,56,99,106,17,31
ttn8u,60,111,100,17,29
tu9jr,50,88,100,17,0
tdw31,9,93,92,15,27
tsk2e,43,79,90,15,0
tehsu,22,75,86,14,0
tgb05,30,73,83,14,0
tdv40,15,83,82,14,0
tszdf,55,104,81,13,24
tgv81,42,71,81,0,0
tsz3t,53,89,81,13,24
tf2fr,7,68,78,13,23
tsvbc,54,63,71,12,21
tdpx7,2,61,69,11,20
tgkm9,33,60,68,0,0
tsjby,36,60,68,11,0
tst00,47,59,67,11,0
teunf,39,69,65,0,0
tujrx,51,62,64,0,0
tdz6x,11,56,64,11,0
tdxjw,10,54,61,10,18
tejuv,21,51,58,10,0
tfcmd,14,51,58,10,17
tek6j,26,50,57,9,0
tu7pe,48,48,55,0,0
tf8b3,8,46,53,9,15
tdtrh,12,46,53,9,0
tuwzs,63,64,53,0,0
teegd,32,46,53,0,0
tetnt,31,43,49,8,0
tg4ur,24,42,48,0,0
tustj,59,39,44,0,0
tun8x,52,62,40,0,0
tdpd8,1,62,39,6,11
ttqsh,64,47,38,6,11
tdrq6,6,32,36,6,11
tuj3g,46,31,35,0,0
tepv9,19,30,34,6,10
ts5d5,40,38,31,0,0
tg19b,20,26,30,5,9
tegbk,35,26,30,0,0
tu7uz,49,63,29,0,0
wh9jx,66,23,26,0,0
tep9v,16,22,25,4,7
tewep,28,21,24,4,0
tuqb8,58,20,23,0,0
tug0j,57,19,22,0,0
tequz,23,19,22,4,0
tdqfz,5,18,21,3,6
tsmj3,44,61,21,3,0
tduy5,18,17,20,3,0
tfbvd,13,17,20,3,6
tgg9u,38,15,18,0,0
tepeg,17,13,14,2,4
tgcby,34,13,14,2,0
tet8u,27,12,13,2,0
tgugw,41,11,12,0,0
tdrg4,4,11,12,2,3
tv0s3,62,56,12,2,3
tdr2f,3,6,7,1,2
te7vq,29,6,7,0,0
ttngg,61,24,7,1,0
tuxvd,65,46,3,0,0
