id,departure_timestamp,arrival_timestamp,ps_seq,Origin_PS,Destination_PS
1444,2026-01-26T00:05:56.0,2026-02-04T05:43:41.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1473,2026-01-26T00:17:12.0,2026-02-04T05:54:57.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
348,2026-01-26T00:25:22.742,2026-01-28T06:03:08.273,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
1179,2026-01-26T00:25:22.742,2026-01-28T06:03:08.273,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
1208,2026-01-26T00:38:52.0,2026-01-28T06:16:37.531,"Any[19, 25, 30, 37, 45]",19,45
1510,2026-01-26T01:30:43.0,2026-02-04T07:08:28.531,"Any[19, 25, 30, 37, 45]",19,45
1101,2026-01-26T02:36:47.0,2026-01-28T08:14:32.531,"Any[64, 53, 45, 37, 30, 25, 19, 10]",64,10
291,2026-01-26T02:47:31.0,2026-01-28T08:25:16.531,"Any[17, 16, 25, 30, 37, 45, 56]",17,56
1267,2026-01-26T04:24:57.0,2026-02-04T10:02:42.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
90,2026-01-26T04:47:47.0,2026-02-04T10:25:32.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 10]",64,10
678,2026-01-26T04:47:47.0,2026-01-28T10:25:32.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 10]",64,10
331,2026-01-26T05:00:21.0,2026-01-28T10:38:06.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53]",7,53
1404,2026-01-26T05:00:21.0,2026-02-04T10:38:06.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53]",7,53
549,2026-01-26T05:02:34.0,2026-01-28T10:40:19.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
443,2026-01-26T05:54:32.0,2026-02-04T11:32:17.531,"Any[53, 45, 37, 30, 25]",53,25
