id,departure_timestamp,arrival_timestamp,ps_seq,Origin_PS,Destination_PS
290,2026-01-05T00:00:53.0,2026-01-07T05:38:38.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53, 60]",7,60
1340,2026-01-05T00:13:00.0,2026-01-14T05:50:45.531,Any[],45,3
346,2026-01-05T00:17:12.0,2026-01-14T05:54:57.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
1484,2026-01-05T00:23:00.0,2026-01-07T06:00:45.531,Any[],6,62
140,2026-01-05T00:55:57.0,2026-01-07T06:33:42.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
623,2026-01-05T00:55:57.0,2026-01-07T06:33:42.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1098,2026-01-05T01:09:29.0,2026-01-14T06:47:14.531,"Any[64, 53, 45, 37, 30, 25, 19, 13, 8]",64,8
73,2026-01-05T01:16:53.0,2026-01-14T06:54:38.531,"Any[56, 45, 37, 30, 25, 19, 10]",56,10
498,2026-01-05T01:16:53.0,2026-01-14T06:54:38.531,"Any[56, 45, 37, 30, 25, 19, 10]",56,10
436,2026-01-05T01:43:45.0,2026-01-14T07:21:30.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
643,2026-01-05T01:43:45.0,2026-01-14T07:21:30.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
44,2026-01-05T03:40:14.0,2026-01-07T09:17:59.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
228,2026-01-05T03:40:14.0,2026-01-07T09:17:59.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1530,2026-01-05T04:54:00.0,2026-01-07T10:31:45.531,Any[],6,54
933,2026-01-05T05:02:34.0,2026-01-07T10:40:19.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
314,2026-01-05T05:30:05.0,2026-01-07T11:07:50.531,"Any[16, 19, 25, 30, 37, 45, 53]",16,53
148,2026-01-05T06:28:25.0,2026-01-14T12:06:10.531,"Any[16, 25, 30, 37, 45, 53]",16,53
156,2026-01-05T07:01:08.0,2026-01-07T12:38:53.531,"Any[3, 10, 19, 25, 30, 37, 45, 53]",3,53
667,2026-01-05T07:01:08.0,2026-01-07T12:38:53.531,"Any[3, 10, 19, 25, 30, 37, 45, 53]",3,53
1002,2026-01-05T07:01:08.0,2026-01-07T12:38:53.531,"Any[3, 10, 19, 25, 30, 37, 45, 53]",3,53
1448,2026-01-05T07:18:59.0,2026-01-14T12:56:44.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
646,2026-01-05T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1371,2026-01-05T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1386,2026-01-05T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1392,2026-01-05T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1395,2026-01-05T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1402,2026-01-05T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1422,2026-01-05T08:30:49.466,2026-01-14T14:08:34.997,"Any[13, 19, 25, 30, 37, 45, 53]",13,53
334,2026-01-05T08:43:10.0,2026-01-07T14:20:55.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
739,2026-01-05T09:16:37.0,2026-01-14T14:54:22.531,"Any[56, 45, 37, 30, 25]",56,25
980,2026-01-05T09:16:37.0,2026-01-14T14:54:22.531,"Any[56, 45, 37, 30, 25]",56,25
160,2026-01-05T10:08:46.0,2026-01-07T15:46:31.531,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
1109,2026-01-05T10:08:46.0,2026-01-07T15:46:31.531,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
1072,2026-01-05T11:40:42.0,2026-01-14T17:18:27.531,"Any[3, 6, 11, 19, 25, 30, 37, 45, 56, 60]",3,60
975,2026-01-05T11:58:12.0,2026-01-07T17:35:57.531,"Any[19, 25, 30, 37, 45, 56]",19,56
1502,2026-01-05T13:31:43.0,2026-01-07T19:09:28.531,"Any[6, 11, 19, 25, 30, 37, 45, 53]",6,53
1507,2026-01-05T13:31:43.0,2026-01-14T19:09:28.531,"Any[6, 11, 19, 25, 30, 37, 45, 53]",6,53
1296,2026-01-05T13:33:03.0,2026-01-14T19:10:48.531,"Any[45, 37, 30, 25]",45,25
1562,2026-01-05T13:39:00.0,2026-01-14T19:16:45.531,Any[],10,64
108,2026-01-05T14:38:37.0,2026-01-07T20:16:22.531,"Any[5, 6, 11, 19, 25, 30, 37, 45, 56]",5,56
226,2026-01-05T14:38:37.0,2026-01-14T20:16:22.531,"Any[5, 6, 11, 19, 25, 30, 37, 45, 56]",5,56
448,2026-01-05T14:45:23.0,2026-01-14T20:23:08.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
537,2026-01-05T14:45:23.0,2026-01-14T20:23:08.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
795,2026-01-05T14:45:23.0,2026-01-07T20:23:08.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
123,2026-01-05T15:11:39.0,2026-01-07T20:49:24.531,"Any[14, 19, 25, 30, 37, 45, 53]",14,53
74,2026-01-05T15:13:34.0,2026-01-07T20:51:19.531,"Any[6, 11, 19, 25, 30, 37, 45]",6,45
530,2026-01-05T15:13:34.0,2026-01-14T20:51:19.531,"Any[6, 11, 19, 25, 30, 37, 45]",6,45
1135,2026-01-05T15:15:00.0,2026-01-07T20:52:45.531,Any[],56,17
1542,2026-01-05T15:34:00.0,2026-01-14T21:11:45.531,Any[],10,64
182,2026-01-05T15:36:18.0,2026-01-14T21:14:03.531,"Any[60, 56, 45, 37, 30, 25, 19, 14]",60,14
692,2026-01-05T15:36:18.0,2026-01-14T21:14:03.531,"Any[60, 56, 45, 37, 30, 25, 19, 14]",60,14
1528,2026-01-05T15:40:36.0,2026-01-07T21:18:21.531,"Any[6, 11, 19, 25, 30, 37, 45, 53]",6,53
332,2026-01-05T15:49:40.0,2026-01-14T21:27:25.531,"Any[45, 37, 30, 25]",45,25
650,2026-01-05T15:49:40.0,2026-01-07T21:27:25.531,"Any[45, 37, 30, 25]",45,25
1298,2026-01-05T15:49:40.0,2026-01-14T21:27:25.531,"Any[45, 37, 30, 25]",45,25
1114,2026-01-05T15:59:39.636,2026-01-14T21:37:25.167,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
1117,2026-01-05T15:59:39.636,2026-01-07T21:37:25.167,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
615,2026-01-05T16:41:49.0,2026-01-14T22:19:34.531,"Any[60, 53, 45, 37, 30, 25, 19, 11, 6, 6]",60,6
385,2026-01-05T16:43:27.0,2026-01-14T22:21:12.531,"Any[25, 30, 37, 45, 56, 60, 64]",25,64
1360,2026-01-05T16:43:27.0,2026-01-07T22:21:12.531,"Any[25, 30, 37, 45, 56, 60, 64]",25,64
1363,2026-01-05T16:43:27.0,2026-01-14T22:21:12.531,"Any[25, 30, 37, 45, 56, 60, 64]",25,64
1220,2026-01-05T16:44:42.0,2026-01-07T22:22:27.531,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
1370,2026-01-05T17:32:31.451,2026-01-07T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1380,2026-01-05T17:32:31.451,2026-01-07T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1384,2026-01-05T17:32:31.451,2026-01-14T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1385,2026-01-05T17:32:31.451,2026-01-07T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1388,2026-01-05T17:32:31.451,2026-01-07T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1399,2026-01-05T17:32:31.451,2026-01-07T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1409,2026-01-05T17:32:31.451,2026-01-07T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1410,2026-01-05T17:32:31.451,2026-01-14T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1412,2026-01-05T17:32:31.451,2026-01-07T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
774,2026-01-05T18:22:31.343,2026-01-15T00:00:16.874,"Any[53, 45, 37, 30, 25, 19, 13, 8]",53,8
1272,2026-01-05T18:22:31.343,2026-01-08T00:00:16.874,"Any[53, 45, 37, 30, 25, 19, 13, 8]",53,8
128,2026-01-05T18:34:39.0,2026-01-08T00:12:24.531,"Any[56, 45, 37, 30, 25]",56,25
1540,2026-01-05T18:53:00.0,2026-01-08T00:30:45.531,Any[],10,64
158,2026-01-05T18:55:36.0,2026-01-15T00:33:21.531,"Any[56, 45, 37, 30, 25]",56,25
422,2026-01-05T18:55:36.0,2026-01-08T00:33:21.531,"Any[56, 45, 37, 30, 25]",56,25
939,2026-01-05T18:55:36.0,2026-01-08T00:33:21.531,"Any[56, 45, 37, 30, 25]",56,25
779,2026-01-05T19:05:23.0,2026-01-15T00:43:08.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1066,2026-01-05T19:56:58.0,2026-01-08T01:34:43.531,"Any[56, 45, 37, 30, 25]",56,25
861,2026-01-05T19:58:20.394,2026-01-15T01:36:05.925,"Any[60, 56, 45, 37, 30, 25, 19, 11, 6]",60,6
1355,2026-01-05T20:10:53.0,2026-01-08T01:48:38.531,"Any[45, 37, 30, 25, 19, 10]",45,10
1359,2026-01-05T20:10:53.0,2026-01-15T01:48:38.531,"Any[45, 37, 30, 25, 19, 10]",45,10
535,2026-01-05T20:13:16.0,2026-01-08T01:51:01.531,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
75,2026-01-05T20:14:13.0,2026-01-08T01:51:58.531,"Any[53, 45, 37, 30, 25, 19, 13, 8]",53,8
1270,2026-01-05T20:14:13.0,2026-01-15T01:51:58.531,"Any[53, 45, 37, 30, 25, 19, 13, 8]",53,8
131,2026-01-05T20:20:55.0,2026-01-15T01:58:40.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
192,2026-01-05T20:20:55.0,2026-01-08T01:58:40.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1061,2026-01-05T20:20:55.0,2026-01-15T01:58:40.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1008,2026-01-05T20:31:51.675,2026-01-15T02:09:37.206,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
767,2026-01-05T20:32:06.0,2026-01-15T02:09:51.531,"Any[10, 19, 30, 37, 45, 53]",10,53
768,2026-01-05T20:41:14.074,2026-01-08T02:18:59.605,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
1252,2026-01-05T20:41:14.074,2026-01-15T02:18:59.605,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
356,2026-01-05T21:15:58.0,2026-01-08T02:53:43.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1046,2026-01-05T21:15:58.0,2026-01-08T02:53:43.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
580,2026-01-05T21:18:53.894,2026-01-08T02:56:39.425,"Any[10, 25, 30, 37, 45, 53, 60]",10,60
703,2026-01-05T21:20:53.0,2026-01-08T02:58:38.531,"Any[10, 19, 25, 30, 37, 45, 53, 60]",10,60
17,2026-01-05T21:33:41.0,2026-01-15T03:11:26.531,"Any[10, 19, 25, 30, 37, 45, 53, 60]",10,60
51,2026-01-05T21:47:04.0,2026-01-15T03:24:49.531,"Any[7, 8, 13, 19, 30, 37, 45, 53, 60]",7,60
153,2026-01-05T21:55:18.0,2026-01-15T03:33:03.531,"Any[19, 25, 30, 37, 45, 53]",19,53
881,2026-01-05T21:55:18.0,2026-01-15T03:33:03.531,"Any[19, 25, 30, 37, 45, 53]",19,53
355,2026-01-05T23:46:28.0,2026-01-08T05:24:13.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1007,2026-01-05T23:46:28.0,2026-01-08T05:24:13.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
617,2026-01-06T00:05:44.0,2026-01-08T05:43:29.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1050,2026-01-06T00:05:44.0,2026-01-15T05:43:29.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
81,2026-01-06T00:21:38.0,2026-01-15T05:59:23.531,"Any[10, 19, 30, 37, 45, 53]",10,53
1079,2026-01-06T00:22:14.0,2026-01-15T05:59:59.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
994,2026-01-06T01:01:40.0,2026-01-15T06:39:25.531,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
116,2026-01-06T01:23:17.0,2026-01-08T07:01:02.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53]",7,53
50,2026-01-06T01:38:57.0,2026-01-15T07:16:42.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
188,2026-01-06T01:38:57.0,2026-01-15T07:16:42.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1021,2026-01-06T02:00:00.0,2026-01-08T07:37:45.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53, 60]",7,60
288,2026-01-06T02:13:54.0,2026-01-08T07:51:39.531,"Any[19, 25, 30, 37, 45, 56]",19,56
1336,2026-01-06T03:34:00.0,2026-01-15T09:11:45.531,Any[],45,3
296,2026-01-06T04:43:29.0,2026-01-15T10:21:14.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
294,2026-01-06T05:16:03.0,2026-01-08T10:53:48.531,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
909,2026-01-06T05:16:03.0,2026-01-15T10:53:48.531,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
1055,2026-01-06T05:29:51.0,2026-01-08T11:07:36.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53]",7,53
1253,2026-01-06T05:43:00.0,2026-01-08T11:20:45.531,Any[],56,9
886,2026-01-06T06:12:00.0,2026-01-15T11:49:45.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
386,2026-01-06T06:20:29.0,2026-01-15T11:58:14.531,"Any[6, 11, 19, 25, 30, 37, 45]",6,45
957,2026-01-06T06:20:29.0,2026-01-15T11:58:14.531,"Any[6, 11, 19, 25, 30, 37, 45]",6,45
496,2026-01-06T06:45:14.0,2026-01-15T12:22:59.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1052,2026-01-06T06:45:14.0,2026-01-08T12:22:59.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
11,2026-01-06T07:43:38.0,2026-01-08T13:21:23.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1450,2026-01-06T07:43:38.0,2026-01-15T13:21:23.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1544,2026-01-06T08:13:00.0,2026-01-08T13:50:45.531,Any[],10,64
1567,2026-01-06T08:23:00.0,2026-01-15T14:00:45.531,Any[],10,64
1256,2026-01-06T08:30:00.0,2026-01-15T14:07:45.531,Any[],56,9
946,2026-01-06T08:41:47.0,2026-01-15T14:19:32.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53]",7,53
67,2026-01-06T09:16:03.589,2026-01-15T14:53:49.12,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
686,2026-01-06T09:16:03.589,2026-01-15T14:53:49.12,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
1132,2026-01-06T09:27:00.0,2026-01-15T15:04:45.531,Any[],56,17
1549,2026-01-06T09:36:00.0,2026-01-15T15:13:45.531,Any[],10,64
1041,2026-01-06T09:36:07.0,2026-01-15T15:13:52.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 56]",1,56
1297,2026-01-06T10:03:11.0,2026-01-08T15:40:56.531,"Any[45, 37, 30, 25]",45,25
53,2026-01-06T10:05:49.0,2026-01-15T15:43:34.531,"Any[45, 37, 30, 25]",45,25
1075,2026-01-06T10:05:49.0,2026-01-08T15:43:34.531,"Any[45, 37, 30, 25]",45,25
1149,2026-01-06T10:09:00.0,2026-01-15T15:46:45.531,Any[],56,13
972,2026-01-06T10:26:31.0,2026-01-08T16:04:16.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1083,2026-01-06T10:26:31.0,2026-01-15T16:04:16.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
168,2026-01-06T10:44:38.0,2026-01-08T16:22:23.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
403,2026-01-06T10:50:54.55,2026-01-15T16:28:40.081,"Any[19, 25, 30, 37, 45, 53]",19,53
107,2026-01-06T11:53:28.0,2026-01-08T17:31:13.531,"Any[62, 45, 37, 30, 25, 19, 13, 8]",62,8
259,2026-01-06T12:00:27.312,2026-01-08T17:38:12.843,"Any[56, 45, 37, 45, 50, 45, 37, 30, 25]",56,25
235,2026-01-06T12:14:19.314,2026-01-15T17:52:04.845,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
719,2026-01-06T12:21:30.0,2026-01-08T17:59:15.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1031,2026-01-06T12:21:30.0,2026-01-15T17:59:15.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
242,2026-01-06T12:29:41.044,2026-01-15T18:07:26.575,"Any[64, 60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
1063,2026-01-06T12:29:41.044,2026-01-08T18:07:26.575,"Any[64, 60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
1028,2026-01-06T12:38:34.032,2026-01-08T18:16:19.563,"Any[8, 13, 19, 25, 30, 37, 45]",8,45
625,2026-01-06T12:51:31.0,2026-01-08T18:29:16.531,"Any[19, 25, 30, 37, 45, 56]",19,56
1258,2026-01-06T13:01:08.409,2026-01-15T18:38:53.94,"Any[56, 45, 37, 30, 25, 19, 10]",56,10
301,2026-01-06T13:02:44.0,2026-01-08T18:40:29.531,"Any[19, 25, 30, 37, 45, 56]",19,56
1044,2026-01-06T13:27:15.0,2026-01-15T19:05:00.531,"Any[53, 45, 37, 30, 25, 19, 13, 8]",53,8
1417,2026-01-06T13:52:16.0,2026-01-08T19:30:01.531,"Any[13, 19, 25, 30, 37, 45, 53]",13,53
1424,2026-01-06T13:52:16.0,2026-01-15T19:30:01.531,"Any[13, 19, 25, 30, 37, 45, 53]",13,53
