id,departure_timestamp,arrival_timestamp,ps_seq,Origin_PS,Destination_PS
706,2026-01-12T00:00:53.0,2026-01-21T05:38:38.531,"Any[7, 8, 13, 19, 25, 30, 37, 45, 53, 60]",7,60
27,2026-01-12T00:05:56.0,2026-01-21T05:43:41.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
282,2026-01-12T00:05:56.0,2026-01-14T05:43:41.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1088,2026-01-12T00:05:56.0,2026-01-14T05:43:41.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1385,2026-01-12T00:21:33.0,2026-01-21T05:59:18.531,"Any[25, 30, 37, 45, 53, 60]",25,60
1558,2026-01-12T00:24:00.0,2026-01-14T06:01:45.531,Any[],6,62
572,2026-01-12T00:25:22.742,2026-01-21T06:03:08.273,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
956,2026-01-12T00:25:22.742,2026-01-21T06:03:08.273,"Any[45, 37, 30, 25, 19, 11, 6, 1]",45,1
5,2026-01-12T01:09:29.0,2026-01-21T06:47:14.531,"Any[64, 53, 45, 37, 30, 25, 19, 13, 8]",64,8
1331,2026-01-12T01:17:00.0,2026-01-14T06:54:45.531,Any[],45,5
638,2026-01-12T01:38:03.0,2026-01-14T07:15:48.531,"Any[53, 45, 37, 30, 25, 17, 11, 6, 1]",53,1
544,2026-01-12T01:44:13.0,2026-01-14T07:21:58.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
1299,2026-01-12T02:30:00.0,2026-01-21T08:07:45.531,Any[],53,7
944,2026-01-12T04:24:57.0,2026-01-14T10:02:42.531,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
818,2026-01-12T04:40:57.0,2026-01-14T10:18:42.531,"Any[60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
936,2026-01-12T04:45:33.0,2026-01-21T10:23:18.531,"Any[19, 17, 25, 30, 37, 45, 53, 60]",19,60
322,2026-01-12T04:48:23.0,2026-01-14T10:26:08.531,"Any[19, 17, 25, 30, 37, 45, 53]",19,53
970,2026-01-12T04:48:23.0,2026-01-21T10:26:08.531,"Any[19, 17, 25, 30, 37, 45, 53]",19,53
774,2026-01-12T05:02:34.0,2026-01-21T10:40:19.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
1585,2026-01-12T05:14:00.0,2026-01-14T10:51:45.531,Any[],10,64
722,2026-01-12T05:24:48.669,2026-01-21T11:02:34.2,"Any[53, 45, 37, 30, 25, 19, 11, 6, 1]",53,1
243,2026-01-12T05:30:05.0,2026-01-14T11:07:50.531,"Any[16, 19, 25, 30, 37, 45, 53]",16,53
828,2026-01-12T05:54:32.0,2026-01-14T11:32:17.531,"Any[53, 45, 37, 30, 25]",53,25
1189,2026-01-12T06:52:55.0,2026-01-21T12:30:40.531,"Any[56, 45, 37, 30, 25, 19]",56,19
1119,2026-01-12T07:18:59.0,2026-01-21T12:56:44.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
14,2026-01-12T07:29:28.0,2026-01-21T13:07:13.531,"Any[60, 53, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
601,2026-01-12T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1409,2026-01-12T07:55:26.0,2026-01-21T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1425,2026-01-12T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1429,2026-01-12T07:55:26.0,2026-01-14T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1431,2026-01-12T07:55:26.0,2026-01-21T13:33:11.531,"Any[25, 30, 37, 45, 53]",25,53
1323,2026-01-12T08:01:00.0,2026-01-21T13:38:45.531,Any[],45,7
861,2026-01-12T08:43:10.0,2026-01-21T14:20:55.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
910,2026-01-12T08:49:10.0,2026-01-14T14:26:55.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53, 60]",1,60
902,2026-01-12T08:50:04.629,2026-01-21T14:27:50.16,"Any[60, 56, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
1173,2026-01-12T08:50:04.629,2026-01-14T14:27:50.16,"Any[60, 56, 45, 37, 30, 25, 19, 11, 6, 1]",60,1
1047,2026-01-12T09:00:08.696,2026-01-21T14:37:54.227,"Any[64, 53, 45, 37, 30, 25, 11, 6, 1]",64,1
937,2026-01-12T09:16:37.0,2026-01-21T14:54:22.531,"Any[56, 45, 37, 30, 25]",56,25
829,2026-01-12T09:39:08.0,2026-01-21T15:16:53.531,"Any[56, 45, 37, 30, 25, 19, 13, 8]",56,8
877,2026-01-12T10:08:46.0,2026-01-14T15:46:31.531,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
700,2026-01-12T11:06:26.0,2026-01-21T16:44:11.531,"Any[3, 10, 11, 19, 25, 30, 37, 45]",3,45
408,2026-01-12T11:22:43.0,2026-01-21T17:00:28.531,"Any[60, 53, 45, 37, 30, 25]",60,25
1204,2026-01-12T11:30:00.0,2026-01-21T17:07:45.531,Any[],56,13
73,2026-01-12T11:40:42.0,2026-01-21T17:18:27.531,"Any[3, 6, 11, 19, 25, 30, 37, 45, 56, 60]",3,60
1076,2026-01-12T11:52:06.0,2026-01-21T17:29:51.531,"Any[53, 45, 37, 30, 25]",53,25
336,2026-01-12T11:58:12.0,2026-01-14T17:35:57.531,"Any[19, 25, 30, 37, 45, 56]",19,56
348,2026-01-12T11:58:12.0,2026-01-21T17:35:57.531,"Any[19, 25, 30, 37, 45, 56]",19,56
501,2026-01-12T12:24:59.0,2026-01-14T18:02:44.531,"Any[56, 45, 37, 30, 25]",56,25
609,2026-01-12T13:03:36.0,2026-01-21T18:41:21.531,"Any[8, 13, 19, 25, 30, 37, 45]",8,45
143,2026-01-12T13:09:54.0,2026-01-14T18:47:39.531,"Any[56, 45, 37, 30, 25, 19, 13, 8]",56,8
697,2026-01-12T13:09:54.0,2026-01-21T18:47:39.531,"Any[56, 45, 37, 30, 25, 19, 13, 8]",56,8
780,2026-01-12T13:12:12.0,2026-01-14T18:49:57.531,"Any[8, 13, 25, 30, 37, 45, 53]",8,53
1269,2026-01-12T13:13:38.0,2026-01-14T18:51:23.531,"Any[53, 45, 37, 30, 25, 19]",53,19
1270,2026-01-12T13:13:38.0,2026-01-21T18:51:23.531,"Any[53, 45, 37, 30, 25, 19]",53,19
868,2026-01-12T13:14:28.16,2026-01-21T18:52:13.691,"Any[64, 60, 56, 45, 37, 30, 25, 19, 11, 6]",64,6
432,2026-01-12T13:31:43.0,2026-01-21T19:09:28.531,"Any[6, 11, 19, 25, 30, 37, 45, 53]",6,53
487,2026-01-12T13:33:03.0,2026-01-14T19:10:48.531,"Any[45, 37, 30, 25]",45,25
216,2026-01-12T13:37:51.0,2026-01-14T19:15:36.531,"Any[6, 11, 16, 25, 30, 37, 45, 56]",6,56
1559,2026-01-12T13:37:51.0,2026-01-14T19:15:36.531,"Any[6, 11, 16, 25, 30, 37, 45, 56]",6,56
717,2026-01-12T13:50:16.0,2026-01-21T19:28:01.531,"Any[60, 53, 45, 37, 30, 25]",60,25
1584,2026-01-12T13:51:00.0,2026-01-21T19:28:45.531,Any[],10,64
928,2026-01-12T14:08:04.0,2026-01-21T19:45:49.531,"Any[25, 30, 37, 45, 53, 60]",25,60
804,2026-01-12T14:32:33.0,2026-01-14T20:10:18.531,"Any[19, 25, 30, 37, 45]",19,45
957,2026-01-12T14:32:33.0,2026-01-21T20:10:18.531,"Any[19, 25, 30, 37, 45]",19,45
1527,2026-01-12T14:38:00.0,2026-01-14T20:15:45.531,Any[],6,64
734,2026-01-12T14:38:11.847,2026-01-14T20:15:57.378,"Any[25, 30, 37, 45]",25,45
897,2026-01-12T14:58:33.0,2026-01-21T20:36:18.531,"Any[6, 11, 19, 25, 30, 37, 45, 56]",6,56
422,2026-01-12T15:13:34.0,2026-01-14T20:51:19.531,"Any[6, 11, 19, 25, 30, 37, 45]",6,45
2,2026-01-12T15:14:28.0,2026-01-21T20:52:13.531,"Any[56, 45, 37, 30, 25, 19, 11, 6, 1]",56,1
1238,2026-01-12T15:14:28.0,2026-01-21T20:52:13.531,"Any[56, 45, 37, 30, 25, 19, 11, 6, 1]",56,1
463,2026-01-12T15:45:17.0,2026-01-21T21:23:02.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53]",1,53
981,2026-01-12T15:45:17.0,2026-01-14T21:23:02.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53]",1,53
658,2026-01-12T15:59:39.636,2026-01-21T21:37:25.167,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
1148,2026-01-12T16:06:20.0,2026-01-14T21:44:05.531,"Any[56, 45, 37, 30, 25]",56,25
1152,2026-01-12T16:06:20.0,2026-01-14T21:44:05.531,"Any[56, 45, 37, 30, 25]",56,25
594,2026-01-12T16:41:49.0,2026-01-21T22:19:34.531,"Any[60, 53, 45, 37, 30, 25, 19, 11, 6, 6]",60,6
1120,2026-01-12T16:43:27.0,2026-01-21T22:21:12.531,"Any[25, 30, 37, 45, 56, 60, 64]",25,64
1375,2026-01-12T16:43:27.0,2026-01-21T22:21:12.531,"Any[25, 30, 37, 45, 56, 60, 64]",25,64
1376,2026-01-12T16:43:27.0,2026-01-14T22:21:12.531,"Any[25, 30, 37, 45, 56, 60, 64]",25,64
712,2026-01-12T16:44:42.0,2026-01-14T22:22:27.531,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
872,2026-01-12T16:44:42.0,2026-01-14T22:22:27.531,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
630,2026-01-12T16:53:06.0,2026-01-14T22:30:51.531,"Any[53, 45, 37, 30, 25]",53,25
1253,2026-01-12T17:00:00.0,2026-01-14T22:37:45.531,Any[],56,3
1027,2026-01-12T17:00:57.0,2026-01-14T22:38:42.531,"Any[6, 11, 19, 25, 30, 37, 45, 56]",6,56
600,2026-01-12T17:05:36.177,2026-01-14T22:43:21.708,"Any[25, 30, 37, 45, 56]",25,56
680,2026-01-12T17:05:36.177,2026-01-14T22:43:21.708,"Any[25, 30, 37, 45, 56]",25,56
1394,2026-01-12T17:05:36.177,2026-01-21T22:43:21.708,"Any[25, 30, 37, 45, 56]",25,56
1405,2026-01-12T17:05:36.177,2026-01-14T22:43:21.708,"Any[25, 30, 37, 45, 56]",25,56
1406,2026-01-12T17:05:36.177,2026-01-14T22:43:21.708,"Any[25, 30, 37, 45, 56]",25,56
1380,2026-01-12T17:14:15.0,2026-01-21T22:52:00.531,"Any[25, 30, 37, 45, 53, 60]",25,60
1418,2026-01-12T17:32:31.451,2026-01-14T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1419,2026-01-12T17:32:31.451,2026-01-21T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1422,2026-01-12T17:32:31.451,2026-01-21T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
1424,2026-01-12T17:32:31.451,2026-01-14T23:10:16.982,"Any[25, 30, 37, 45, 53]",25,53
938,2026-01-12T17:37:37.0,2026-01-14T23:15:22.531,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
1032,2026-01-12T17:37:37.0,2026-01-21T23:15:22.531,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
1096,2026-01-12T17:37:37.0,2026-01-21T23:15:22.531,"Any[56, 45, 37, 30, 25, 19, 11, 6]",56,6
156,2026-01-12T17:38:58.0,2026-01-14T23:16:43.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53]",1,53
32,2026-01-12T18:11:14.0,2026-01-21T23:48:59.531,"Any[8, 13, 19, 25, 30, 37, 45, 53]",8,53
81,2026-01-12T18:22:31.343,2026-01-15T00:00:16.874,"Any[53, 45, 37, 30, 25, 19, 13, 8]",53,8
949,2026-01-12T18:32:15.0,2026-01-22T00:10:00.531,"Any[19, 25, 30, 37, 45, 56, 60, 60, 64]",19,60
448,2026-01-12T18:55:59.057,2026-01-15T00:33:44.588,"Any[8, 13, 19, 25, 37, 45, 56, 60]",8,60
689,2026-01-12T18:55:59.057,2026-01-15T00:33:44.588,"Any[8, 13, 19, 25, 37, 45, 56, 60]",8,60
380,2026-01-12T19:05:23.0,2026-01-15T00:43:08.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1517,2026-01-12T19:26:54.0,2026-01-15T01:04:39.531,"Any[1, 6, 11, 19, 25, 30, 37, 45, 53]",1,53
681,2026-01-12T20:08:37.764,2026-01-22T01:46:23.295,"Any[54, 44, 36, 23, 19, 13, 8]",54,8
7,2026-01-12T20:10:53.0,2026-01-15T01:48:38.531,"Any[45, 37, 30, 25, 19, 10]",45,10
623,2026-01-12T20:17:24.0,2026-01-22T01:55:09.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
1275,2026-01-12T20:20:00.0,2026-01-22T01:57:45.531,Any[],53,17
291,2026-01-12T20:25:53.0,2026-01-22T02:03:38.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
561,2026-01-12T20:31:51.675,2026-01-22T02:09:37.206,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
1098,2026-01-12T20:31:51.675,2026-01-22T02:09:37.206,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
1200,2026-01-12T20:59:00.0,2026-01-22T02:36:45.531,Any[],56,17
489,2026-01-12T21:33:41.0,2026-01-22T03:11:26.531,"Any[10, 19, 25, 30, 37, 45, 53, 60]",10,60
885,2026-01-12T21:33:41.0,2026-01-22T03:11:26.531,"Any[10, 19, 25, 30, 37, 45, 53, 60]",10,60
257,2026-01-12T21:55:18.0,2026-01-22T03:33:03.531,"Any[19, 25, 30, 37, 45, 53]",19,53
682,2026-01-12T21:55:18.0,2026-01-15T03:33:03.531,"Any[19, 25, 30, 37, 45, 53]",19,53
646,2026-01-12T22:16:07.0,2026-01-22T03:53:52.531,"Any[45, 37, 30, 25, 19, 10]",45,10
323,2026-01-12T22:27:59.0,2026-01-22T04:05:44.531,"Any[53, 45, 37, 30, 25]",53,25
642,2026-01-12T23:04:16.0,2026-01-22T04:42:01.531,"Any[8, 13, 19, 25, 30, 37, 45, 53]",8,53
112,2026-01-12T23:24:09.53,2026-01-22T05:01:55.061,"Any[60, 56, 45, 37, 30, 25, 19]",60,19
430,2026-01-13T00:05:44.0,2026-01-15T05:43:29.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
1156,2026-01-13T00:27:00.0,2026-01-15T06:04:45.531,Any[],64,7
626,2026-01-13T00:55:26.0,2026-01-22T06:33:11.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
846,2026-01-13T00:55:26.0,2026-01-22T06:33:11.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
929,2026-01-13T01:01:40.0,2026-01-22T06:39:25.531,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
819,2026-01-13T02:48:37.0,2026-01-15T08:26:22.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
782,2026-01-13T03:14:59.0,2026-01-22T08:52:44.531,"Any[64, 60, 53, 45, 37, 30, 25, 19, 10]",64,10
1003,2026-01-13T03:21:06.0,2026-01-22T08:58:51.531,"Any[8, 13, 19, 25, 30, 37, 45, 53]",8,53
46,2026-01-13T03:24:36.0,2026-01-22T09:02:21.531,"Any[60, 53, 45, 37, 30, 25, 19, 10]",60,10
1295,2026-01-13T03:25:00.0,2026-01-22T09:02:45.531,Any[],53,7
1121,2026-01-13T04:30:47.0,2026-01-15T10:08:32.531,"Any[19, 17, 25, 30, 37, 45, 53, 60]",19,60
356,2026-01-13T04:52:43.0,2026-01-22T10:30:28.531,"Any[19, 25, 30, 37, 45, 53]",19,53
1017,2026-01-13T05:19:14.0,2026-01-15T10:56:59.531,"Any[5, 6, 11, 19, 25, 30, 37, 45]",5,45
306,2026-01-13T06:12:00.0,2026-01-22T11:49:45.531,"Any[53, 45, 37, 30, 25, 19, 10]",53,10
67,2026-01-13T06:31:22.0,2026-01-15T12:09:07.531,"Any[64, 53, 45, 37, 30, 25, 19, 11, 6, 1]",64,1
208,2026-01-13T07:07:21.0,2026-01-15T12:45:06.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
830,2026-01-13T07:27:07.0,2026-01-15T13:04:52.531,"Any[8, 13, 19, 25, 30, 37, 45, 56]",8,56
351,2026-01-13T08:41:38.0,2026-01-15T14:19:23.531,"Any[10, 19, 25, 30, 37, 45, 53]",10,53
