experiment_id,instance,method,weekstart,horizon,tstep,numdrivers,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varfixingthreshold
1,4,ip,2019-06-23,5,6,1.4,0,0.001,500,,,
2,4,basisip,2019-06-23,5,6,1.4,0,0.001,500,,,
3,4,mag,2019-06-23,5,6,1.4,0,0.001,500,,,
4,4,sag,2019-06-23,5,6,1.4,0,0.001,500,,,
5,4,ip,2019-06-30,5,6,1.4,0,0.001,500,,,
6,4,basisip,2019-06-30,5,6,1.4,0,0.001,500,,,
7,4,mag,2019-06-30,5,6,1.4,0,0.001,500,,,
8,4,sag,2019-06-30,5,6,1.4,0,0.001,500,,,
9,4,ip,2019-07-07,5,6,1.4,0,0.001,500,,,
10,4,basisip,2019-07-07,5,6,1.4,0,0.001,500,,,
11,4,mag,2019-07-07,5,6,1.4,0,0.001,500,,,
12,4,sag,2019-07-07,5,6,1.4,0,0.001,500,,,
13,4,ip,2019-07-14,5,6,1.4,0,0.001,500,,,
14,4,basisip,2019-07-14,5,6,1.4,0,0.001,500,,,
15,4,mag,2019-07-14,5,6,1.4,0,0.001,500,,,
16,4,sag,2019-07-14,5,6,1.4,0,0.001,500,,,
17,4,ip,2019-07-21,5,6,1.4,0,0.001,500,,,
18,4,basisip,2019-07-21,5,6,1.4,0,0.001,500,,,
19,4,mag,2019-07-21,5,6,1.4,0,0.001,500,,,
20,4,sag,2019-07-21,5,6,1.4,0,0.001,500,,,
21,4,ip,2019-07-28,5,6,1.4,0,0.001,500,,,
22,4,basisip,2019-07-28,5,6,1.4,0,0.001,500,,,
23,4,mag,2019-07-28,5,6,1.4,0,0.001,500,,,
24,4,sag,2019-07-28,5,6,1.4,0,0.001,500,,,
25,4,ip,2019-08-04,5,6,1.4,0,0.001,500,,,
26,4,basisip,2019-08-04,5,6,1.4,0,0.001,500,,,
27,4,mag,2019-08-04,5,6,1.4,0,0.001,500,,,
28,4,sag,2019-08-04,5,6,1.4,0,0.001,500,,,
29,4,ip,2019-08-11,5,6,1.4,0,0.001,500,,,
30,4,basisip,2019-08-11,5,6,1.4,0,0.001,500,,,
31,4,mag,2019-08-11,5,6,1.4,0,0.001,500,,,
32,4,sag,2019-08-11,5,6,1.4,0,0.001,500,,,
33,4,ip,2019-06-23,5,3,1.4,0,0.001,500,,,
34,4,basisip,2019-06-23,5,3,1.4,0,0.001,500,,,
35,4,mag,2019-06-23,5,3,1.4,0,0.001,500,,,
36,4,sag,2019-06-23,5,3,1.4,0,0.001,500,,,
37,4,ip,2019-06-30,5,3,1.4,0,0.001,500,,,
38,4,basisip,2019-06-30,5,3,1.4,0,0.001,500,,,
39,4,mag,2019-06-30,5,3,1.4,0,0.001,500,,,
40,4,sag,2019-06-30,5,3,1.4,0,0.001,500,,,
41,4,ip,2019-07-07,5,3,1.4,0,0.001,500,,,
42,4,basisip,2019-07-07,5,3,1.4,0,0.001,500,,,
43,4,mag,2019-07-07,5,3,1.4,0,0.001,500,,,
44,4,sag,2019-07-07,5,3,1.4,0,0.001,500,,,
