experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda
1,4,fragmvg,2019-06-23,7,3,1,,0.001,500
2,4,fragsvg,2019-06-23,7,3,1,,0.001,500
3,4,fragmvg,2019-06-23,5,2,1,,0.001,500
4,4,fragsvg,2019-06-23,5,2,1,,0.001,500
5,4,fragmvg,2019-06-23,7,2,1,,0.001,500
6,4,fragsvg,2019-06-23,7,2,1,,0.001,500
7,4,fragmvg,2019-06-23,7,3,1,,0.001,100
8,4,fragsvg,2019-06-23,7,3,1,,0.001,100
9,4,fragmvg,2019-06-23,5,2,1,,0.001,100
10,4,fragsvg,2019-06-23,5,2,1,,0.001,100
11,4,fragmvg,2019-06-23,7,2,1,,0.001,100
12,4,fragsvg,2019-06-23,7,2,1,,0.001,100
13,4,fragmvg,2019-06-30,7,3,1,,0.001,500
14,4,fragsvg,2019-06-30,7,3,1,,0.001,500
15,4,fragmvg,2019-06-30,5,2,1,,0.001,500
16,4,fragsvg,2019-06-30,5,2,1,,0.001,500
17,4,fragmvg,2019-06-30,7,2,1,,0.001,500
18,4,fragsvg,2019-06-30,7,2,1,,0.001,500
19,4,fragmvg,2019-06-30,7,3,1,,0.001,100
20,4,fragsvg,2019-06-30,7,3,1,,0.001,100
21,4,fragmvg,2019-06-30,5,2,1,,0.001,100
22,4,fragsvg,2019-06-30,5,2,1,,0.001,100
23,4,fragmvg,2019-06-30,7,2,1,,0.001,100
24,4,fragsvg,2019-06-30,7,2,1,,0.001,100
25,4,fragmvg,2019-07-07,7,3,1,,0.001,500
26,4,fragsvg,2019-07-07,7,3,1,,0.001,500
27,4,fragmvg,2019-07-07,5,2,1,,0.001,500
28,4,fragsvg,2019-07-07,5,2,1,,0.001,500
29,4,fragmvg,2019-07-07,7,2,1,,0.001,500
30,4,fragsvg,2019-07-07,7,2,1,,0.001,500
31,4,fragmvg,2019-07-07,7,3,1,,0.001,100
32,4,fragsvg,2019-07-07,7,3,1,,0.001,100
33,4,fragmvg,2019-07-07,5,2,1,,0.001,100
34,4,fragsvg,2019-07-07,5,2,1,,0.001,100
35,4,fragmvg,2019-07-07,7,2,1,,0.001,100
36,4,fragsvg,2019-07-07,7,2,1,,0.001,100
37,4,fragmvg,2019-07-14,7,3,1,,0.001,500
38,4,fragsvg,2019-07-14,7,3,1,,0.001,500
39,4,fragmvg,2019-07-14,5,2,1,,0.001,500
40,4,fragsvg,2019-07-14,5,2,1,,0.001,500
41,4,fragmvg,2019-07-14,7,2,1,,0.001,500
42,4,fragsvg,2019-07-14,7,2,1,,0.001,500
43,4,fragmvg,2019-07-14,7,3,1,,0.001,100
44,4,fragsvg,2019-07-14,7,3,1,,0.001,100
45,4,fragmvg,2019-07-14,5,2,1,,0.001,100
46,4,fragsvg,2019-07-14,5,2,1,,0.001,100
47,4,fragmvg,2019-07-14,7,2,1,,0.001,100
48,4,fragsvg,2019-07-14,7,2,1,,0.001,100
49,4,fragmvg,2019-07-21,7,3,1,,0.001,500
50,4,fragsvg,2019-07-21,7,3,1,,0.001,500
51,4,fragmvg,2019-07-21,5,2,1,,0.001,500
52,4,fragsvg,2019-07-21,5,2,1,,0.001,500
53,4,fragmvg,2019-07-21,7,2,1,,0.001,500
54,4,fragsvg,2019-07-21,7,2,1,,0.001,500
55,4,fragmvg,2019-07-21,7,3,1,,0.001,100
56,4,fragsvg,2019-07-21,7,3,1,,0.001,100
57,4,fragmvg,2019-07-21,5,2,1,,0.001,100
58,4,fragsvg,2019-07-21,5,2,1,,0.001,100
59,4,fragmvg,2019-07-21,7,2,1,,0.001,100
60,4,fragsvg,2019-07-21,7,2,1,,0.001,100
61,4,fragmvg,2019-07-28,7,3,1,,0.001,500
62,4,fragsvg,2019-07-28,7,3,1,,0.001,500
63,4,fragmvg,2019-07-28,5,2,1,,0.001,500
64,4,fragsvg,2019-07-28,5,2,1,,0.001,500
65,4,fragmvg,2019-07-28,7,2,1,,0.001,500
66,4,fragsvg,2019-07-28,7,2,1,,0.001,500
67,4,fragmvg,2019-07-28,7,3,1,,0.001,100
68,4,fragsvg,2019-07-28,7,3,1,,0.001,100
69,4,fragmvg,2019-07-28,5,2,1,,0.001,100
70,4,fragsvg,2019-07-28,5,2,1,,0.001,100
71,4,fragmvg,2019-07-28,7,2,1,,0.001,100
72,4,fragsvg,2019-07-28,7,2,1,,0.001,100
