id,edge,node,global,global1,global2,month,day,year,outputfilename
1,0,0,0,,,1,4,2026,singleregion_orders_0_0_0_date01042026
2,0.3,0,0,,,1,4,2026,singleregion_orders_0.3_0_0_date01042026
3,0.3,0.3,0,,,1,4,2026,singleregion_orders_0.3_0.3_0_date01042026
4,0.6,0,0,,,1,4,2026,singleregion_orders_0.6_0_0_date01042026
5,0.6,0.3,0,,,1,4,2026,singleregion_orders_0.6_0.3_0_date01042026
6,0.6,0.6,0,,,1,4,2026,singleregion_orders_0.6_0.6_0_date01042026
7,0.9,0,0,,,1,4,2026,singleregion_orders_0.9_0_0_date01042026
8,0.9,0.3,0,,,1,4,2026,singleregion_orders_0.9_0.3_0_date01042026
9,0.9,0.6,0,,,1,4,2026,singleregion_orders_0.9_0.6_0_date01042026
10,0.9,0.9,0,,,1,4,2026,singleregion_orders_0.9_0.9_0_date01042026
11,0,0,0,,,1,11,2026,singleregion_orders_0_0_0_date01112026
12,0.3,0,0,,,1,11,2026,singleregion_orders_0.3_0_0_date01112026
13,0.3,0.3,0,,,1,11,2026,singleregion_orders_0.3_0.3_0_date01112026
14,0.6,0,0,,,1,11,2026,singleregion_orders_0.6_0_0_date01112026
15,0.6,0.3,0,,,1,11,2026,singleregion_orders_0.6_0.3_0_date01112026
16,0.6,0.6,0,,,1,11,2026,singleregion_orders_0.6_0.6_0_date01112026
17,0.9,0,0,,,1,11,2026,singleregion_orders_0.9_0_0_date01112026
18,0.9,0.3,0,,,1,11,2026,singleregion_orders_0.9_0.3_0_date01112026
19,0.9,0.6,0,,,1,11,2026,singleregion_orders_0.9_0.6_0_date01112026
20,0.9,0.9,0,,,1,11,2026,singleregion_orders_0.9_0.9_0_date01112026
21,0,0,0,,,1,18,2026,singleregion_orders_0_0_0_date01182026
22,0.3,0,0,,,1,18,2026,singleregion_orders_0.3_0_0_date01182026
23,0.3,0.3,0,,,1,18,2026,singleregion_orders_0.3_0.3_0_date01182026
24,0.6,0,0,,,1,18,2026,singleregion_orders_0.6_0_0_date01182026
25,0.6,0.3,0,,,1,18,2026,singleregion_orders_0.6_0.3_0_date01182026
26,0.6,0.6,0,,,1,18,2026,singleregion_orders_0.6_0.6_0_date01182026
27,0.9,0,0,,,1,18,2026,singleregion_orders_0.9_0_0_date01182026
28,0.9,0.3,0,,,1,18,2026,singleregion_orders_0.9_0.3_0_date01182026
29,0.9,0.6,0,,,1,18,2026,singleregion_orders_0.9_0.6_0_date01182026
30,0.9,0.9,0,,,1,18,2026,singleregion_orders_0.9_0.9_0_date01182026
31,0,0,0,,,1,25,2026,singleregion_orders_0_0_0_date01252026
32,0.3,0,0,,,1,25,2026,singleregion_orders_0.3_0_0_date01252026
33,0.3,0.3,0,,,1,25,2026,singleregion_orders_0.3_0.3_0_date01252026
34,0.6,0,0,,,1,25,2026,singleregion_orders_0.6_0_0_date01252026
35,0.6,0.3,0,,,1,25,2026,singleregion_orders_0.6_0.3_0_date01252026
36,0.6,0.6,0,,,1,25,2026,singleregion_orders_0.6_0.6_0_date01252026
37,0.9,0,0,,,1,25,2026,singleregion_orders_0.9_0_0_date01252026
38,0.9,0.3,0,,,1,25,2026,singleregion_orders_0.9_0.3_0_date01252026
39,0.9,0.6,0,,,1,25,2026,singleregion_orders_0.9_0.6_0_date01252026
40,0.9,0.9,0,,,1,25,2026,singleregion_orders_0.9_0.9_0_date01252026
