experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mipfocus,additionaldrivers
1,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,0
2,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,25
3,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,50
4,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,75
5,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-25
6,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-50
7,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-75
8,4,mag,6/23/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,0
9,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,25
10,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,50
11,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,75
12,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-25
13,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-50
14,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-75
15,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,0
16,4,mag,6/30/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,25
17,4,mag,7/7/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,50
18,4,mag,7/7/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,75
19,4,mag,7/7/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-25
20,4,mag,7/7/2019,5,6,8,0,0.01,500,1000,0,0,0,homogeneous,1000,1,1,1,-1,0,0,0,-50
