experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking
1,4,arcip,6/23/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
2,4,arcip,6/30/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
3,4,arcip,7/7/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
4,4,arcip,7/14/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
5,4,arcip,7/21/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
6,4,arcip,7/28/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
7,4,arcip,8/4/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
8,4,arcip,8/11/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
9,4,arcip,6/23/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
10,4,arcip,6/30/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
11,4,arcip,7/7/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
12,4,arcip,7/14/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
13,4,arcip,7/21/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
14,4,arcip,7/28/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
15,4,arcip,8/4/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
16,4,arcip,8/11/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
17,4,arcip,6/23/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
18,4,arcip,6/30/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
19,4,arcip,7/7/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
20,4,arcip,7/14/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
21,4,arcip,7/21/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
22,4,arcip,7/28/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
23,4,arcip,8/4/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
24,4,arcip,8/11/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
25,4,arcip,6/23/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
26,4,ipred,6/23/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
27,4,ipred,6/23/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
28,4,ipred,6/23/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
29,4,ip,6/30/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
30,4,ipred,6/30/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
31,4,ipred,6/30/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
32,4,ipred,6/30/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
33,4,ip,7/7/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
34,4,ipred,7/7/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
35,4,ipred,7/7/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
36,4,ipred,7/7/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
37,4,ip,7/14/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
38,4,ipred,7/14/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
39,4,ipred,7/14/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
40,4,ipred,7/14/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
41,4,ip,7/21/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
42,4,ipred,7/21/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
43,4,ipred,7/21/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
44,4,ipred,7/21/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
45,4,ip,7/28/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
46,4,ipred,7/28/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
47,4,ipred,7/28/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
48,4,ipred,7/28/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
49,4,ip,8/4/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
50,4,ipred,8/4/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
51,4,ipred,8/4/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
52,4,ipred,8/4/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
53,4,ip,8/11/2019,5,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
54,4,ipred,8/11/2019,5,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
55,4,ipred,8/11/2019,5,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
56,4,ipred,8/11/2019,5,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
57,4,ip,6/23/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
