experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mip_focus,deadline_sp,old_id
1,4,mag,2019-06-23,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,17
2,4,mag,2019-06-30,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,18
3,4,mag,2019-07-07,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,19
4,4,mag,2019-07-14,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,20
5,4,mag,2019-07-21,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,21
6,4,mag,2019-07-28,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,22
7,4,mag,2019-08-04,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,23
8,4,mag,2019-08-11,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,24
9,4,mag,2019-06-23,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,25
10,4,mag,2019-06-30,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,26
11,4,mag,2019-07-07,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,27
12,4,mag,2019-07-14,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,28
13,4,mag,2019-07-21,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,29
14,4,mag,2019-07-28,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,30
15,4,mag,2019-08-04,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,31
16,4,mag,2019-08-11,5,6,8,0,0.01,500,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,32
17,4,mag,2019-06-23,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,33
18,4,mag,2019-06-30,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,34
19,4,mag,2019-07-07,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,35
20,4,mag,2019-07-14,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,36
21,4,mag,2019-07-21,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,37
22,4,mag,2019-07-28,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,38
23,4,mag,2019-08-04,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,39
24,4,mag,2019-08-11,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,40
25,4,mag,2019-06-23,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,41
26,4,mag,2019-06-30,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,42
27,4,mag,2019-07-07,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,43
28,4,mag,2019-07-14,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,44
29,4,mag,2019-07-21,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,45
30,4,mag,2019-07-28,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,46
31,4,mag,2019-08-04,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,47
32,4,mag,2019-08-11,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,48
33,4,mag,2019-06-23,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,49
34,4,mag,2019-06-30,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,50
35,4,mag,2019-07-07,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,51
36,4,mag,2019-07-14,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,52
37,4,mag,2019-07-21,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,53
38,4,mag,2019-07-28,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,54
39,4,mag,2019-08-04,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,55
40,4,mag,2019-08-11,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,56
41,4,mag,2019-06-23,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,57
42,4,mag,2019-06-30,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,58
43,4,mag,2019-07-07,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,59
44,4,mag,2019-07-14,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,60
45,4,mag,2019-07-21,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,61
46,4,mag,2019-07-28,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,62
47,4,mag,2019-08-04,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,63
48,4,mag,2019-08-11,5,6,8,0,0.01,100,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,64
49,4,mag,2019-06-23,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,65
50,4,mag,2019-06-30,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,66
51,4,mag,2019-07-07,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,67
52,4,mag,2019-07-14,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,68
53,4,mag,2019-07-21,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,69
54,4,mag,2019-07-28,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,70
55,4,mag,2019-08-04,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,71
56,4,mag,2019-08-11,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1,72
57,4,mag,2019-06-23,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,73
58,4,mag,2019-06-30,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,74
59,4,mag,2019-07-07,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,75
60,4,mag,2019-07-14,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,76
61,4,mag,2019-07-21,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,77
62,4,mag,2019-07-28,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,78
63,4,mag,2019-08-04,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,79
64,4,mag,2019-08-11,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,1.5,80
65,4,mag,2019-06-23,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,81
66,4,mag,2019-06-30,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,82
67,4,mag,2019-07-07,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,83
68,4,mag,2019-07-14,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,84
69,4,mag,2019-07-21,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,85
70,4,mag,2019-07-28,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,86
71,4,mag,2019-08-04,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,87
72,4,mag,2019-08-11,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,2,88
73,4,mag,2019-06-23,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,89
74,4,mag,2019-06-30,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,90
75,4,mag,2019-07-07,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,91
76,4,mag,2019-07-14,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,92
77,4,mag,2019-07-21,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,93
78,4,mag,2019-07-28,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,94
79,4,mag,2019-08-04,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,95
80,4,mag,2019-08-11,5,6,8,0,0.01,1000,,0,0,0,homogeneousdeadlines,1000,1,1,1,-1,6,0,,3,96
