experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking,mipfocus,
1,4,mag,2019-06-23,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
2,4,mag,2019-06-30,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
3,4,mag,2019-07-07,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
4,4,mag,2019-07-14,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
5,4,mag,2019-07-21,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
6,4,mag,2019-07-28,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
7,4,mag,2019-08-04,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
8,4,mag,2019-08-11,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0,0,0
9,4,mag,2019-06-23,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
10,4,mag,2019-06-30,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
11,4,mag,2019-07-07,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
12,4,mag,2019-07-14,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
13,4,mag,2019-07-21,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
14,4,mag,2019-07-28,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
15,4,mag,2019-08-04,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
16,4,mag,2019-08-11,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.2,6,0,0,0
17,4,mag,2019-06-23,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.4,6,0,0,0
18,4,mag,2019-06-30,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.4,6,0,0,0
19,4,mag,2019-07-07,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.4,6,0,0,0
20,4,mag,2019-07-14,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.4,6,0,0,0
21,4,mag,2019-07-21,3,6,7.7,0,0.01,500,24,0.01,0,0,heterogeneous,1000,1,1,1,0.4,6,0,0,0
