experiment,cb,ab,db,totalflow,stdev,seed
1,1,0,0,500,0.2,
2,1,0,0.1,500,0.2,
3,1,0,0.2,500,0.2,
4,1,0,0.3,500,0.2,
5,1,0,0.4,500,0.2,
6,1,0,0.5,500,0.2,
7,1,0,0.6,500,0.2,
8,1,0,0.7,500,0.2,
9,1,0,0.8,500,0.2,
10,1,0,0.9,500,0.2,
11,1,0,1,500,0.2,
12,1,0.1,0,500,0.2,
13,1,0.1,0.1,500,0.2,
14,1,0.1,0.2,500,0.2,
15,1,0.1,0.3,500,0.2,
16,1,0.1,0.4,500,0.2,
17,1,0.1,0.5,500,0.2,
18,1,0.1,0.6,500,0.2,
19,1,0.1,0.7,500,0.2,
20,1,0.1,0.8,500,0.2,
21,1,0.1,0.9,500,0.2,
22,1,0.1,1,500,0.2,
23,1,0.2,0,500,0.2,
24,1,0.2,0.1,500,0.2,
25,1,0.2,0.2,500,0.2,
26,1,0.2,0.3,500,0.2,
27,1,0.2,0.4,500,0.2,
28,1,0.2,0.5,500,0.2,
29,1,0.2,0.6,500,0.2,
30,1,0.2,0.7,500,0.2,
31,1,0.2,0.8,500,0.2,
32,1,0.2,0.9,500,0.2,
33,1,0.2,1,500,0.2,
34,1,0.3,0,500,0.2,
35,1,0.3,0.1,500,0.2,
36,1,0.3,0.2,500,0.2,
37,1,0.3,0.3,500,0.2,
38,1,0.3,0.4,500,0.2,
39,1,0.3,0.5,500,0.2,
40,1,0.3,0.6,500,0.2,
41,1,0.3,0.7,500,0.2,
42,1,0.3,0.8,500,0.2,
43,1,0.3,0.9,500,0.2,
44,1,0.3,1,500,0.2,
45,1,0.4,0,500,0.2,
46,1,0.4,0.1,500,0.2,
47,1,0.4,0.2,500,0.2,
48,1,0.4,0.3,500,0.2,
49,1,0.4,0.4,500,0.2,
50,1,0.4,0.5,500,0.2,
51,1,0.4,0.6,500,0.2,
52,1,0.4,0.7,500,0.2,
53,1,0.4,0.8,500,0.2,
54,1,0.4,0.9,500,0.2,
55,1,0.4,1,500,0.2,
56,1,0.5,0,500,0.2,
57,1,0.5,0.1,500,0.2,
58,1,0.5,0.2,500,0.2,
59,1,0.5,0.3,500,0.2,
60,1,0.5,0.4,500,0.2,
61,1,0.5,0.5,500,0.2,
62,1,0.5,0.6,500,0.2,
63,1,0.5,0.7,500,0.2,
64,1,0.5,0.8,500,0.2,
65,1,0.5,0.9,500,0.2,
66,1,0.5,1,500,0.2,
67,1,0.6,0,500,0.2,
68,1,0.6,0.1,500,0.2,
69,1,0.6,0.2,500,0.2,
70,1,0.6,0.3,500,0.2,
71,1,0.6,0.4,500,0.2,
72,1,0.6,0.5,500,0.2,
73,1,0.6,0.6,500,0.2,
74,1,0.6,0.7,500,0.2,
75,1,0.6,0.8,500,0.2,
76,1,0.6,0.9,500,0.2,
77,1,0.6,1,500,0.2,
78,1,0.7,0,500,0.2,
79,1,0.7,0.1,500,0.2,
80,1,0.7,0.2,500,0.2,
81,1,0.7,0.3,500,0.2,
82,1,0.7,0.4,500,0.2,
83,1,0.7,0.5,500,0.2,
84,1,0.7,0.6,500,0.2,
85,1,0.7,0.7,500,0.2,
86,1,0.7,0.8,500,0.2,
