stop_sequence,hub_code,actual_in_timestamp,actual_out_timestamp,id
0,DELP1,1.56E+12,1.57E+12,1071
1,BLRP1,1.56E+12,1.56E+12,9562
2,BAGP1,1.56E+12,1.56E+12,9562
1,MAAP1,1.56E+12,1.56E+12,8053
2,GDRP1,1.56E+12,1.56E+12,8053
4,KRNP1,1.56E+12,1.56E+12,9562
2,VTZP1,1.56E+12,1.56E+12,6809
2,CTAP1,1.56E+12,1.56E+12,7175
1,AMBP1,1.56E+12,1.56E+12,8017
1,TPNP1,1.56E+12,1.56E+12,8571
1,DELP1,1.56E+12,1.56E+12,8895
2,MAAP1,1.56E+12,1.56E+12,9258
1,CCUP1,1.56E+12,1.56E+12,6463
3,BGMP1,1.56E+12,1.56E+12,7175
1,BLRP2,1.56E+12,1.56E+12,8608
1,KRIP1,1.56E+12,1.56E+12,8925
3,VGAP1,1.56E+12,1.56E+12,8053
1,KNUP1,1.56E+12,1.56E+12,7316
1,CTAP1,1.56E+12,1.56E+12,7563
1,SXVP1,1.56E+12,1.56E+12,8067
1,BAGP1,1.56E+12,1.56E+12,8818
3,GDRP1,1.56E+12,1.56E+12,9258
5,HYDP1,1.56E+12,1.56E+12,9562
4,STRP1,1.56E+12,1.56E+12,7175
1,BAGP1,1.56E+12,1.56E+12,7838
1,NAGP1,1.56E+12,1.56E+12,6460
3,BPCP1,1.56E+12,1.56E+12,6463
2,HYDP2,1.56E+12,1.56E+12,7423
2,CCUP1,1.56E+12,1.56E+12,7602
1,AMBP1,1.56E+12,1.56E+12,7683
4,VTZP1,1.56E+12,1.56E+12,8053
2,CTAP1,1.56E+12,1.56E+12,8925
4,PGRP1,1.56E+12,1.56E+12,9258
2,BGMP1,1.56E+12,1.56E+12,7563
1,BLRP2,1.56E+12,1.56E+12,8851
2,NURP1,1.56E+12,1.56E+12,6460
1,AMBP1,1.56E+12,1.56E+12,6472
1,AWBP1,1.56E+12,1.56E+12,7171
1,HYDP1,1.56E+12,1.56E+12,7423
1,MAAP1,1.56E+12,1.56E+12,7735
2,KRNP1,1.56E+12,1.56E+12,7838
6,BAMP1,1.56E+12,1.56E+12,8053
1,CCUP1,1.56E+12,1.56E+12,9984
2,AGRP2,1.56E+12,1.56E+12,8741
2,KRNP1,1.56E+12,1.56E+12,8818
