method,example,driverid,emptymiles,ordermiles,percentempty
abcg,4,10,0.0,251.2448628,0.0
abcg,4,65,94.05205987000596,1007.54671267,0.08537778201508511
abcg,4,73,159.65453939001839,277.08668339,0.36555866738147264
abcg,4,299,179.6379295,438.9654634,0.29039273234157525
abcg,4,575,0.0,823.6958861,0.0
abcg,4,738,252.50697020000348,505.0139404,0.33333333333333637
abcg,4,744,107.7633541,701.77748535,0.1331166370472602
abcg,4,774,405.9905082,772.9726139,0.34436234737931337
abcg,4,881,0.0,583.3220574,0.0
abcg,4,1099,0.0,1043.7676648,0.0
abcg,4,1118,94.13981621,892.30759721,0.09543318268088768
abcg,4,1154,648.3228322,648.3228322,0.5
abcg,4,1182,123.6825211,695.3981380400002,0.15100163789712895
abcg,4,1184,254.73428140001255,833.3266180200001,0.23411766890603075
abcg,4,1221,0.0,406.1506948,0.0
abcg,4,1324,123.6825211,123.6825211,0.5
abcg,4,1798,239.6481888,239.6481888,0.5
abcg,4,1880,166.67801850885272,166.678026,0.4999999887640446
abcg,4,2308,0.0,1340.6466135,0.0
abcg,4,2638,0.0,406.8382992,0.0
abcg,4,2769,251.86630287999998,750.2347392,0.2513382306810264
abcg,4,2771,215.7284819,431.4569638,0.33333333333333337
abcg,4,2951,618.85567570003,618.8556757,0.5000000000000121
abcg,4,2953,398.70837020003,398.7083702,0.5000000000000189
abcg,4,3008,398.70837020003,398.7083702,0.5000000000000189
abcg,4,3203,541.7607835,541.7607835,0.5
abcg,4,3213,220.1473055,220.1473055,0.5
abcg,4,73,159.65453939001839,277.08668339,0.36555866738147264
abcg,4,125,65.43250029,697.28010167,0.08578919519862811
abcg,4,186,286.2659668,286.2659668,0.5
abcg,4,744,107.7633541,701.77748535,0.1331166370472602
abcg,4,752,167.16582980007357,773.6605386,0.1776797881253564
abcg,4,757,76.34023032473544,1335.6151022600002,0.05406702929120744
abcg,4,1118,94.13981621,892.30759721,0.09543318268088768
abcg,4,1181,166.7754792,853.6381667999999,0.16343909144468655
abcg,4,1182,123.6825211,695.3981380400002,0.15100163789712895
abcg,4,1203,0.0,758.4137539999999,0.0
abcg,4,1312,0.0,392.3171678,0.0
abcg,4,1884,0.0,347.8753922,0.0
abcg,4,2155,0.0,347.8753922,0.0
abcg,4,2261,0.0,270.6052748,0.0
abcg,4,2262,0.0,270.6052748,0.0
abcg,4,2692,52.51138981797018,53.023943425,0.49757164927006114
abcg,4,2756,52.51138981797018,53.023943425,0.49757164927006114
abcg,4,3073,131.92979838,419.31850957999995,0.23932916704675525
abcg,4,83,52.02696769,508.77429409,0.09277255818730658
abcg,4,120,0.0,1466.1194381999999,0.0
abcg,4,122,0.0,2018.7442235999997,0.0
abcg,4,124,52.02696769,302.24901339,0.14685434652215854
abcg,4,128,333.96623499,412.41084783,0.44744974447526137
abcg,4,141,0.0,321.812326,0.0
abcg,4,147,128.6999858,128.6999858,0.5
abcg,4,171,0.0,481.7579096,0.0
abcg,4,204,120.8282938,120.8282938,0.5
abcg,4,215,377.4381027,1132.3143081,0.25
abcg,4,264,129.66371832609178,1436.7273092500002,0.08277863958831505
abcg,4,265,259.3275339,518.6550678,0.3333333333333333
abcg,4,302,120.8282938,470.4101773,0.2043647355612682
abcg,4,304,360.5773942333448,812.9260560666667,0.30726572993131085
abcg,4,321,334.3316596,334.3316596,0.5
abcg,4,372,334.3316596,334.3316596,0.5
abcg,4,440,162.769031,488.307093,0.25
abcg,4,441,0.0,213.2938322,0.0
abcg,4,442,162.769031,488.307093,0.25
abcg,4,455,106.6469161,547.2176863,0.16310244614642563
abcg,4,505,347.5258709,347.5258709,0.5
abcg,4,524,158.6159559,427.74255329999994,0.27051019710860535
abcg,4,546,0.0,361.1176116,0.0
abcg,4,549,0.0,1826.9893056,0.0
abcg,4,728,326.91939485,526.02113335,0.3832850990677078
abcg,4,766,79.521073375,1857.3922930250003,0.041055565393097584
abcg,4,868,0.0,390.3127042,0.0
abcg,4,893,136.0815246,722.4400337999999,0.1585068228846937
abcg,4,939,127.7345285,653.672534,0.16346733300737218
abcg,4,1100,369.2497059666666,1189.6157458333332,0.2368707995550862
abcg,4,1112,409.3331396666666,573.0663955333333,0.41666666666666663
abcg,4,1131,245.5998838,1557.4836373199998,0.13621104120980687
abcg,4,1134,94.13981621,585.33958381,0.1385469761220562
abcg,4,1144,163.73325586666667,421.60632794333327,0.27972353210920753
abcg,4,1155,390.10547369999995,390.10547369999995,0.5
abcg,4,1183,254.7342814,749.4643658000001,0.25366921386547747
abcg,4,1185,453.3737106,708.107992,0.39034081172791085
abcg,4,1277,254.7342814,493.80293919999997,0.340309438715438
abcg,4,1344,0.0,411.0329002,0.0
abcg,4,1402,265.9841254,531.9682508,0.33333333333333337
abcg,4,1407,275.5801174,807.5483681999999,0.2544297570083222
abcg,4,1444,0.0,995.14634257,0.0
abcg,4,1472,0.0,461.0161098,0.0
abcg,4,1691,92.92563677,808.0105649,0.1031434152582064
abcg,4,1807,515.2283062,1066.388541,0.32576050711152293
abcg,4,1863,166.678026,166.678026,0.5
abcg,4,1875,92.92563677,535.6568168,0.14783364734766916
abcg,4,1953,167.83383577142857,1007.0030146285715,0.14285714285714285
abcg,4,1957,167.83383577142857,1007.0030146285715,0.14285714285714285
abcg,4,1958,167.83383577142857,1007.0030146285715,0.14285714285714285
abcg,4,1961,277.97479049642857,896.8620599035714,0.23660714285714285
abcg,4,1973,167.83383577142857,419.58458942857146,0.2857142857142857
abcg,4,2064,167.83383577142857,419.58458942857146,0.2857142857142857
abcg,4,2105,113.9452827,341.8358481,0.25
abcg,4,2106,113.9452827,727.2881459,0.13545025533475336
abcg,4,2108,200.0519363,200.0519363,0.5
abcg,4,2159,53.99585401,460.83415320999995,0.10488093788776806
abcg,4,2211,95.77211290000001,1053.4932419000002,0.08333333333333334
abcg,4,2223,95.77211290000001,478.8605645,0.16666666666666669
abcg,4,2407,0.0,745.3296478,0.0
abcg,4,2452,239.6481888,839.8039977000001,0.22200908182606194
abcg,4,2520,0.0,537.4175715,0.0
abcg,4,2642,195.4859589,426.4967223,0.31429485869742574
abcg,4,2736,229.058968,265.19678898,0.4634421850735647
abcg,4,2761,0.0,510.6759574,0.0
abcg,4,2808,252.37886250999998,215.7284819,0.5391474103618198
abcg,4,2866,215.7284819,431.4569638,0.33333333333333337
abcg,4,2964,195.48595890018328,195.4859589,0.5000000000002344
abcg,4,83,52.02696769,508.77429409,0.09277255818730658
abcg,4,141,0.0,321.812326,0.0
abcg,4,302,120.8282938,470.4101773,0.2043647355612682
abcg,4,505,347.5258709,347.5258709,0.5
abcg,4,524,158.6159559,427.74255329999994,0.27051019710860535
abcg,4,546,0.0,361.1176116,0.0
abcg,4,734,191.67094051,128.65737797,0.5983577768568943
abcg,4,893,136.0815246,722.4400337999999,0.1585068228846937
abcg,4,953,298.65260775,497.75434625,0.375
abcg,4,1013,0.0,733.9642114000001,0.0
abcg,4,1213,0.0,352.2630592,0.0
abcg,4,1340,46.700179425,326.901255975,0.125
abcg,4,1691,92.92563677,808.0105649,0.1031434152582064
abcg,4,2146,0.0,347.8753922,0.0
abcg,4,2149,0.0,1002.1792484000001,0.0
abcg,4,2642,195.4859589,426.4967223,0.31429485869742574
abcg,4,2648,0.0,1295.0154892000003,0.0
abcg,4,2964,195.48595890018328,195.4859589,0.5000000000002344
abcg,4,2988,0.0,287.3887112,0.0
abcg,4,10,0.0,251.2448628,0.0
abcg,4,23,332.583665,332.583665,0.5
abcg,4,58,94.05205987002938,94.05205987,0.5000000000000782
abcg,4,70,0.0,1826.9893056,0.0
abcg,4,73,159.65453939001839,277.08668339,0.36555866738147264
abcg,4,101,107.6275717,211.68150708,0.33706392599677404
abcg,4,107,0.0,913.4946528,0.0
abcg,4,125,65.43250029,697.28010167,0.08578919519862811
abcg,4,186,286.2659668,286.2659668,0.5
abcg,4,227,377.4381027,595.3894729,0.38798047276487996
abcg,4,299,179.6379295,438.9654634,0.29039273234157525
abcg,4,392,0.0,361.1176116,0.0
abcg,4,458,0.0,289.2705818,0.0
abcg,4,459,106.6469161,106.6469161,0.5
abcg,4,500,0.0,289.2705818,0.0
abcg,4,509,158.6159559,158.6159559,0.5
abcg,4,510,0.0,583.3220574,0.0
abcg,4,519,0.0,1205.1556815,0.0
abcg,4,527,0.0,361.1176116,0.0
abcg,4,529,180.5588058,1094.0534585999999,0.14165782869270813
abcg,4,556,219.7734253,879.0937012,0.2
abcg,4,563,0.0,738.4284931,0.0
abcg,4,575,0.0,823.6958861,0.0
abcg,4,727,252.50696396525896,252.5069702,0.4999999938271594
abcg,4,738,252.50697020000348,505.0139404,0.33333333333333637
abcg,4,740,334.3316596,606.4947088,0.3553595762505842
abcg,4,744,107.7633541,701.77748535,0.1331166370472602
abcg,4,748,0.0,788.0546692999999,0.0
abcg,4,759,190.8505761,1306.5159397000002,0.12745748892216544
abcg,4,769,381.7011522,381.7011522,0.5
abcg,4,773,44.21079551,1418.0960976,0.03023359577822513
abcg,4,774,405.9905082,772.9726139,0.34436234737931337
abcg,4,815,245.5998838,245.59988379999996,0.5
abcg,4,870,145.83051435,437.49154304999996,0.25
abcg,4,881,0.0,583.3220574,0.0
abcg,4,905,145.83051435,437.49154304999996,0.25
abcg,4,926,0.0,215.5267082,0.0
abcg,4,941,199.10173850000487,199.1017385,0.5000000000000061
abcg,4,1099,0.0,1043.7676648,0.0
abcg,4,1125,230.56329599999998,967.3629473999999,0.1924686910152385
abcg,4,1136,245.5998838,1259.294373,0.1632007582527708
abcg,4,1146,306.99985474999994,675.3996804499999,0.3125
abcg,4,1154,648.3228322,648.3228322,0.5
abcg,4,1178,223.89716396422318,223.8970149,0.500000166442788
abcg,4,1181,166.7754792,853.6381667999999,0.16343909144468655
abcg,4,1184,254.73428140001255,833.3266180200001,0.23411766890603075
