method,example,driverid,emptymiles,ordermiles,percentempty
otd,4,34,52.02696769000441,219.67449126999998,0.19148578697055507
otd,4,69,456.7473264000907,456.7473264,0.5000000000000496
otd,4,767,389.15492070001073,834.4729316,0.31803372240058914
otd,4,870,0.0,583.3220574,0.0
otd,4,1128,399.08389050005655,399.0838905,0.5000000000000354
otd,4,1129,493.877037585,596.6352626349999,0.4528853434164523
otd,4,1184,362.4976355,759.48135231,0.3230877221752273
otd,4,1187,430.9018052,430.9018052,0.5
otd,4,1218,223.8970149000039,630.0477097,0.26219146093428874
otd,4,1315,205.5164501,205.5164501,0.5
otd,4,1320,223.1457221,223.1457221,0.5
otd,4,1445,215.4509026,410.562283,0.34416352172119485
otd,4,1572,293.7092126,293.7092126,0.5
otd,4,2315,0.0,510.6759574,0.0
otd,4,2359,287.3163387,287.3163387,0.5
otd,4,2703,255.3379787,255.3379787,0.5
otd,4,2765,255.3379787,255.3379787,0.5
otd,4,2827,215.7284819,647.1854457,0.25
otd,4,2840,215.7284819,570.64407828,0.2743336845968022
otd,4,2974,195.4859589,195.4859589,0.5
otd,4,3205,377.5930805,377.5930805,0.5
otd,4,34,52.02696769000441,219.67449126999998,0.19148578697055507
otd,4,487,144.6352909,144.6352909,0.5
otd,4,1191,0.0,555.3384066,0.0
otd,4,1837,0.0,347.8753922,0.0
otd,4,2238,0.0,541.2105496,0.0
otd,4,2279,0.0,270.6052748,0.0
otd,4,3045,36.65038061,322.2036582,0.10213172110738045
otd,4,3075,65.9648991901612,65.96489919,0.500000000000611
otd,4,121,0.0,913.4946528,0.0
otd,4,124,631.8713899800616,772.1100804,0.4500567872943596
otd,4,128,608.0158927466658,795.9655776333333,0.4330654681518705
otd,4,152,128.6999858,128.6999858,0.5
otd,4,182,0.0,481.7579096,0.0
otd,4,222,754.8762054,754.8762054,0.5
otd,4,223,377.4381027,377.4381027,0.5
otd,4,289,0.0,1061.473462,0.0
otd,4,402,162.769031,1139.383217,0.125
otd,4,439,162.769031,488.307093,0.25
otd,4,525,228.3736632,685.1209896,0.25
otd,4,526,228.3736632,1141.868316,0.16666666666666666
otd,4,574,484.4343897250005,620.138988275,0.43857148775588206
otd,4,583,203.55689782499996,339.261496375,0.375
otd,4,590,203.55689782499996,339.261496375,0.375
otd,4,621,484.4343897250078,620.138988275,0.4385714877558858
otd,4,728,447.016161,447.016161,0.5
otd,4,766,31.80842935,789.43957345,0.03873181942793274
otd,4,785,213.116476645,1827.3636744550001,0.10444427824015406
otd,4,876,107.7633541,872.6182257099999,0.10991980706214897
otd,4,939,255.4690570000013,255.469057,0.5000000000000013
otd,4,943,199.1017385,199.1017385,0.5
otd,4,1100,163.73325586666667,2322.885964233333,0.0658457292307433
otd,4,1142,463.0461737416666,826.3213748583333,0.3591265921377065
otd,4,1144,0.0,798.167781,0.0
otd,4,1161,223.8970149,702.0343305,0.24180736078577947
otd,4,1166,343.4313438,582.5000016,0.3709036803928897
otd,4,1185,646.3527078,646.3527078,0.5
otd,4,1307,0.0,822.0658004,0.0
otd,4,1314,223.1457221,316.54608095000003,0.4134687998574744
otd,4,1359,408.57218009999997,674.5563055,0.3772148785041611
otd,4,1374,265.9841254,817.1443601999999,0.2455702429916778
otd,4,1425,195.11138039999793,195.1113804,0.4999999999999974
otd,4,1479,230.5080549,230.5080549,0.5
otd,4,1635,92.92563677,361.71912069999996,0.204391748157641
otd,4,1799,275.5801174,275.5801174,0.5
otd,4,1859,166.678026,166.678026,0.5
otd,4,1876,166.678026,340.61572209999997,0.32856313846616475
otd,4,1878,166.678026,166.678026,0.5
otd,4,1887,166.678026,340.61572209999997,0.32856313846616475
otd,4,1953,151.30474588484856,1610.9505297151516,0.0858585858585859
otd,4,1957,97.90307086666667,1508.3907433333331,0.060949665622304854
otd,4,1987,97.90307086666667,489.51535433333333,0.16666666666666666
otd,4,2055,97.90307086666667,1076.9337795333333,0.08333333333333333
otd,4,2064,97.90307086666667,489.51535433333333,0.16666666666666666
otd,4,2078,97.90307086666667,489.51535433333333,0.16666666666666666
otd,4,2113,113.9452827,113.9452827,0.5
otd,4,2127,113.9452827,113.9452827,0.5
otd,4,2190,383.08845160000004,1340.8095806000001,0.2222222222222222
otd,4,2209,95.77211290000001,478.8605645,0.16666666666666669
otd,4,2306,287.3163387,861.9490161000001,0.25
otd,4,2441,0.0,745.3296478,0.0
otd,4,2519,179.1391905,179.1391905,0.5
otd,4,2602,53.99585401,949.2270579000001,0.053822389190852145
otd,4,2666,0.0,1021.3519148,0.0
otd,4,2761,484.3969467,484.3969467,0.5
otd,4,2792,215.7284819,215.7284819,0.5
otd,4,2824,215.7284819,215.7284819,0.5
otd,4,3004,398.7083702,398.7083702,0.5
otd,4,244,217.9513702,217.9513702,0.5
otd,4,1040,0.0,352.2630592,0.0
otd,4,1210,0.0,352.2630592,0.0
otd,4,1635,92.92563677,361.71912069999996,0.204391748157641
otd,4,34,52.02696769000441,219.67449126999998,0.19148578697055507
otd,4,37,332.58366500001415,332.583665,0.5000000000000107
otd,4,61,332.58366500001415,332.583665,0.5000000000000107
otd,4,69,456.7473264000907,456.7473264,0.5000000000000496
otd,4,98,456.7473264,456.7473264,0.5
otd,4,125,501.5211102000247,500.4440914,0.5005374531961314
otd,4,127,291.7711635800731,611.227706,0.32311354245189383
otd,4,131,179.6379295,179.6379295,0.5
otd,4,132,179.6379295,179.6379295,0.5
otd,4,177,240.87895480002385,240.8789548,0.5000000000000248
otd,4,199,377.4381027,377.4381027,0.5
otd,4,203,120.8282938,120.8282938,0.5
otd,4,213,377.4381027,377.4381027,0.5
otd,4,253,120.8282938,120.8282938,0.5
otd,4,272,217.95137020004327,373.2871009,0.3686352983670506
otd,4,305,0.0,668.6633192,0.0
otd,4,421,325.538062,325.538062,0.5
otd,4,459,240.8789548,240.8789548,0.5
otd,4,495,181.9773179,181.9773179,0.5
otd,4,527,0.0,1159.2853926,0.0
otd,4,538,0.0,722.2352232,0.0
otd,4,555,384.60349427499983,934.037057525,0.2916666666666666
otd,4,559,164.83006897500002,793.3718494249999,0.17202018260434326
otd,4,563,384.603494275,494.49020692500005,0.4375
otd,4,568,274.716781625,824.1503448750001,0.25
otd,4,714,249.8648853,249.8648853,0.5
otd,4,727,640.4925857333657,808.8305658666668,0.4419253118438568
otd,4,738,479.8754958,732.382466,0.39585262454161596
otd,4,740,334.3316596,1002.9949788000001,0.25
otd,4,759,190.8505761,190.8505761,0.5
otd,4,765,389.1549207000001,643.6223555,0.37680430201936316
otd,4,767,389.15492070001073,834.4729316,0.31803372240058914
otd,4,773,305.360921760006,839.7425348400001,0.2666666666666705
otd,4,870,0.0,583.3220574,0.0
otd,4,882,291.6610287,291.6610287,0.5
otd,4,894,136.0815246,136.0815246,0.5
otd,4,932,81.51182554,509.4019866,0.13794198724989037
otd,4,940,255.469057,255.469057,0.5
otd,4,968,280.8774919,280.8774919,0.5
otd,4,970,280.8774919,280.8774919,0.5
otd,4,973,280.8774919,546.8616173,0.3393309422958941
otd,4,1099,266.055927,1575.8795188,0.14444367613787087
otd,4,1105,378.6278473,1309.8235918,0.2242456244414237
otd,4,1107,122.79994190000875,368.39982569999995,0.2500000000000134
otd,4,1109,286.5331977666754,695.8663374333332,0.291666666666673
otd,4,1121,122.79994190000875,368.39982569999995,0.2500000000000134
otd,4,1128,399.08389050005655,399.0838905,0.5000000000000354
otd,4,1129,493.877037585,596.6352626349999,0.4528853434164523
otd,4,1135,122.79994190000875,859.5995932999999,0.1250000000000078
otd,4,1178,462.9656727,462.9656727,0.5
otd,4,1184,362.4976355,759.48135231,0.3230877221752273
otd,4,1187,430.9018052,430.9018052,0.5
otd,4,1188,33.84589123333333,778.4554983666666,0.04166666666666667
otd,4,1207,33.84589123333333,372.30480356666664,0.08333333333333333
otd,4,1218,223.8970149000039,630.0477097,0.26219146093428874
otd,4,1223,176.1315296,582.2822244,0.23223672918779897
otd,4,1257,33.84589123333333,372.30480356666664,0.08333333333333333
otd,4,1265,0.0,478.1373156,0.0
otd,4,1298,0.0,478.1373156,0.0
otd,4,1312,0.0,280.20107655000004,0.0
otd,4,1315,205.5164501,205.5164501,0.5
otd,4,1318,0.0,373.6014354,0.0
otd,4,1320,223.1457221,223.1457221,0.5
otd,4,1337,123.6825211,299.65626631,0.29215967158760375
otd,4,1366,265.9841254,265.9841254,0.5
otd,4,1441,345.53674950000004,503.48791977,0.40698081222668836
otd,4,1445,215.4509026,410.562283,0.34416352172119485
otd,4,1450,276.9334667000668,1258.389251,0.18037475998200345
otd,4,1455,230.50805490000658,884.8119111000001,0.2066743732085266
otd,4,1474,0.0,922.0322196,0.0
otd,4,1511,0.0,812.3013896000001,0.0
otd,4,1519,0.0,406.15069480000005,0.0
otd,4,1567,0.0,406.15069480000005,0.0
otd,4,1572,293.7092126,293.7092126,0.5
otd,4,1579,0.0,406.15069480000005,0.0
otd,4,1607,116.04305565714286,696.2583339428572,0.14285714285714285
otd,4,1664,195.0410947002828,195.0410947,0.5000000000003625
otd,4,1742,275.5801174000118,275.5801174,0.5000000000000108
otd,4,1751,275.5801174000118,275.5801174,0.5000000000000108
otd,4,1803,275.5801174000118,275.5801174,0.5000000000000108
otd,4,1809,275.5801174000118,275.5801174,0.5000000000000108
otd,4,1811,275.5801174000118,275.5801174,0.5000000000000108
otd,4,1853,0.0,347.8753922,0.0
otd,4,1964,97.90307086666667,1076.9337795333333,0.08333333333333333
otd,4,1966,0.0,587.4184252,0.0
otd,4,1996,0.0,587.4184252,0.0
otd,4,2058,0.0,587.4184252,0.0
otd,4,2110,0.0,227.8905654,0.0
otd,4,2138,0.0,347.8753922,0.0
otd,4,2238,0.0,541.2105496,0.0
otd,4,2240,135.3026374,135.3026374,0.5
otd,4,2279,0.0,270.6052748,0.0
otd,4,2315,0.0,510.6759574,0.0
otd,4,2328,0.0,574.6326774,0.0
otd,4,2359,287.3163387,287.3163387,0.5
otd,4,2412,186.33241195,558.9972358499999,0.25
otd,4,2417,186.33241195,558.9972358499999,0.25
otd,4,2461,239.6481888000681,239.6481888,0.500000000000071
otd,4,2538,211.88631613009122,211.88631613,0.5000000000001077
otd,4,2549,119.4261269999999,238.85225400000002,0.33333333333333315
otd,4,2552,119.4261269999999,238.85225400000002,0.33333333333333315
otd,4,2565,119.4261269999999,238.85225400000002,0.33333333333333315
otd,4,2605,0.0,406.8382992,0.0
otd,4,2641,0.0,406.8382992,0.0
otd,4,2682,127.66898935000017,383.00696805,0.2500000000000003
otd,4,2703,255.3379787,255.3379787,0.5
otd,4,2756,127.66898935000017,383.00696805,0.2500000000000003
otd,4,2765,255.3379787,255.3379787,0.5
otd,4,2815,107.86424095,755.04968665,0.125
otd,4,2827,215.7284819,647.1854457,0.25
otd,4,2840,215.7284819,570.64407828,0.2743336845968022
otd,4,2974,195.4859589,195.4859589,0.5
otd,4,3013,232.13633951000003,924.331178,0.20072880214553257
otd,4,3045,36.65038061,322.2036582,0.10213172110738045
otd,4,3205,377.5930805,377.5930805,0.5
otd,4,487,144.6352909,144.6352909,0.5
otd,4,527,0.0,1159.2853926,0.0
otd,4,538,0.0,722.2352232,0.0
otd,4,773,305.360921760006,839.7425348400001,0.2666666666666705
otd,4,1014,117.42101973333332,234.84203946666665,0.3333333333333333
otd,4,1182,188.27963242000936,697.74819522,0.21249855427397127
otd,4,1191,0.0,555.3384066,0.0
otd,4,1318,0.0,373.6014354,0.0
otd,4,1337,123.6825211,299.65626631,0.29215967158760375
otd,4,1428,195.1113804,195.1113804,0.5
otd,4,1432,390.2227608,585.3341412,0.39999999999999997
otd,4,1441,345.53674950000004,503.48791977,0.40698081222668836
otd,4,1726,130.0858469,454.71504316999994,0.2224446800763742
otd,4,1837,0.0,347.8753922,0.0
otd,4,1853,0.0,347.8753922,0.0
otd,4,2538,211.88631613009122,211.88631613,0.5000000000001077
otd,4,2605,0.0,406.8382992,0.0
otd,4,2806,180.4693685433471,609.8416340666666,0.228352342239124
otd,4,3045,36.65038061,322.2036582,0.10213172110738045
otd,4,3075,65.9648991901612,65.96489919,0.500000000000611
otd,4,27,332.583665,332.583665,0.5
otd,4,113,94.05205987002401,365.75351882999996,0.20454745272106267
otd,4,121,0.0,913.4946528,0.0
otd,4,124,631.8713899800616,772.1100804,0.4500567872943596
otd,4,128,608.0158927466658,795.9655776333333,0.4330654681518705
otd,4,152,128.6999858,128.6999858,0.5
otd,4,155,212.9683825,212.9683825,0.5
otd,4,181,0.0,481.7579096,0.0
otd,4,182,0.0,481.7579096,0.0
otd,4,222,754.8762054,754.8762054,0.5
otd,4,223,377.4381027,377.4381027,0.5
otd,4,288,0.0,518.6550678,0.0
otd,4,289,0.0,1061.473462,0.0
otd,4,402,162.769031,1139.383217,0.125
otd,4,439,162.769031,488.307093,0.25
otd,4,511,81.51182554,1356.1240899400002,0.05669851779738314
otd,4,513,228.3736632,1141.868316,0.16666666666666666
otd,4,525,228.3736632,685.1209896,0.25
otd,4,526,228.3736632,1141.868316,0.16666666666666666
otd,4,560,0.0,659.3202759000001,0.0
otd,4,574,484.4343897250005,620.138988275,0.43857148775588206
otd,4,583,203.55689782499996,339.261496375,0.375
otd,4,590,203.55689782499996,339.261496375,0.375
otd,4,603,542.8183942,542.8183942,0.5
otd,4,621,484.4343897250078,620.138988275,0.4385714877558858
otd,4,728,447.016161,447.016161,0.5
otd,4,731,0.0,827.4479372000001,0.0
