ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_abcg_rundate2021-09-04_ctd,4,abcg,17,14,0,0,0,4,4,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,64,61,0,0,0,3,3,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,30,37,0,0,0,63,63,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,4,5,0,0,0,2.0,1,1.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,64,55,0,0,0,4,4,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,42,52,0,0,0,7.000000000000185,0,7.000000000000185,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,8,4,0,0,0,13.0,8,5.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,22,15,0,0,0,1,1,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,1,2,0,0,0,12,12,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,40,35,0,0,0,3.0,1,2.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,19,20,0,0,0,11,11,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,6,11,0,0,0,10,10,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,8,2,0,0,0,1,1,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,50,55,0,0,0,28.0,26,2.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,13,19,0,0,0,23,23,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,29,22,0,0,0,7,7,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,50,57,0,0,0,1.0000000000004117,0,1.0000000000004117,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,2,5,0,0,0,4.0,2,2.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,34,30,0,0,0,5,5,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,47,36,0,0,0,11.0,10,1.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,26,21,0,0,0,29,29,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,3,9,0,0,0,2,2,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,64,53,0,0,0,3,3,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,26,18,0,0,0,4,4,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,18,12,0,0,0,15,15,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,35,29,0,0,0,4.0,2,2.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,35,39,0,0,0,7.0,6,1.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,38,34,0,0,0,6.0,5,1.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,25,17,0,0,0,2.0,0,2.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,55,50,0,0,0,28,28,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,4,10,0,0,0,4,4,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,61,64,0,0,0,3.0000000000000013,0,3.0000000000000013,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,7,2,0,0,0,14,14,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,36,39,0,0,0,3.0000000000002838,0,3.0000000000002838,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,19,25,0,0,0,58,58,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,6,3,0,0,0,8.000000000000178,1,7.000000000000178,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,19,13,0,0,0,21.0,14,7.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,32,39,0,0,0,15,15,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,33,42,0,0,0,33.00000000000024,25,8.000000000000242,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,32,29,0,0,0,15.000000000000007,7,8.000000000000007,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,1,3,0,0,0,9,9,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,36,44,0,0,0,6,6,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,12,15,0,0,0,2.0,1,1.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,9,10,0,0,0,3.0,2,1.0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,53,45,0,0,0,39,39,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,12,2,0,0,0,20,20,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,29,35,0,0,0,4,4,0,0
ex4_abcg_rundate2021-09-04_ctd,4,abcg,26,12,0,0,0,15,15,0,0
