varname,currtime,i,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
x,36,1,2303,45,37,42.0,54.0,0.0
x,36,1,2302,45,37,36.0,48.0,1.0
x,36,1,5515,45,45,42.0,48.0,0.0
x,36,1,2304,45,37,48.0,60.0,0.0
x,36,1,2306,45,37,60.0,72.0,0.0
x,36,1,5514,45,45,36.0,42.0,0.0
x,36,1,2305,45,37,54.0,66.0,0.0
x,36,1,5517,45,45,54.0,60.0,0.0
x,36,1,5516,45,45,48.0,54.0,0.0
x,36,1,2307,45,37,66.0,78.0,0.0
x,36,1,2271,45,56,42.0,54.0,0.0
x,36,1,155,56,45,54.0,66.0,0.0
x,36,1,5519,45,45,66.0,72.0,0.0
x,36,1,2308,45,37,72.0,84.0,0.0
x,36,1,2309,45,37,78.0,90.0,0.0
x,36,1,2292,45,50,42.0,54.0,0.0
x,36,1,2452,50,45,54.0,66.0,0.0
x,36,1,5520,45,45,72.0,78.0,0.0
x,36,2,4174,32,26,42.0,54.0,0.0
x,36,2,3378,26,12,54.0,66.0,0.0
x,36,2,1802,12,9,66.0,72.0,0.0
x,36,2,1029,29,26,48.0,54.0,-0.0
x,36,2,3345,26,15,54.0,66.0,0.0
x,36,2,643,15,12,66.0,72.0,0.0
x,36,2,3858,35,32,36.0,42.0,0.0
x,36,2,3407,26,18,54.0,66.0,0.0
x,36,2,3102,18,12,66.0,72.0,-0.0
x,36,2,3091,18,9,66.0,78.0,0.0
x,36,2,4710,12,2,66.0,78.0,0.0
x,36,2,632,15,9,66.0,78.0,0.0
x,36,2,1051,29,22,48.0,60.0,0.0
x,36,2,3744,22,12,60.0,72.0,0.0
x,36,2,1803,12,9,72.0,78.0,0.0
x,36,2,1052,29,22,54.0,66.0,0.0
x,36,2,3745,22,12,66.0,78.0,0.0
x,36,2,3828,35,29,36.0,48.0,-0.0
x,36,2,5289,26,26,54.0,60.0,0.0
x,36,2,3430,26,22,60.0,66.0,1.0
x,36,2,5324,29,29,48.0,54.0,0.0
x,36,2,1030,29,26,54.0,60.0,-0.0
x,36,2,3346,26,15,60.0,72.0,0.0
x,36,2,644,15,12,72.0,78.0,-0.0
x,36,2,3408,26,18,60.0,72.0,-0.0
x,36,2,3103,18,12,72.0,78.0,-0.0
x,36,2,1247,9,5,72.0,78.0,0.0
x,36,2,5359,32,32,42.0,48.0,0.0
x,36,2,4121,32,27,48.0,60.0,0.0
x,36,2,403,27,21,60.0,72.0,0.0
x,36,2,5232,21,21,72.0,78.0,0.0
x,36,2,3429,26,22,54.0,60.0,0.0
x,36,2,3706,22,15,60.0,72.0,-0.0
x,36,2,3755,22,18,60.0,66.0,-0.0
x,36,2,3379,26,12,60.0,72.0,-0.0
x,36,2,4142,32,29,42.0,48.0,-0.0
x,36,2,3079,18,15,66.0,72.0,0.0
x,36,2,4711,12,2,72.0,84.0,0.0
x,36,2,338,27,29,54.0,66.0,0.0
x,36,2,1032,29,26,66.0,72.0,-0.0
x,36,2,3381,26,12,72.0,84.0,0.0
x,36,2,1283,9,2,72.0,84.0,0.0
x,36,2,5394,35,35,36.0,42.0,1.0
x,36,2,5395,35,35,42.0,48.0,0.0
x,36,2,3830,35,29,48.0,60.0,-0.0
x,36,2,1031,29,26,60.0,66.0,-0.0
x,36,2,3409,26,18,66.0,78.0,0.0
x,36,2,3104,18,12,78.0,84.0,-0.0
x,36,2,3092,18,9,72.0,84.0,0.0
x,36,2,1343,9,1,72.0,84.0,0.0
x,36,2,1248,9,5,78.0,84.0,-0.0
x,36,2,3380,26,12,66.0,78.0,0.0
x,36,2,4712,12,2,78.0,90.0,0.0
x,36,2,5325,29,29,54.0,60.0,0.0
x,36,2,3347,26,15,66.0,78.0,0.0
x,36,2,634,15,9,78.0,90.0,0.0
x,36,2,5396,35,35,48.0,54.0,0.0
x,36,2,5397,35,35,54.0,60.0,0.0
x,36,2,3862,35,32,60.0,66.0,0.0
x,36,2,4178,32,26,66.0,78.0,0.0
x,36,2,3382,26,12,78.0,90.0,0.0
x,36,2,3831,35,29,54.0,66.0,0.0
x,36,2,1054,29,22,66.0,78.0,0.0
x,36,2,3747,22,12,78.0,90.0,0.0
x,36,2,859,5,2,78.0,90.0,0.0
x,36,2,1284,9,2,78.0,90.0,0.0
x,36,2,3709,22,15,78.0,90.0,0.0
x,36,2,4733,9,7,72.0,84.0,0.0
x,36,2,2669,7,2,84.0,90.0,0.0
x,36,2,5326,29,29,60.0,66.0,-0.0
x,36,2,3348,26,15,72.0,84.0,0.0
x,36,2,646,15,12,84.0,90.0,0.0
x,36,2,881,5,1,78.0,90.0,0.0
x,36,2,1804,12,9,78.0,84.0,0.0
x,36,2,1249,9,5,84.0,90.0,0.0
x,36,2,5327,29,29,66.0,72.0,-0.0
x,36,2,1033,29,26,72.0,78.0,-0.0
x,36,2,1806,12,9,90.0,96.0,-0.0
x,36,2,5123,12,12,66.0,72.0,0.0
x,36,2,3832,35,29,60.0,72.0,0.0
x,36,2,3349,26,15,78.0,90.0,0.0
x,36,2,647,15,12,90.0,96.0,0.0
x,36,2,3860,35,32,48.0,54.0,-0.0
x,36,2,4144,32,29,54.0,60.0,0.0
x,36,2,3411,26,18,78.0,90.0,0.0
x,36,2,3106,18,12,90.0,96.0,0.0
x,36,2,826,5,3,90.0,96.0,0.0
x,36,2,5301,27,27,54.0,60.0,0.0
x,36,2,5302,27,27,60.0,66.0,0.0
x,36,2,340,27,29,66.0,78.0,0.0
x,36,2,1034,29,26,78.0,84.0,0.0
x,36,2,3383,26,12,84.0,96.0,0.0
x,36,2,3859,35,32,42.0,48.0,1.0
x,36,2,4175,32,26,48.0,60.0,1.0
x,36,2,3829,35,29,42.0,54.0,0.0
x,36,2,1055,29,22,72.0,84.0,0.0
x,36,2,3748,22,12,84.0,96.0,0.0
x,36,2,4713,12,2,84.0,96.0,0.0
x,36,2,4426,9,6,78.0,90.0,0.0
x,36,2,455,6,3,90.0,96.0,0.0
x,36,2,4143,32,29,48.0,54.0,0.0
x,36,2,5291,26,26,66.0,72.0,0.0
x,36,2,5360,32,32,48.0,54.0,0.0
x,36,2,4176,32,26,54.0,66.0,0.0
x,36,2,5290,26,26,60.0,66.0,0.0
x,36,2,1295,9,4,78.0,90.0,0.0
x,36,2,5031,4,4,90.0,96.0,0.0
x,36,2,860,5,2,84.0,96.0,0.0
x,36,2,1285,9,2,84.0,96.0,0.0
x,36,2,3432,26,22,72.0,78.0,0.0
x,36,2,3758,22,18,78.0,84.0,-0.0
x,36,2,3105,18,12,84.0,90.0,0.0
x,36,2,4714,12,2,90.0,102.0,0.0
x,36,2,824,5,3,78.0,84.0,0.0
x,36,2,949,3,2,84.0,90.0,0.0
x,36,2,4120,32,27,42.0,54.0,0.0
x,36,2,3759,22,18,84.0,90.0,-0.0
x,36,2,3095,18,9,90.0,102.0,0.0
x,36,2,3431,26,22,66.0,72.0,-0.0
x,36,2,3757,22,18,72.0,78.0,-0.0
x,36,2,3861,35,32,54.0,60.0,0.0
x,36,2,4123,32,27,60.0,72.0,0.0
x,36,2,5304,27,27,72.0,78.0,0.0
x,36,2,385,27,23,78.0,90.0,0.0
x,36,2,3026,23,19,90.0,102.0,0.0
x,36,2,2670,7,2,90.0,96.0,0.0
x,36,2,3756,22,18,66.0,72.0,1.0
x,36,2,3080,18,15,72.0,78.0,-0.0
x,36,2,645,15,12,78.0,84.0,-0.0
x,36,2,980,29,27,54.0,66.0,0.0
x,36,2,5303,27,27,66.0,72.0,0.0
x,36,2,384,27,23,72.0,84.0,0.0
x,36,2,1508,23,17,84.0,90.0,0.0
x,36,2,2000,17,11,90.0,102.0,0.0
x,36,2,825,5,3,84.0,90.0,0.0
x,36,2,950,3,2,90.0,96.0,0.0
x,36,2,1053,29,22,60.0,72.0,-0.0
x,36,2,3093,18,9,78.0,90.0,0.0
x,36,2,1286,9,2,90.0,102.0,0.0
x,36,2,951,3,2,96.0,102.0,-0.0
x,36,2,2779,4,6,90.0,96.0,-0.0
x,36,2,456,6,3,96.0,102.0,0.0
x,36,2,4735,9,7,84.0,96.0,0.0
x,36,2,2671,7,2,96.0,102.0,0.0
x,36,2,1250,9,5,90.0,96.0,0.0
x,36,2,827,5,3,96.0,102.0,-0.0
x,36,2,861,5,2,90.0,102.0,0.0
x,36,2,1805,12,9,84.0,90.0,-0.0
x,36,2,2791,4,5,90.0,102.0,0.0
x,36,2,4734,9,7,78.0,90.0,0.0
x,36,2,2636,7,3,90.0,102.0,0.0
x,36,2,4428,9,6,90.0,102.0,0.0
x,36,2,5195,18,18,66.0,72.0,0.0
x,36,2,5398,35,35,60.0,66.0,0.0
x,36,2,5399,35,35,66.0,72.0,0.0
x,36,2,3834,35,29,72.0,84.0,0.0
x,36,2,1035,29,26,84.0,90.0,0.0
x,36,2,3384,26,12,90.0,102.0,0.0
x,36,2,1808,12,9,102.0,108.0,0.0
x,36,2,6307,9,2,108.0,1036,0.0
x,36,2,5124,12,12,72.0,78.0,-0.0
x,36,2,382,27,23,60.0,72.0,0.0
x,36,2,1506,23,17,72.0,78.0,0.0
x,36,2,1998,17,11,78.0,90.0,0.0
x,36,2,2570,11,6,90.0,102.0,0.0
x,36,2,457,6,3,102.0,108.0,0.0
x,36,2,5911,3,2,108.0,1036,0.0
x,36,2,5125,12,12,78.0,84.0,-0.0
x,36,2,3864,35,32,72.0,78.0,0.0
x,36,2,4148,32,29,78.0,84.0,0.0
x,36,2,3413,26,18,90.0,102.0,0.0
x,36,2,3108,18,12,102.0,108.0,0.0
x,36,2,6505,12,2,108.0,1036,0.0
x,36,2,5243,22,22,66.0,72.0,0.0
x,36,2,381,27,23,54.0,66.0,0.0
x,36,2,1505,23,17,66.0,72.0,0.0
x,36,2,1997,17,11,72.0,84.0,0.0
x,36,2,2580,11,10,84.0,90.0,0.0
x,36,2,4459,10,5,90.0,102.0,0.0
x,36,2,828,5,3,102.0,108.0,0.0
x,36,2,2019,17,13,72.0,84.0,0.0
x,36,2,4746,13,7,84.0,96.0,0.0
x,36,2,3022,23,19,66.0,78.0,0.0
x,36,2,4019,19,10,78.0,90.0,0.0
x,36,2,1728,10,6,90.0,96.0,0.0
x,36,2,952,3,2,102.0,108.0,0.0
x,36,2,5021,3,3,102.0,108.0,0.0
x,36,2,405,27,21,72.0,84.0,0.0
x,36,2,5234,21,21,84.0,90.0,0.0
x,36,2,4620,21,16,90.0,102.0,0.0
x,36,2,1894,16,11,102.0,108.0,0.0
x,36,2,6439,11,2,108.0,1036,0.0
x,36,2,3707,22,15,66.0,78.0,0.0
x,36,2,5196,18,18,72.0,78.0,1.0
x,36,2,5197,18,18,78.0,84.0,1.0
x,36,2,3094,18,9,84.0,96.0,1.0
x,36,2,1287,9,2,96.0,108.0,1.0
x,36,2,1251,9,5,96.0,102.0,0.0
x,36,2,5160,15,15,72.0,78.0,0.0
x,36,2,4736,9,7,90.0,102.0,0.0
x,36,2,2672,7,2,102.0,108.0,0.0
