varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,78,9,25,17,84.0,96.0,0.0
y,78,11,25,17,96.0,108.0,0.0
y,78,13,25,17,108.0,120.0,0.0
y,78,15,25,17,120.0,132.0,0.0
y,78,17,25,17,132.0,144.0,0.0
y,78,29,25,30,78.0,84.0,0.0
y,78,30,25,30,84.0,90.0,0.0
y,78,31,25,30,90.0,96.0,0.0
y,78,32,25,30,96.0,102.0,0.0
y,78,33,25,30,102.0,108.0,0.0
y,78,34,25,30,108.0,114.0,0.0
y,78,35,25,30,114.0,120.0,0.0
y,78,36,25,30,120.0,126.0,0.0
y,78,37,25,30,126.0,132.0,0.0
y,78,38,25,30,132.0,138.0,0.0
y,78,39,25,30,138.0,144.0,0.0
y,78,40,25,30,144.0,150.0,0.0
y,78,51,25,19,78.0,84.0,1.0
y,78,52,25,19,84.0,90.0,0.0
y,78,53,25,19,90.0,96.0,1.0
y,78,54,25,19,96.0,102.0,1.0
y,78,55,25,19,102.0,108.0,0.0
y,78,56,25,19,108.0,114.0,0.0
y,78,57,25,19,114.0,120.0,2.0
y,78,58,25,19,120.0,126.0,0.0
y,78,59,25,19,126.0,132.0,0.0
y,78,60,25,19,132.0,138.0,0.0
y,78,61,25,19,138.0,144.0,0.0
y,78,62,25,19,144.0,150.0,0.0
y,78,63,3,5,78.0,84.0,0.0
y,78,64,3,5,84.0,90.0,0.0
y,78,65,3,5,90.0,96.0,0.0
y,78,66,3,5,96.0,102.0,0.0
y,78,67,3,5,102.0,108.0,0.0
y,78,68,3,5,108.0,114.0,0.0
y,78,69,3,5,114.0,120.0,0.0
y,78,70,3,5,120.0,126.0,0.0
y,78,71,3,5,126.0,132.0,0.0
y,78,72,3,5,132.0,138.0,0.0
y,78,73,3,5,138.0,144.0,0.0
y,78,74,3,5,144.0,150.0,0.0
y,78,76,55,60,84.0,96.0,0.0
y,78,78,55,60,96.0,108.0,0.0
y,78,80,55,60,108.0,120.0,0.0
y,78,82,55,60,120.0,132.0,0.0
y,78,84,55,60,132.0,144.0,0.0
y,78,93,55,54,84.0,96.0,0.0
y,78,95,55,54,96.0,108.0,0.0
y,78,97,55,54,108.0,120.0,0.0
y,78,99,55,54,120.0,132.0,0.0
y,78,101,55,54,132.0,144.0,0.0
y,78,104,55,50,84.0,96.0,0.0
y,78,106,55,50,96.0,108.0,0.0
y,78,108,55,50,108.0,120.0,0.0
y,78,110,55,50,120.0,132.0,0.0
y,78,112,55,50,132.0,144.0,0.0
y,78,128,56,60,78.0,84.0,0.0
y,78,129,56,60,84.0,90.0,1.0
y,78,130,56,60,90.0,96.0,0.0
y,78,131,56,60,96.0,102.0,0.0
y,78,132,56,60,102.0,108.0,0.0
y,78,133,56,60,108.0,114.0,0.0
y,78,134,56,60,114.0,120.0,0.0
y,78,135,56,60,120.0,126.0,0.0
y,78,136,56,60,126.0,132.0,0.0
y,78,137,56,60,132.0,138.0,0.0
y,78,138,56,60,138.0,144.0,0.0
y,78,139,56,60,144.0,150.0,0.0
y,78,140,14,20,78.0,84.0,0.0
y,78,141,14,20,84.0,90.0,0.0
y,78,142,14,20,90.0,96.0,0.0
y,78,153,56,45,84.0,96.0,0.0
y,78,155,56,45,96.0,108.0,0.0
y,78,157,56,45,108.0,120.0,0.0
y,78,159,56,45,120.0,132.0,0.0
y,78,161,56,45,132.0,144.0,0.0
y,78,163,55,56,78.0,84.0,0.0
y,78,164,55,56,84.0,90.0,0.0
y,78,165,55,56,90.0,96.0,0.0
y,78,166,55,56,96.0,102.0,0.0
y,78,167,55,56,102.0,108.0,0.0
y,78,168,55,56,108.0,114.0,0.0
y,78,169,55,56,114.0,120.0,0.0
y,78,170,55,56,120.0,126.0,0.0
y,78,171,55,56,126.0,132.0,0.0
y,78,172,55,56,132.0,138.0,0.0
y,78,173,55,56,138.0,144.0,0.0
y,78,174,55,56,144.0,150.0,0.0
y,78,176,64,55,84.0,96.0,0.0
y,78,178,64,55,96.0,108.0,0.0
y,78,180,64,55,108.0,120.0,0.0
y,78,182,64,55,120.0,132.0,0.0
y,78,184,64,55,132.0,144.0,0.0
y,78,198,64,60,84.0,96.0,0.0
y,78,200,64,60,96.0,108.0,0.0
y,78,202,64,60,108.0,120.0,0.0
y,78,204,64,60,120.0,132.0,0.0
y,78,206,64,60,132.0,144.0,0.0
y,78,230,64,53,84.0,96.0,0.0
y,78,232,64,53,96.0,108.0,0.0
y,78,234,64,53,108.0,120.0,0.0
y,78,236,64,53,120.0,132.0,0.0
y,78,238,64,53,132.0,144.0,0.0
y,78,240,40,39,78.0,84.0,0.0
y,78,241,40,39,84.0,90.0,0.0
y,78,242,40,39,90.0,96.0,0.0
y,78,243,40,39,96.0,102.0,0.0
y,78,244,40,39,102.0,108.0,0.0
y,78,245,40,39,108.0,114.0,0.0
y,78,246,40,39,114.0,120.0,0.0
y,78,247,40,39,120.0,126.0,0.0
y,78,248,40,39,126.0,132.0,1.0
y,78,249,40,39,132.0,138.0,0.0
y,78,250,40,39,138.0,144.0,0.0
y,78,251,40,39,144.0,150.0,0.0
y,78,262,40,43,78.0,84.0,0.0
y,78,263,40,43,84.0,90.0,0.0
y,78,264,40,43,90.0,96.0,0.0
y,78,265,40,43,96.0,102.0,0.0
y,78,266,40,43,102.0,108.0,0.0
y,78,267,40,43,108.0,114.0,0.0
y,78,268,40,43,114.0,120.0,0.0
y,78,269,40,43,120.0,126.0,0.0
y,78,270,40,43,126.0,132.0,0.0
y,78,271,40,43,132.0,138.0,0.0
y,78,272,40,43,138.0,144.0,0.0
y,78,273,40,43,144.0,150.0,0.0
y,78,275,40,35,84.0,96.0,0.0
