varname,currtime,i,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
x,42,2,1802,12,9,72.0,78.0,0.0
x,42,2,1051,29,22,54.0,66.0,0.0
x,42,2,3744,22,12,66.0,78.0,0.0
x,42,2,3429,26,22,60.0,66.0,-0.0
x,42,2,1029,29,26,54.0,60.0,0.0
x,42,2,3345,26,15,60.0,72.0,-0.0
x,42,2,643,15,12,72.0,78.0,-0.0
x,42,2,3407,26,18,60.0,72.0,1.0
x,42,2,3102,18,12,72.0,78.0,-0.0
x,42,2,4120,32,27,48.0,60.0,0.0
x,42,2,402,27,21,60.0,72.0,0.0
x,42,2,5231,21,21,72.0,78.0,0.0
x,42,2,3378,26,12,60.0,72.0,-0.0
x,42,2,4710,12,2,72.0,84.0,0.0
x,42,2,1031,29,26,66.0,72.0,0.0
x,42,2,3380,26,12,72.0,84.0,-0.0
x,42,2,5394,35,35,42.0,48.0,0.0
x,42,2,3829,35,29,48.0,60.0,-0.0
x,42,2,1030,29,26,60.0,66.0,0.0
x,42,2,3408,26,18,66.0,78.0,0.0
x,42,2,3103,18,12,78.0,84.0,0.0
x,42,2,3091,18,9,72.0,84.0,-0.0
x,42,2,1247,9,5,78.0,84.0,0.0
x,42,2,3379,26,12,66.0,78.0,0.0
x,42,2,4711,12,2,78.0,90.0,0.0
x,42,2,5324,29,29,54.0,60.0,0.0
x,42,2,3346,26,15,66.0,78.0,0.0
x,42,2,633,15,9,78.0,90.0,0.0
x,42,2,5395,35,35,48.0,54.0,0.0
x,42,2,5396,35,35,54.0,60.0,0.0
x,42,2,3861,35,32,60.0,66.0,0.0
x,42,2,4177,32,26,66.0,78.0,0.0
x,42,2,3381,26,12,78.0,90.0,0.0
x,42,2,3830,35,29,54.0,66.0,0.0
x,42,2,1053,29,22,66.0,78.0,0.0
x,42,2,3746,22,12,78.0,90.0,0.0
x,42,2,1283,9,2,78.0,90.0,0.0
x,42,2,3708,22,15,78.0,90.0,0.0
x,42,2,5325,29,29,60.0,66.0,0.0
x,42,2,3347,26,15,72.0,84.0,0.0
x,42,2,645,15,12,84.0,90.0,0.0
x,42,2,1803,12,9,78.0,84.0,0.0
x,42,2,1248,9,5,84.0,90.0,0.0
x,42,2,5326,29,29,66.0,72.0,-0.0
x,42,2,1032,29,26,72.0,78.0,-0.0
x,42,2,1805,12,9,90.0,96.0,1.0
x,42,2,3831,35,29,60.0,72.0,-0.0
x,42,2,3348,26,15,78.0,90.0,0.0
x,42,2,646,15,12,90.0,96.0,0.0
x,42,2,3859,35,32,48.0,54.0,-0.0
x,42,2,4143,32,29,54.0,60.0,-0.0
x,42,2,3410,26,18,78.0,90.0,0.0
x,42,2,3105,18,12,90.0,96.0,0.0
x,42,2,825,5,3,90.0,96.0,0.0
x,42,2,5301,27,27,60.0,66.0,0.0
x,42,2,339,27,29,66.0,78.0,0.0
x,42,2,1033,29,26,78.0,84.0,0.0
x,42,2,3382,26,12,84.0,96.0,-0.0
x,42,2,3858,35,32,42.0,48.0,1.0
x,42,2,4174,32,26,48.0,60.0,1.0
x,42,2,3828,35,29,42.0,54.0,0.0
x,42,2,1054,29,22,72.0,84.0,0.0
x,42,2,3747,22,12,84.0,96.0,-0.0
x,42,2,4712,12,2,84.0,96.0,0.0
x,42,2,4425,9,6,78.0,90.0,0.0
x,42,2,454,6,3,90.0,96.0,0.0
x,42,2,4142,32,29,48.0,54.0,0.0
x,42,2,5290,26,26,66.0,72.0,0.0
x,42,2,5359,32,32,48.0,54.0,0.0
x,42,2,4175,32,26,54.0,66.0,0.0
x,42,2,5289,26,26,60.0,66.0,0.0
x,42,2,1294,9,4,78.0,90.0,0.0
x,42,2,5030,4,4,90.0,96.0,0.0
x,42,2,859,5,2,84.0,96.0,-0.0
x,42,2,1284,9,2,84.0,96.0,-0.0
x,42,2,3431,26,22,72.0,78.0,-0.0
x,42,2,3757,22,18,78.0,84.0,-0.0
x,42,2,3104,18,12,84.0,90.0,1.0
x,42,2,4713,12,2,90.0,102.0,0.0
x,42,2,3758,22,18,84.0,90.0,-0.0
x,42,2,3094,18,9,90.0,102.0,0.0
x,42,2,3430,26,22,66.0,72.0,-0.0
x,42,2,3756,22,18,72.0,78.0,-0.0
x,42,2,3860,35,32,54.0,60.0,-0.0
x,42,2,4122,32,27,60.0,72.0,0.0
x,42,2,5303,27,27,72.0,78.0,0.0
x,42,2,384,27,23,78.0,90.0,0.0
x,42,2,3025,23,19,90.0,102.0,0.0
x,42,2,2669,7,2,90.0,96.0,0.0
x,42,2,3755,22,18,66.0,72.0,-0.0
x,42,2,3079,18,15,72.0,78.0,-0.0
x,42,2,644,15,12,78.0,84.0,0.0
x,42,2,979,29,27,54.0,66.0,0.0
x,42,2,5302,27,27,66.0,72.0,0.0
x,42,2,383,27,23,72.0,84.0,0.0
x,42,2,1507,23,17,84.0,90.0,0.0
x,42,2,1999,17,11,90.0,102.0,0.0
x,42,2,824,5,3,84.0,90.0,0.0
x,42,2,949,3,2,90.0,96.0,-0.0
x,42,2,1052,29,22,60.0,72.0,0.0
x,42,2,3092,18,9,78.0,90.0,0.0
x,42,2,1285,9,2,90.0,102.0,0.0
x,42,2,950,3,2,96.0,102.0,0.0
x,42,2,2778,4,6,90.0,96.0,-0.0
x,42,2,455,6,3,96.0,102.0,-0.0
x,42,2,4734,9,7,84.0,96.0,-0.0
x,42,2,2670,7,2,96.0,102.0,-0.0
x,42,2,1249,9,5,90.0,96.0,0.0
x,42,2,826,5,3,96.0,102.0,0.0
x,42,2,860,5,2,90.0,102.0,0.0
x,42,2,1804,12,9,84.0,90.0,0.0
x,42,2,2790,4,5,90.0,102.0,0.0
x,42,2,4733,9,7,78.0,90.0,0.0
x,42,2,2635,7,3,90.0,102.0,0.0
x,42,2,4427,9,6,90.0,102.0,0.0
x,42,2,5397,35,35,60.0,66.0,0.0
x,42,2,5398,35,35,66.0,72.0,0.0
x,42,2,3833,35,29,72.0,84.0,0.0
x,42,2,1034,29,26,84.0,90.0,0.0
x,42,2,3383,26,12,90.0,102.0,0.0
x,42,2,1807,12,9,102.0,108.0,0.0
x,42,2,5123,12,12,72.0,78.0,-0.0
x,42,2,381,27,23,60.0,72.0,0.0
x,42,2,1505,23,17,72.0,78.0,0.0
x,42,2,1997,17,11,78.0,90.0,0.0
x,42,2,2569,11,6,90.0,102.0,0.0
x,42,2,456,6,3,102.0,108.0,0.0
x,42,2,5124,12,12,78.0,84.0,-0.0
x,42,2,3863,35,32,72.0,78.0,0.0
x,42,2,4147,32,29,78.0,84.0,0.0
x,42,2,3412,26,18,90.0,102.0,0.0
x,42,2,3107,18,12,102.0,108.0,0.0
x,42,2,5242,22,22,66.0,72.0,0.0
x,42,2,827,5,3,102.0,108.0,0.0
x,42,2,951,3,2,102.0,108.0,0.0
x,42,2,5020,3,3,102.0,108.0,-0.0
x,42,2,404,27,21,72.0,84.0,0.0
x,42,2,5233,21,21,84.0,90.0,0.0
x,42,2,4619,21,16,90.0,102.0,0.0
x,42,2,1893,16,11,102.0,108.0,0.0
x,42,2,3706,22,15,66.0,78.0,0.0
x,42,2,5195,18,18,72.0,78.0,1.0
x,42,2,5196,18,18,78.0,84.0,1.0
x,42,2,3093,18,9,84.0,96.0,-0.0
x,42,2,1286,9,2,96.0,108.0,1.0
x,42,2,1250,9,5,96.0,102.0,-0.0
x,42,2,5159,15,15,72.0,78.0,-0.0
x,42,2,4735,9,7,90.0,102.0,0.0
x,42,2,2671,7,2,102.0,108.0,0.0
x,42,2,2580,11,10,90.0,96.0,0.0
x,42,2,4459,10,5,96.0,108.0,0.0
x,42,2,2582,11,10,102.0,108.0,0.0
x,42,2,4176,32,26,60.0,72.0,0.0
x,42,2,5291,26,26,72.0,78.0,-0.0
x,42,2,5292,26,26,78.0,84.0,-0.0
x,42,2,4714,12,2,96.0,108.0,-0.0
x,42,2,5243,22,22,72.0,78.0,-0.0
x,42,2,5257,23,23,84.0,90.0,0.0
x,42,2,5212,19,19,102.0,108.0,0.0
x,42,2,5160,15,15,78.0,84.0,0.0
x,42,2,634,15,9,84.0,96.0,-0.0
x,42,2,861,5,2,96.0,108.0,-0.0
x,42,2,3080,18,15,78.0,84.0,-0.0
x,42,2,5360,32,32,54.0,60.0,0.0
x,42,2,4144,32,29,60.0,66.0,0.0
x,42,2,5327,29,29,72.0,78.0,-0.0
x,42,2,3433,26,22,84.0,90.0,0.0
x,42,2,3748,22,12,90.0,102.0,0.0
x,42,2,4715,12,2,102.0,114.0,0.0
x,42,2,3707,22,15,72.0,84.0,0.0
x,42,2,2021,17,13,90.0,102.0,0.0
x,42,2,4748,13,7,102.0,114.0,0.0
x,42,2,6175,7,2,114.0,1042,0.0
x,42,2,1806,12,9,96.0,102.0,0.0
x,42,2,1287,9,2,102.0,114.0,0.0
x,42,2,2820,4,8,90.0,102.0,0.0
x,42,2,1640,8,2,102.0,114.0,0.0
x,42,2,4724,3,7,90.0,102.0,0.0
x,42,2,1260,9,10,78.0,90.0,0.0
x,42,2,4458,10,5,90.0,102.0,0.0
x,42,2,862,5,2,102.0,114.0,0.0
x,42,2,2637,7,3,102.0,114.0,0.0
x,42,2,5911,3,2,114.0,1042,0.0
x,42,2,3745,22,12,72.0,84.0,0.0
x,42,2,952,3,2,108.0,114.0,-0.0
x,42,2,1296,9,4,90.0,102.0,0.0
x,42,2,2792,4,5,102.0,114.0,0.0
x,42,2,6043,5,2,114.0,1042,0.0
x,42,2,3418,26,21,60.0,72.0,0.0
x,42,2,3658,21,17,72.0,84.0,0.0
x,42,2,2020,17,13,84.0,96.0,0.0
x,42,2,4747,13,7,96.0,108.0,0.0
x,42,2,2672,7,2,108.0,114.0,0.0
x,42,2,2780,4,6,102.0,108.0,0.0
x,42,2,457,6,3,108.0,114.0,0.0
x,42,2,1262,9,10,90.0,102.0,0.0
x,42,2,4460,10,5,102.0,114.0,0.0
x,42,2,2811,4,9,102.0,114.0,0.0
x,42,2,6307,9,2,114.0,1042,0.0
x,42,2,980,29,27,60.0,72.0,0.0
x,42,2,4782,10,4,102.0,114.0,0.0
x,42,2,5977,4,2,114.0,1042,0.0
x,42,2,5067,7,7,96.0,102.0,-0.0
x,42,2,2636,7,3,96.0,108.0,0.0
x,42,4,2918,30,37,54.0,66.0,0.0
x,42,4,5422,37,37,66.0,72.0,0.0
x,42,4,2917,30,37,48.0,60.0,1.0
x,42,4,3156,37,45,60.0,72.0,1.0
x,42,4,2919,30,37,60.0,72.0,0.0
x,42,4,5336,30,30,54.0,60.0,0.0
x,42,4,3157,37,45,66.0,78.0,0.0
x,42,4,5421,37,37,60.0,66.0,0.0
x,42,4,3158,37,45,72.0,84.0,0.0
x,42,4,5335,30,30,48.0,54.0,0.0
x,42,4,5423,37,37,72.0,78.0,0.0
x,42,4,3159,37,45,78.0,90.0,0.0
x,42,7,1504,23,17,66.0,72.0,-0.0
x,42,7,2750,28,23,48.0,54.0,1.0
x,42,7,3019,23,19,54.0,66.0,0.0
x,42,7,5206,19,19,66.0,72.0,0.0
x,42,7,2753,28,23,66.0,72.0,0.0
x,42,7,1502,23,17,54.0,60.0,1.0
x,42,7,2016,17,13,60.0,72.0,0.0
x,42,7,2752,28,23,60.0,66.0,-0.0
x,42,7,3020,23,19,60.0,72.0,0.0
x,42,7,2751,28,23,54.0,60.0,-0.0
x,42,7,1503,23,17,60.0,66.0,0.0
x,42,7,5182,17,17,66.0,72.0,-0.0
x,42,7,2062,17,14,66.0,78.0,0.0
x,42,7,4080,19,13,66.0,78.0,0.0
x,42,7,5311,28,28,48.0,54.0,0.0
x,42,7,2017,17,13,66.0,78.0,0.0
x,42,7,3315,13,14,72.0,78.0,0.0
x,42,7,1505,23,17,72.0,78.0,-0.0
x,42,7,5253,23,23,60.0,66.0,-0.0
x,42,7,3021,23,19,66.0,78.0,0.0
x,42,7,2061,17,14,60.0,72.0,1.0
x,42,7,5147,14,14,72.0,78.0,0.0
x,42,7,5183,17,17,72.0,78.0,0.0
x,42,7,5312,28,28,54.0,60.0,0.0
x,42,7,5207,19,19,72.0,78.0,-0.0
x,42,7,2049,17,19,60.0,66.0,0.0
x,42,7,3270,13,8,72.0,84.0,-0.0
x,42,7,3316,13,14,78.0,84.0,0.0
x,42,7,4210,14,8,72.0,84.0,1.0
x,42,7,5148,14,14,78.0,84.0,0.0
x,42,7,2018,17,13,72.0,84.0,-0.0
x,42,7,1506,23,17,78.0,84.0,-0.0
x,42,7,4081,19,13,72.0,84.0,0.0
x,42,7,2755,28,23,78.0,84.0,0.0
x,42,7,2754,28,23,72.0,78.0,-0.0
x,42,7,5184,17,17,78.0,84.0,-0.0
x,42,7,3022,23,19,72.0,84.0,-0.0
x,42,7,4211,14,8,78.0,90.0,0.0
x,42,7,4082,19,13,78.0,90.0,0.0
x,42,7,5135,13,13,72.0,78.0,0.0
x,42,7,3271,13,8,78.0,90.0,0.0
x,42,7,2019,17,13,78.0,90.0,0.0
x,42,7,4743,13,7,72.0,84.0,0.0
x,42,7,2656,7,8,84.0,90.0,-0.0
x,42,7,3317,13,14,84.0,90.0,0.0
x,42,7,5137,13,13,84.0,90.0,0.0
x,42,7,5313,28,28,60.0,66.0,0.0
x,42,7,5314,28,28,66.0,72.0,0.0
x,42,7,3023,23,19,78.0,90.0,0.0
x,42,7,1507,23,17,84.0,90.0,0.0
x,42,7,2064,17,14,78.0,90.0,0.0
x,42,7,2063,17,14,72.0,84.0,0.0
x,42,7,5149,14,14,84.0,90.0,0.0
x,42,7,5255,23,23,72.0,78.0,0.0
x,42,7,5185,17,17,84.0,90.0,0.0
x,42,7,5209,19,19,84.0,90.0,0.0
x,42,7,2050,17,19,66.0,72.0,0.0
x,42,7,3272,13,8,84.0,96.0,0.0
x,42,7,5150,14,14,90.0,96.0,0.0
x,42,7,4212,14,8,84.0,96.0,-0.0
x,42,7,4744,13,7,78.0,90.0,0.0
x,42,7,2657,7,8,90.0,96.0,0.0
x,42,7,5138,13,13,90.0,96.0,0.0
x,42,7,2739,28,30,48.0,60.0,0.0
x,42,7,2876,30,25,60.0,66.0,0.0
x,42,7,55,25,19,66.0,72.0,0.0
x,42,7,2065,17,14,84.0,96.0,-0.0
x,42,7,1912,16,13,84.0,96.0,0.0
x,42,7,2051,17,19,72.0,78.0,0.0
x,42,7,3024,23,19,84.0,96.0,0.0
x,42,7,5186,17,17,90.0,96.0,0.0
x,42,7,4083,19,13,84.0,96.0,0.0
x,42,7,4213,14,8,90.0,102.0,0.0
