varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,0,8,25,17,0.0,12.0,0.0
y,0,10,25,17,12.0,24.0,0.0
y,0,12,25,17,24.0,36.0,0.0
y,0,14,25,17,36.0,48.0,1.0
y,0,16,25,17,48.0,60.0,0.0
y,0,18,25,17,60.0,72.0,0.0
y,0,29,25,30,0.0,6.0,0.0
y,0,30,25,30,6.0,12.0,0.0
y,0,31,25,30,12.0,18.0,0.0
y,0,32,25,30,18.0,24.0,0.0
y,0,33,25,30,24.0,30.0,0.0
y,0,34,25,30,30.0,36.0,0.0
y,0,35,25,30,36.0,42.0,0.0
y,0,36,25,30,42.0,48.0,0.0
y,0,37,25,30,48.0,54.0,0.0
y,0,38,25,30,54.0,60.0,0.0
y,0,39,25,30,60.0,66.0,0.0
y,0,40,25,30,66.0,72.0,0.0
y,0,51,25,19,0.0,6.0,0.0
y,0,52,25,19,6.0,12.0,0.0
y,0,53,25,19,12.0,18.0,1.0
y,0,54,25,19,18.0,24.0,1.0
y,0,55,25,19,24.0,30.0,0.0
y,0,56,25,19,30.0,36.0,1.0
y,0,57,25,19,36.0,42.0,0.0
y,0,58,25,19,42.0,48.0,0.0
y,0,59,25,19,48.0,54.0,0.0
y,0,60,25,19,54.0,60.0,0.0
y,0,61,25,19,60.0,66.0,0.0
y,0,62,25,19,66.0,72.0,0.0
y,0,63,3,5,0.0,6.0,0.0
y,0,64,3,5,6.0,12.0,0.0
y,0,65,3,5,12.0,18.0,0.0
y,0,66,3,5,18.0,24.0,0.0
y,0,67,3,5,24.0,30.0,0.0
y,0,68,3,5,30.0,36.0,0.0
y,0,69,3,5,36.0,42.0,0.0
y,0,70,3,5,42.0,48.0,0.0
y,0,71,3,5,48.0,54.0,0.0
y,0,72,3,5,54.0,60.0,0.0
y,0,73,3,5,60.0,66.0,0.0
y,0,74,3,5,66.0,72.0,0.0
y,0,75,55,60,0.0,12.0,0.0
y,0,77,55,60,12.0,24.0,0.0
y,0,79,55,60,24.0,36.0,0.0
y,0,81,55,60,36.0,48.0,0.0
y,0,83,55,60,48.0,60.0,0.0
y,0,85,55,60,60.0,72.0,0.0
y,0,92,55,54,0.0,12.0,0.0
y,0,94,55,54,12.0,24.0,0.0
y,0,96,55,54,24.0,36.0,0.0
y,0,98,55,54,36.0,48.0,0.0
y,0,100,55,54,48.0,60.0,0.0
y,0,102,55,54,60.0,72.0,0.0
y,0,103,55,50,0.0,12.0,0.0
y,0,105,55,50,12.0,24.0,0.0
y,0,107,55,50,24.0,36.0,0.0
y,0,109,55,50,36.0,48.0,0.0
y,0,111,55,50,48.0,60.0,0.0
y,0,113,55,50,60.0,72.0,0.0
y,0,128,56,60,0.0,6.0,0.0
y,0,129,56,60,6.0,12.0,0.0
y,0,130,56,60,12.0,18.0,0.0
y,0,131,56,60,18.0,24.0,0.0
y,0,132,56,60,24.0,30.0,0.0
y,0,133,56,60,30.0,36.0,0.0
y,0,134,56,60,36.0,42.0,0.0
y,0,135,56,60,42.0,48.0,0.0
y,0,136,56,60,48.0,54.0,0.0
y,0,137,56,60,54.0,60.0,0.0
y,0,138,56,60,60.0,66.0,0.0
y,0,139,56,60,66.0,72.0,0.0
y,0,152,56,45,0.0,12.0,0.0
y,0,154,56,45,12.0,24.0,0.0
