varname,currtime,i,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
x,144,29,3546,20,24,156.0,168.0,1.0
x,144,29,4322,24,33,168.0,180.0,1.0
x,144,29,518,33,42,180.0,192.0,1.0
x,144,29,5486,42,42,192.0,198.0,0.0
x,144,29,4087,19,20,144.0,156.0,1.0
x,144,29,730,42,41,192.0,204.0,1.0
x,144,29,5487,42,42,198.0,204.0,-0.0
x,144,29,5376,33,33,180.0,186.0,0.0
x,144,29,519,33,42,186.0,198.0,0.0
x,144,29,731,42,41,198.0,210.0,0.0
x,144,29,5202,19,19,144.0,150.0,0.0
x,144,29,4088,19,20,150.0,162.0,0.0
x,144,29,5217,20,20,162.0,168.0,0.0
x,144,29,3548,20,24,168.0,180.0,-0.0
x,144,29,5268,24,24,180.0,186.0,0.0
x,144,29,5269,24,24,186.0,192.0,0.0
x,144,29,4326,24,33,192.0,204.0,0.0
x,144,29,522,33,42,204.0,216.0,0.0
x,144,29,8524,42,41,216.0,1144,0.0
x,144,29,708,42,52,192.0,204.0,0.0
x,144,29,1165,52,41,204.0,216.0,0.0
x,144,29,5377,33,33,186.0,192.0,0.0
x,144,29,520,33,42,192.0,204.0,-0.0
x,144,29,732,42,41,204.0,216.0,-0.0
x,144,29,5266,24,24,168.0,174.0,0.0
x,144,29,5267,24,24,174.0,180.0,0.0
x,144,29,3547,20,24,162.0,174.0,0.0
x,144,29,4323,24,33,174.0,186.0,0.0
x,144,40,5756,65,65,156.0,162.0,0.0
x,144,40,796,65,63,156.0,168.0,0.0
x,144,40,5757,65,65,162.0,168.0,0.0
x,144,40,797,65,63,162.0,174.0,0.0
x,144,40,5734,63,63,168.0,174.0,0.0
x,144,40,5758,65,65,168.0,174.0,0.0
x,144,40,5735,63,63,174.0,180.0,0.0
x,144,40,798,65,63,168.0,180.0,0.0
x,144,40,5759,65,65,174.0,180.0,0.0
x,144,40,799,65,63,174.0,186.0,0.0
x,144,40,5736,63,63,180.0,186.0,0.0
x,144,40,5760,65,65,180.0,186.0,0.0
x,144,40,5737,63,63,186.0,192.0,0.0
x,144,40,800,65,63,180.0,192.0,0.0
x,144,40,5761,65,65,186.0,192.0,0.0
x,144,40,3033,63,65,174.0,186.0,0.0
x,144,40,801,65,63,186.0,198.0,0.0
x,144,40,5738,63,63,192.0,198.0,0.0
x,144,40,5762,65,65,192.0,198.0,0.0
x,144,40,5739,63,63,198.0,204.0,0.0
x,144,40,802,65,63,192.0,204.0,0.0
x,144,40,5763,65,65,198.0,204.0,0.0
x,144,40,3035,63,65,186.0,198.0,0.0
x,144,40,803,65,63,198.0,210.0,0.0
x,144,40,5740,63,63,204.0,210.0,0.0
x,144,40,1609,66,65,144.0,156.0,0.0
