varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,132,8,25,17,132.0,144.0,1.0
y,132,10,25,17,144.0,156.0,0.0
y,132,12,25,17,156.0,168.0,0.0
y,132,14,25,17,168.0,180.0,0.0
y,132,16,25,17,180.0,192.0,0.0
y,132,18,25,17,192.0,204.0,0.0
y,132,29,25,30,132.0,138.0,0.0
y,132,30,25,30,138.0,144.0,0.0
y,132,31,25,30,144.0,150.0,0.0
y,132,32,25,30,150.0,156.0,0.0
y,132,33,25,30,156.0,162.0,0.0
y,132,34,25,30,162.0,168.0,0.0
y,132,35,25,30,168.0,174.0,0.0
y,132,36,25,30,174.0,180.0,0.0
y,132,37,25,30,180.0,186.0,0.0
y,132,38,25,30,186.0,192.0,0.0
y,132,39,25,30,192.0,198.0,0.0
y,132,40,25,30,198.0,204.0,0.0
y,132,51,25,19,132.0,138.0,0.0
y,132,52,25,19,138.0,144.0,0.0
y,132,53,25,19,144.0,150.0,0.0
y,132,54,25,19,150.0,156.0,4.0
y,132,55,25,19,156.0,162.0,0.0
y,132,56,25,19,162.0,168.0,0.0
y,132,57,25,19,168.0,174.0,0.0
y,132,58,25,19,174.0,180.0,0.0
y,132,59,25,19,180.0,186.0,0.0
y,132,60,25,19,186.0,192.0,1.0
y,132,61,25,19,192.0,198.0,0.0
y,132,62,25,19,198.0,204.0,0.0
y,132,63,3,5,132.0,138.0,0.0
y,132,64,3,5,138.0,144.0,0.0
y,132,65,3,5,144.0,150.0,0.0
y,132,66,3,5,150.0,156.0,0.0
y,132,67,3,5,156.0,162.0,0.0
y,132,68,3,5,162.0,168.0,0.0
y,132,69,3,5,168.0,174.0,0.0
y,132,70,3,5,174.0,180.0,0.0
y,132,71,3,5,180.0,186.0,0.0
y,132,72,3,5,186.0,192.0,0.0
y,132,73,3,5,192.0,198.0,0.0
y,132,74,3,5,198.0,204.0,0.0
y,132,75,55,60,132.0,144.0,0.0
y,132,77,55,60,144.0,156.0,0.0
y,132,79,55,60,156.0,168.0,0.0
y,132,81,55,60,168.0,180.0,0.0
y,132,83,55,60,180.0,192.0,0.0
y,132,85,55,60,192.0,204.0,0.0
y,132,92,55,54,132.0,144.0,0.0
y,132,94,55,54,144.0,156.0,0.0
y,132,96,55,54,156.0,168.0,0.0
y,132,98,55,54,168.0,180.0,0.0
y,132,100,55,54,180.0,192.0,0.0
y,132,102,55,54,192.0,204.0,0.0
y,132,103,55,50,132.0,144.0,0.0
y,132,105,55,50,144.0,156.0,0.0
y,132,107,55,50,156.0,168.0,0.0
y,132,109,55,50,168.0,180.0,0.0
y,132,111,55,50,180.0,192.0,0.0
y,132,113,55,50,192.0,204.0,0.0
y,132,128,56,60,132.0,138.0,0.0
y,132,129,56,60,138.0,144.0,0.0
y,132,130,56,60,144.0,150.0,0.0
y,132,131,56,60,150.0,156.0,0.0
y,132,132,56,60,156.0,162.0,0.0
y,132,133,56,60,162.0,168.0,0.0
y,132,134,56,60,168.0,174.0,0.0
y,132,135,56,60,174.0,180.0,0.0
y,132,136,56,60,180.0,186.0,0.0
y,132,137,56,60,186.0,192.0,0.0
y,132,138,56,60,192.0,198.0,0.0
y,132,139,56,60,198.0,204.0,0.0
y,132,140,14,20,132.0,138.0,0.0
