ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_bns_rundate2022-03-24,4,bns,25,19,6,5.28421804,190.8505761,51,27,24,0
ex4_bns_rundate2022-03-24,4,bns,45,53,12,7.186124456,179.1391905,34,15,19,0
ex4_bns_rundate2022-03-24,4,bns,43,40,12,10.45744811,166.678026,18,0,18,0
ex4_bns_rundate2022-03-24,4,bns,14,8,12,8.466719451,271.4091971,24,7,17,0
ex4_bns_rundate2022-03-24,4,bns,35,32,6,2.478843978,93.40035885,29,13,16,0
ex4_bns_rundate2022-03-24,4,bns,21,26,12,9.279758925,245.5998838,21,5,16,0
ex4_bns_rundate2022-03-24,4,bns,13,7,12,9.8534625,377.4381027,15,0,15,0
ex4_bns_rundate2022-03-24,4,bns,33,24,12,9.777156177,265.9841254,29,16,13,0
ex4_bns_rundate2022-03-24,4,bns,24,14,12,11.19943668,280.8774919,23,10,13,0
ex4_bns_rundate2022-03-24,4,bns,63,65,12,8.999231486,137.0761093,13,0,13,0
ex4_bns_rundate2022-03-24,4,bns,9,12,6,5.332584546,180.5588058,39,27,12,0
ex4_bns_rundate2022-03-24,4,bns,45,56,12,9.162009769,215.7284819,35,23,12,0
ex4_bns_rundate2022-03-24,4,bns,10,6,6,5.082065635,143.1329834,28,16,12,0
ex4_bns_rundate2022-03-24,4,bns,54,60,6,5.546278729,195.4859589,20,9,11,0
ex4_bns_rundate2022-03-24,4,bns,40,35,12,6.327419333,195.1113804,11,0,11,0
ex4_bns_rundate2022-03-24,4,bns,50,48,12,11.92342339,287.3163387,22,12,10,0
ex4_bns_rundate2022-03-24,4,bns,48,51,12,10.30953611,372.6648239,18,8,10,0
ex4_bns_rundate2022-03-24,4,bns,12,26,12,10.5225,399.0838905,21,12,9,0
ex4_bns_rundate2022-03-24,4,bns,8,1,12,11.53751889,332.583665,12,3,9,0
ex4_bns_rundate2022-03-24,4,bns,59,57,12,6.759575737,218.2345041,9,0,9,0
ex4_bns_rundate2022-03-24,4,bns,54,47,6,5.569791728,203.4191496,38,30,8,0
ex4_bns_rundate2022-03-24,4,bns,43,47,6,5.736752688,173.9376961,37,29,8,0
ex4_bns_rundate2022-03-24,4,bns,50,55,12,7.467738413,255.3379787,30,22,8,0
ex4_bns_rundate2022-03-24,4,bns,19,10,12,9.069236822,325.538062,23,15,8,0
ex4_bns_rundate2022-03-24,4,bns,42,33,12,9.70961287,275.5801174,23,15,8,0
ex4_bns_rundate2022-03-24,4,bns,32,26,12,10.88502439,205.5164501,21,13,8,0
ex4_bns_rundate2022-03-24,4,bns,21,17,12,8.109651283,252.5069702,10,2,8,0
ex4_bns_rundate2022-03-24,4,bns,57,50,12,10.01018321,276.7249105,9,1,8,0
ex4_bns_rundate2022-03-24,4,bns,5,3,6,5.034361389,65.43250029,9,1,8,0
ex4_bns_rundate2022-03-24,4,bns,37,30,12,6.949756591,203.0753474,51,44,7,0
ex4_bns_rundate2022-03-24,4,bns,33,42,12,9.460181794,275.5801174,24,17,7,0
ex4_bns_rundate2022-03-24,4,bns,13,8,12,7.311860141,259.3275339,18,11,7,0
ex4_bns_rundate2022-03-24,4,bns,6,3,6,5.089065,107.6275717,12,5,7,0
ex4_bns_rundate2022-03-24,4,bns,42,52,12,7.945470778,239.6481888,9,2,7,0
ex4_bns_rundate2022-03-24,4,bns,9,5,6,5.667838673,160.906163,9,2,7,0
ex4_bns_rundate2022-03-24,4,bns,47,60,12,11.02906907,398.7083702,7,0,7,0
ex4_bns_rundate2022-03-24,4,bns,37,45,12,8.279942197,293.7092126,56,50,6,0
ex4_bns_rundate2022-03-24,4,bns,30,25,6,5.650121865,176.1315296,46,40,6,0
ex4_bns_rundate2022-03-24,4,bns,2,12,12,11.94232708,456.7473264,25,19,6,0
