varname,currtime,i,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
x,162,12,,52,42,0.0,174.0,1
x,162,14,,64,61,0.0,168.0,1
x,162,25,,3,6,0.0,168.0,1
x,162,34,,29,35,0.0,174.0,1
x,162,39,,1,2,0.0,168.0,1
x,162,43,,60,54,0.0,168.0,1
x,162,49,,14,8,0.0,174.0,1
x,162,51,,56,45,0.0,174.0,1
x,162,52,,54,47,0.0,168.0,1
x,162,57,,18,22,0.0,168.0,1
x,162,74,,26,12,0.0,174.0,1
x,162,82,,60,47,0.0,174.0,1
x,162,85,,64,53,0.0,174.0,1
x,162,86,,56,45,0.0,174.0,1
x,162,88,,30,37,0.0,174.0,1
x,162,90,,60,54,0.0,168.0,1
x,162,95,,22,18,0.0,168.0,1
x,162,106,,32,26,0.0,174.0,1
x,162,110,,32,26,0.0,174.0,1
x,162,114,,29,31,0.0,174.0,1
x,162,14,,61,60,6.0,174.0,1
x,162,25,,6,10,6.0,174.0,1
x,162,39,,2,2,6.0,174.0,1
x,162,43,,54,47,6.0,174.0,1
x,162,52,,47,43,6.0,174.0,1
x,162,57,,22,26,6.0,174.0,1
x,162,90,,54,47,6.0,174.0,1
x,162,95,,18,12,6.0,174.0,1
x,162,9,,5,3,6.0,174.0,1
x,162,19,,6,10,6.0,174.0,1
x,162,23,,60,53,6.0,174.0,1
x,162,30,,19,25,6.0,174.0,1
x,162,72,,30,25,6.0,174.0,1
x,162,79,,61,60,6.0,174.0,1
x,162,92,,43,47,6.0,174.0,1
x,162,97,,49,48,6.0,174.0,1
x,162,112,,49,48,6.0,174.0,1
x,162,12,,42,42,12.0,180.0,1
x,162,14,,60,54,12.0,180.0,1
x,162,25,,10,19,12.0,186.0,1
x,162,34,,35,40,12.0,180.0,1
x,162,39,,2,12,12.0,186.0,1
x,162,43,,47,43,12.0,180.0,1
x,162,49,,8,2,12.0,186.0,1
x,162,51,,45,37,12.0,186.0,1
x,162,52,,43,43,12.0,180.0,1
x,162,57,,26,26,12.0,180.0,1
x,162,74,,12,2,12.0,186.0,1
x,162,82,,47,43,12.0,180.0,1
x,162,85,,53,45,12.0,186.0,1
x,162,86,,45,37,12.0,186.0,1
x,162,88,,37,45,12.0,186.0,1
x,162,90,,47,44,12.0,180.0,1
x,162,95,,12,2,12.0,186.0,1
x,162,106,,26,21,12.0,186.0,1
x,162,110,,26,12,12.0,186.0,1
x,162,9,,3,4,12.0,180.0,1
x,162,19,,10,11,12.0,180.0,1
x,162,23,,53,45,12.0,186.0,1
x,162,30,,25,30,12.0,180.0,1
x,162,97,,48,50,12.0,186.0,1
x,162,112,,48,50,12.0,186.0,1
x,162,10,,45,37,12.0,186.0,1
x,162,17,,17,19,12.0,180.0,1
x,162,18,,10,19,12.0,186.0,1
x,162,20,,2,7,12.0,180.0,1
x,162,22,,3,9,12.0,186.0,1
x,162,24,,7,13,12.0,186.0,1
x,162,26,,52,42,12.0,186.0,1
x,162,28,,2,7,12.0,180.0,1
x,162,31,,29,35,12.0,186.0,1
x,162,32,,10,19,12.0,186.0,1
x,162,33,,19,13,12.0,186.0,1
x,162,35,,56,45,12.0,186.0,1
x,162,36,,42,33,12.0,186.0,1
x,162,37,,55,50,12.0,186.0,1
x,162,46,,65,63,12.0,186.0,1
x,162,58,,42,33,12.0,186.0,1
x,162,60,,33,24,12.0,186.0,1
x,162,61,,46,51,12.0,186.0,1
x,162,65,,52,58,12.0,186.0,1
x,162,66,,7,13,12.0,186.0,1
x,162,67,,29,26,12.0,180.0,1
x,162,70,,56,45,12.0,186.0,1
x,162,73,,8,13,12.0,186.0,1
x,162,75,,51,48,12.0,186.0,1
x,162,76,,3,9,12.0,186.0,1
x,162,83,,55,50,12.0,186.0,1
x,162,84,,34,38,12.0,186.0,1
x,162,87,,46,51,12.0,186.0,1
x,162,93,,46,51,12.0,186.0,1
x,162,101,,26,21,12.0,186.0,1
x,162,103,,22,18,12.0,180.0,1
x,162,108,,56,45,12.0,186.0,1
x,162,111,,26,12,12.0,186.0,1
x,162,12,,42,42,18.0,186.0,1
x,162,14,,54,47,18.0,186.0,1
x,162,34,,40,43,18.0,186.0,1
x,162,43,,43,43,18.0,186.0,1
x,162,52,,43,43,18.0,186.0,1
x,162,57,,26,26,18.0,186.0,1
x,162,82,,43,43,18.0,186.0,1
x,162,9,,4,4,18.0,186.0,1
x,162,30,,30,30,18.0,186.0,1
x,162,17,,19,25,18.0,186.0,1
x,162,20,,7,7,18.0,186.0,1
x,162,28,,7,7,18.0,186.0,1
x,162,67,,26,26,18.0,186.0,1
x,162,103,,18,12,18.0,186.0,1
x,162,8,,30,25,18.0,186.0,1
x,162,11,,7,2,18.0,186.0,1
x,162,13,,3,5,18.0,186.0,1
x,162,54,,17,19,18.0,186.0,1
x,162,71,,60,55,18.0,186.0,1
x,162,12,,42,42,24.0,192.0,1
x,162,14,,47,43,24.0,192.0,1
x,162,25,,19,25,24.0,192.0,1
x,162,34,,43,47,24.0,192.0,1
x,162,39,,12,18,24.0,192.0,1
x,162,43,,43,43,24.0,192.0,1
x,162,49,,2,3,24.0,192.0,1
x,162,51,,37,30,24.0,198.0,1
x,162,52,,43,43,24.0,192.0,1
x,162,57,,26,26,24.0,192.0,1
x,162,82,,43,43,24.0,192.0,1
x,162,85,,45,37,24.0,198.0,1
x,162,86,,37,30,24.0,198.0,1
x,162,88,,45,53,24.0,198.0,1
x,162,110,,12,9,24.0,192.0,1
x,162,9,,4,8,24.0,198.0,1
x,162,23,,45,37,24.0,198.0,1
