varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,162,,2,1,6.0,12.0,1
y,162,,7,2,18.0,24.0,1
y,162,,11,10,18.0,24.0,1
y,162,,26,29,18.0,24.0,1
y,162,,43,47,18.0,24.0,1
y,162,,43,47,18.0,24.0,1
y,162,,44,47,18.0,24.0,1
y,162,,10,6,24.0,30.0,1
y,162,,26,18,24.0,36.0,1
y,162,,47,60,24.0,36.0,1
y,162,,47,60,24.0,36.0,1
y,162,,60,64,24.0,36.0,1
y,162,,53,60,24.0,36.0,1
y,162,,8,14,24.0,36.0,1
y,162,,12,26,24.0,36.0,1
y,162,,31,29,24.0,36.0,1
y,162,,26,32,24.0,36.0,1
y,162,,26,32,24.0,36.0,1
y,162,,42,52,24.0,36.0,1
y,162,,45,56,24.0,36.0,1
y,162,,45,56,24.0,36.0,1
y,162,,47,60,24.0,36.0,1
y,162,,53,64,24.0,36.0,1
y,162,,6,3,30.0,36.0,1
y,162,,6,5,30.0,36.0,1
y,162,,10,6,30.0,36.0,1
y,162,,60,61,30.0,36.0,1
y,162,,3,2,30.0,36.0,1
y,162,,1,3,30.0,36.0,1
y,162,,9,5,30.0,36.0,1
y,162,,8,7,30.0,36.0,1
y,162,,8,7,30.0,36.0,1
y,162,,9,12,30.0,36.0,1
y,162,,9,12,30.0,36.0,1
y,162,,25,19,30.0,36.0,1
y,162,,35,32,30.0,36.0,1
y,162,,43,47,30.0,36.0,1
y,162,,4,6,36.0,42.0,1
y,162,,25,17,36.0,48.0,1
y,162,,12,22,36.0,48.0,1
y,162,,40,35,36.0,48.0,1
y,162,,47,60,36.0,48.0,1
y,162,,19,16,36.0,42.0,1
y,162,,43,40,36.0,48.0,1
y,162,,55,60,36.0,48.0,1
y,162,,9,5,36.0,42.0,1
y,162,,9,5,36.0,42.0,1
y,162,,13,7,36.0,48.0,1
y,162,,13,7,36.0,48.0,1
y,162,,2,7,36.0,42.0,1
y,162,,13,8,36.0,48.0,1
y,162,,19,10,36.0,48.0,1
y,162,,19,10,36.0,48.0,1
y,162,,19,10,36.0,48.0,1
y,162,,2,12,36.0,48.0,1
y,162,,21,26,36.0,48.0,1
y,162,,12,26,36.0,48.0,1
y,162,,35,29,36.0,48.0,1
y,162,,24,33,36.0,48.0,1
y,162,,38,34,36.0,48.0,1
y,162,,33,42,36.0,48.0,1
y,162,,33,42,36.0,48.0,1
y,162,,51,46,36.0,48.0,1
y,162,,51,46,36.0,48.0,1
y,162,,51,46,36.0,48.0,1
y,162,,42,52,36.0,48.0,1
y,162,,58,52,36.0,48.0,1
y,162,,45,53,36.0,48.0,1
y,162,,45,53,36.0,48.0,1
y,162,,50,55,36.0,48.0,1
y,162,,45,56,36.0,48.0,1
y,162,,45,56,36.0,48.0,1
y,162,,45,56,36.0,48.0,1
y,162,,63,65,36.0,48.0,1
y,162,,6,3,42.0,48.0,1
y,162,,5,3,42.0,48.0,1
y,162,,16,17,42.0,48.0,1
y,162,,5,3,42.0,48.0,1
y,162,,5,3,42.0,48.0,1
y,162,,10,6,42.0,48.0,1
y,162,,9,12,42.0,48.0,1
y,162,,9,12,42.0,48.0,1
y,162,,25,19,42.0,48.0,1
y,162,,25,19,42.0,48.0,1
y,162,,17,17,42.0,48.0,1
y,162,,43,43,42.0,48.0,1
y,162,,43,43,42.0,48.0,1
y,162,,11,6,48.0,60.0,1
y,162,,18,9,48.0,60.0,1
y,162,,10,16,48.0,60.0,1
y,162,,12,22,48.0,60.0,1
y,162,,12,22,48.0,60.0,1
y,162,,12,22,48.0,60.0,1
