varname,currtime,d,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
z,162,2451,,52,42,0.0,12.0,1
z,162,3203,,64,61,0.0,6.0,1
z,162,125,,3,6,0.0,6.0,1
z,162,1182,,29,35,0.0,12.0,1
z,162,2,,1,2,0.0,6.0,1
z,162,2946,,60,54,0.0,6.0,1
z,162,572,,14,8,0.0,12.0,1
z,162,2769,,56,45,0.0,12.0,1
z,162,2605,,54,47,0.0,6.0,1
z,162,740,,18,22,0.0,6.0,1
z,162,1099,,26,12,0.0,12.0,1
z,162,2948,,60,47,0.0,12.0,1
z,162,3205,,64,53,0.0,12.0,1
z,162,2771,,56,45,0.0,12.0,1
z,162,1188,,30,37,0.0,12.0,1
z,162,2949,,60,54,0.0,6.0,1
z,162,864,,22,18,0.0,6.0,1
z,162,1304,,32,26,0.0,12.0,1
z,162,1305,,32,26,0.0,12.0,1
z,162,1184,,29,31,0.0,12.0,1
z,162,1,,1,1,0.0,6.0,1
z,162,3,,1,1,0.0,6.0,1
z,162,4,,1,1,0.0,6.0,1
z,162,5,,1,1,0.0,6.0,1
z,162,6,,1,1,0.0,6.0,1
z,162,7,,1,1,0.0,6.0,1
z,162,8,,1,1,0.0,6.0,1
z,162,9,,1,1,0.0,6.0,1
z,162,10,,1,1,0.0,6.0,1
z,162,11,,1,1,0.0,6.0,1
z,162,12,,1,1,0.0,6.0,1
z,162,13,,1,1,0.0,6.0,1
z,162,14,,1,1,0.0,6.0,1
z,162,15,,1,1,0.0,6.0,1
z,162,16,,1,1,0.0,6.0,1
z,162,17,,1,1,0.0,6.0,1
z,162,18,,1,1,0.0,6.0,1
z,162,19,,1,1,0.0,6.0,1
z,162,20,,1,1,0.0,6.0,1
z,162,21,,1,1,0.0,6.0,1
z,162,22,,1,1,0.0,6.0,1
z,162,23,,1,1,0.0,6.0,1
z,162,24,,1,1,0.0,6.0,1
z,162,25,,1,1,0.0,6.0,1
z,162,26,,1,1,0.0,6.0,1
z,162,27,,1,1,0.0,6.0,1
z,162,28,,1,1,0.0,6.0,1
z,162,29,,1,1,0.0,6.0,1
z,162,30,,1,1,0.0,6.0,1
z,162,31,,1,1,0.0,6.0,1
z,162,32,,1,1,0.0,6.0,1
z,162,33,,1,1,0.0,6.0,1
z,162,34,,1,1,0.0,6.0,1
z,162,35,,1,1,0.0,6.0,1
z,162,36,,1,1,0.0,6.0,1
z,162,37,,1,1,0.0,6.0,1
z,162,38,,1,1,0.0,6.0,1
z,162,39,,1,1,0.0,6.0,1
z,162,40,,1,1,0.0,6.0,1
z,162,41,,1,1,0.0,6.0,1
z,162,42,,1,1,0.0,6.0,1
z,162,43,,1,1,0.0,6.0,1
z,162,44,,1,1,0.0,6.0,1
z,162,45,,1,1,0.0,6.0,1
z,162,46,,1,1,0.0,6.0,1
z,162,47,,1,1,0.0,6.0,1
z,162,48,,1,1,0.0,6.0,1
z,162,49,,1,1,0.0,6.0,1
z,162,50,,1,1,0.0,6.0,1
z,162,51,,1,1,0.0,6.0,1
z,162,52,,1,1,0.0,6.0,1
z,162,53,,1,1,0.0,6.0,1
z,162,54,,1,1,0.0,6.0,1
z,162,55,,1,1,0.0,6.0,1
z,162,56,,1,1,0.0,6.0,1
z,162,57,,1,1,0.0,6.0,1
z,162,58,,1,1,0.0,6.0,1
z,162,59,,1,1,0.0,6.0,1
z,162,60,,1,1,0.0,6.0,1
z,162,61,,1,1,0.0,6.0,1
z,162,62,,1,1,0.0,6.0,1
z,162,63,,2,2,0.0,6.0,1
z,162,64,,2,2,0.0,6.0,1
z,162,65,,2,2,0.0,6.0,1
z,162,66,,2,2,0.0,6.0,1
z,162,67,,2,2,0.0,6.0,1
z,162,68,,2,2,0.0,6.0,1
z,162,69,,2,2,0.0,6.0,1
z,162,70,,2,2,0.0,6.0,1
z,162,71,,2,2,0.0,6.0,1
z,162,72,,2,2,0.0,6.0,1
z,162,73,,2,2,0.0,6.0,1
z,162,74,,2,2,0.0,6.0,1
z,162,75,,2,2,0.0,6.0,1
z,162,76,,2,2,0.0,6.0,1
z,162,77,,2,2,0.0,6.0,1
z,162,78,,2,2,0.0,6.0,1
z,162,79,,2,2,0.0,6.0,1
z,162,80,,2,2,0.0,6.0,1
z,162,81,,2,2,0.0,6.0,1
z,162,82,,2,2,0.0,6.0,1
z,162,83,,2,2,0.0,6.0,1
z,162,84,,2,2,0.0,6.0,1
z,162,85,,2,2,0.0,6.0,1
z,162,86,,2,2,0.0,6.0,1
z,162,87,,2,2,0.0,6.0,1
z,162,88,,2,2,0.0,6.0,1
z,162,89,,2,2,0.0,6.0,1
