ID,example,method,originloc,destloc,arctime_rdd,arctime_raw,arcdist,totaltrips,ordertrips,emptytrips,taxitrips
ex4_otd_rundate2022-03-23,4,otd,6,9,12.0,7.674605278,165.618941888485,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,59,48,24.0,23.59832028,245.228545650453,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,15,29,24.0,18.60927163,408.712905996668,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,9,1,12.0,10.01845272,339.218315423481,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,17,14,12.0,9.399953504,284.8849333836,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,64,61,6.0,4.342777778,164.167702995166,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,49,59,24.0,20.49691306,188.417192657867,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,56,55,24.0,20.70656347,36.1378209810836,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,13,12.0,6.547344583,192.181292947629,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,30,37,12.0,7.16648103,203.075347443691,50.0,50.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,61,53,18.0,15.80335333,215.143569936221,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,27,32,48.0,44.7221205,271.868085412542,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,28,24.0,18.62479447,292.154050184346,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,4,5,12.0,6.549100001,128.699985818995,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,51,63,36.0,34.29257854,371.032307465386,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,64,55,12.0,10.00760111,361.245690377166,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,18,21,12.0,11.70002823,206.664757229232,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,20,13,66.0,65.39982139,132.397203119022,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,57,62,24.0,18.47220833,435.342763991966,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,23,16,18.0,17.59698931,238.30765466463,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,62,53,18.0,13.75360299,261.633531590189,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,42,52,12.0,7.945470778,239.648188825157,4.0000000000036735,0.0,4.0000000000036735,0.0
ex4_otd_rundate2022-03-23,4,otd,4,9,12.0,9.068318572,260.784674065712,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,8,4,12.0,7.710116202,179.637929454877,26.00000000000028,5.0,21.00000000000028,0.0
ex4_otd_rundate2022-03-23,4,otd,22,15,12.0,6.594898214,217.740957859061,2.0,2.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,1,2,6.0,2.444679226,94.0520598724769,4.000000000000284,3.0,1.0000000000002838,0.0
ex4_otd_rundate2022-03-23,4,otd,40,35,12.0,6.327419333,195.111380440787,14.000000000000002,1.0,13.000000000000002,0.0
ex4_otd_rundate2022-03-23,4,otd,52,51,12.0,7.028054074,226.052352419419,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,19,20,12.0,9.670389559,266.851876083053,6.0,6.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,6,11,12.0,6.800324389,240.878954790344,10.0,10.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,22,35,24.0,20.80852046,397.319156449985,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,9,6,12.0,7.674605278,165.618941888485,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,8,2,12.0,9.515706389,252.458807101734,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,50,55,12.0,7.467738413,255.33797869718,21.0,21.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,66,63,18.0,17.57798659,330.741716784567,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,13,19,12.0,7.808304348,219.773425311445,33.0,33.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,29,22,12.0,9.163609909,195.156352093002,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,17,10,18.0,16.41826296,285.454634813656,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,23,21,18.0,13.36683194,222.27452865026,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,50,57,12.0,10.50299284,276.724910469429,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,34,37,24.0,18.74998763,300.202990619688,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,35,22,24.0,21.48926583,397.319156449985,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,2,5,6.0,3.774056944,117.432143994265,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,34,30,12.0,8.584165971,269.533904865347,6.000000000000014,5.0,1.0000000000000138,0.0
ex4_otd_rundate2022-03-23,4,otd,14,13,66.0,60.34616,75.0676528318226,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,26,21,12.0,8.245203931,245.599883785544,22.0,21.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,47,36,12.0,9.443832778,327.151928083114,12.0,11.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,3,9,12.0,6.705392634,225.160771524459,22.0,22.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,64,53,12.0,10.48611722,377.593080541843,2.0,1.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,26,18,12.0,7.611883319,243.728570897212,5.0,2.0,3.0,0.0
ex4_otd_rundate2022-03-23,4,otd,30,13,18.0,12.5,529.389445620263,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,18,12,6.0,4.539634892,158.615955881854,6.0,4.0,2.0,0.0
ex4_otd_rundate2022-03-23,4,otd,35,29,12.0,8.501904191,215.450902575466,23.000000000000043,0.0,23.000000000000043,0.0
ex4_otd_rundate2022-03-23,4,otd,38,34,12.0,7.146470262,246.846158338184,26.0,26.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,35,39,6.0,3.205039593,130.085846939464,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,17,12.0,6.438168333,227.368525579854,2.0,0.0,2.0,0.0
ex4_otd_rundate2022-03-23,4,otd,63,52,36.0,31.20914111,450.627463431132,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,16,20,12.0,9.186221462,275.720335325065,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,55,50,12.0,6.86057705,255.33797869718,23.0,14.0,9.0,0.0
ex4_otd_rundate2022-03-23,4,otd,61,64,6.0,4.342777778,164.167702995166,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,4,10,12.0,7.832734444,226.318836494536,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,39,12.0,10.23975592,274.034207117547,3.0000000000002975,0.0,3.0000000000002975,0.0
ex4_otd_rundate2022-03-23,4,otd,7,2,6.0,5.792768582,217.951370235144,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,31,32,18.0,14.93580361,205.489460058827,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,19,25,6.0,5.546718436,190.850576107284,55.0,55.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,10,17,18.0,16.41826296,285.454634813656,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,6,3,6.0,5.089065,107.627571703066,8.999999999997732,0.0,8.999999999997732,0.0
ex4_otd_rundate2022-03-23,4,otd,30,23,18.0,13.76540261,275.328287083623,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,23,24.0,19.79042,419.416328452391,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,1,7,12.0,9.630762983,270.980577747204,1.0,0.0,1.0,0.0
ex4_otd_rundate2022-03-23,4,otd,19,13,12.0,7.542982048,219.773425311445,29.000000000000043,12.0,17.000000000000043,0.0
ex4_otd_rundate2022-03-23,4,otd,32,39,12.0,6.092069787,223.145722054687,8.0,8.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,25,11,18.0,13.97332324,409.269676982207,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,33,42,12.0,9.460181794,275.580117356592,20.000000000000398,13.0,7.0000000000004,0.0
ex4_otd_rundate2022-03-23,4,otd,56,62,18.0,13.79328598,243.595147576949,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,32,29,6.0,5.840128056,123.682521081132,8.0,0.0,8.0,0.0
ex4_otd_rundate2022-03-23,4,otd,1,3,6.0,4.450994546,125.622431360481,1.0,1.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,36,44,12.0,9.824423945,276.933466682987,3.0000000000002838,1.0,2.0000000000002838,0.0
ex4_otd_rundate2022-03-23,4,otd,57,48,24.0,21.39030722,166.565832820728,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,21,9,24.0,20.86430251,390.577623757823,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,12,15,6.0,3.592126888,81.5118255360498,2.999999999999503,0.0,2.999999999999503,0.0
ex4_otd_rundate2022-03-23,4,otd,9,10,12.0,9.926109582,163.074680306897,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,62,57,24.0,18.47220833,435.342763991966,0.0,0.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,53,45,12.0,6.595287355,179.139190471413,39.0,39.0,0.0,0.0
ex4_otd_rundate2022-03-23,4,otd,12,2,12.0,11.94232708,456.747326352691,26.0,26.0,0.0,0.0
