varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,84,8,25,17,84.0,96.0,0.0
y,84,10,25,17,96.0,108.0,0.0
y,84,12,25,17,108.0,120.0,0.0
y,84,14,25,17,120.0,132.0,0.0
y,84,16,25,17,132.0,144.0,0.0
y,84,18,25,17,144.0,156.0,0.0
y,84,29,25,30,84.0,90.0,0.0
y,84,30,25,30,90.0,96.0,0.0
y,84,31,25,30,96.0,102.0,0.0
y,84,32,25,30,102.0,108.0,0.0
y,84,33,25,30,108.0,114.0,0.0
y,84,34,25,30,114.0,120.0,0.0
y,84,35,25,30,120.0,126.0,0.0
y,84,36,25,30,126.0,132.0,0.0
y,84,37,25,30,132.0,138.0,0.0
y,84,38,25,30,138.0,144.0,0.0
y,84,39,25,30,144.0,150.0,0.0
y,84,40,25,30,150.0,156.0,0.0
y,84,51,25,19,84.0,90.0,2.0
y,84,52,25,19,90.0,96.0,0.0
y,84,53,25,19,96.0,102.0,0.0
y,84,54,25,19,102.0,108.0,4.0
y,84,55,25,19,108.0,114.0,0.0
y,84,56,25,19,114.0,120.0,2.0
y,84,57,25,19,120.0,126.0,2.0
y,84,58,25,19,126.0,132.0,2.0
y,84,59,25,19,132.0,138.0,2.0
y,84,60,25,19,138.0,144.0,0.0
y,84,61,25,19,144.0,150.0,0.0
y,84,62,25,19,150.0,156.0,0.0
y,84,63,3,5,84.0,90.0,0.0
y,84,64,3,5,90.0,96.0,0.0
y,84,65,3,5,96.0,102.0,0.0
y,84,66,3,5,102.0,108.0,0.0
y,84,67,3,5,108.0,114.0,0.0
y,84,68,3,5,114.0,120.0,0.0
y,84,69,3,5,120.0,126.0,0.0
y,84,70,3,5,126.0,132.0,0.0
y,84,71,3,5,132.0,138.0,0.0
y,84,72,3,5,138.0,144.0,0.0
y,84,73,3,5,144.0,150.0,0.0
y,84,74,3,5,150.0,156.0,0.0
y,84,75,55,60,84.0,96.0,0.0
y,84,77,55,60,96.0,108.0,0.0
y,84,79,55,60,108.0,120.0,0.0
y,84,81,55,60,120.0,132.0,0.0
y,84,83,55,60,132.0,144.0,0.0
y,84,85,55,60,144.0,156.0,0.0
y,84,92,55,54,84.0,96.0,0.0
y,84,94,55,54,96.0,108.0,0.0
y,84,96,55,54,108.0,120.0,0.0
y,84,98,55,54,120.0,132.0,0.0
y,84,100,55,54,132.0,144.0,0.0
y,84,102,55,54,144.0,156.0,0.0
y,84,103,55,50,84.0,96.0,0.0
y,84,105,55,50,96.0,108.0,0.0
y,84,107,55,50,108.0,120.0,0.0
y,84,109,55,50,120.0,132.0,1.0
y,84,111,55,50,132.0,144.0,0.0
y,84,113,55,50,144.0,156.0,0.0
y,84,128,56,60,84.0,90.0,0.0
y,84,129,56,60,90.0,96.0,0.0
y,84,130,56,60,96.0,102.0,0.0
y,84,131,56,60,102.0,108.0,0.0
y,84,132,56,60,108.0,114.0,0.0
y,84,133,56,60,114.0,120.0,0.0
y,84,134,56,60,120.0,126.0,0.0
y,84,135,56,60,126.0,132.0,0.0
y,84,136,56,60,132.0,138.0,0.0
y,84,137,56,60,138.0,144.0,0.0
y,84,138,56,60,144.0,150.0,0.0
y,84,139,56,60,150.0,156.0,0.0
y,84,140,14,20,84.0,90.0,0.0
y,84,141,14,20,90.0,96.0,0.0
y,84,142,14,20,96.0,102.0,0.0
y,84,143,14,20,102.0,108.0,0.0
y,84,152,56,45,84.0,96.0,0.0
