varname,currtime,i,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
x,108,12,5804,1,27,180.0,1108,-0.0
x,108,12,5870,2,27,180.0,1108,-0.0
x,108,12,5936,3,27,180.0,1108,-0.0
x,108,12,6002,4,27,180.0,1108,-0.0
x,108,12,6068,5,27,180.0,1108,-0.0
x,108,12,6134,6,27,180.0,1108,-0.0
x,108,12,6200,7,27,180.0,1108,-0.0
x,108,12,6266,8,27,180.0,1108,-0.0
x,108,12,6332,9,27,180.0,1108,-0.0
x,108,12,6398,10,27,180.0,1108,-0.0
x,108,12,6464,11,27,180.0,1108,-0.0
x,108,12,6530,12,27,180.0,1108,-0.0
x,108,12,6596,13,27,180.0,1108,-0.0
x,108,12,6662,14,27,180.0,1108,-0.0
x,108,12,6728,15,27,180.0,1108,-0.0
x,108,12,6794,16,27,180.0,1108,-0.0
x,108,12,6860,17,27,180.0,1108,-0.0
x,108,12,6926,18,27,180.0,1108,-0.0
x,108,12,6992,19,27,180.0,1108,-0.0
x,108,12,7058,20,27,180.0,1108,-0.0
x,108,12,7124,21,27,180.0,1108,-0.0
x,108,12,7190,22,27,180.0,1108,-0.0
x,108,12,7256,23,27,180.0,1108,-0.0
x,108,12,7322,24,27,180.0,1108,-0.0
x,108,12,7388,25,27,180.0,1108,-0.0
x,108,12,7454,26,27,180.0,1108,-0.0
x,108,12,7520,27,27,180.0,1108,-0.0
x,108,12,7586,28,27,180.0,1108,-0.0
x,108,12,7652,29,27,180.0,1108,-0.0
x,108,12,7718,30,27,180.0,1108,-0.0
x,108,12,7784,31,27,180.0,1108,-0.0
x,108,12,7850,32,27,180.0,1108,-0.0
x,108,12,7916,33,27,180.0,1108,-0.0
x,108,12,7982,34,27,180.0,1108,-0.0
x,108,12,8048,35,27,180.0,1108,-0.0
x,108,12,8114,36,27,180.0,1108,-0.0
x,108,12,8180,37,27,180.0,1108,-0.0
x,108,12,8246,38,27,180.0,1108,-0.0
x,108,12,8312,39,27,180.0,1108,-0.0
x,108,12,8378,40,27,180.0,1108,-0.0
x,108,12,8444,41,27,180.0,1108,-0.0
x,108,12,8510,42,27,180.0,1108,-0.0
x,108,12,8576,43,27,180.0,1108,-0.0
x,108,12,8642,44,27,180.0,1108,-0.0
x,108,12,8708,45,27,180.0,1108,-0.0
x,108,12,8774,46,27,180.0,1108,-0.0
x,108,12,8840,47,27,180.0,1108,-0.0
x,108,12,8906,48,27,180.0,1108,-0.0
x,108,12,8972,49,27,180.0,1108,-0.0
x,108,12,9038,50,27,180.0,1108,-0.0
x,108,12,9104,51,27,180.0,1108,-0.0
x,108,12,9170,52,27,180.0,1108,1.0
x,108,12,9236,53,27,180.0,1108,-0.0
x,108,12,9302,54,27,180.0,1108,-0.0
x,108,12,9368,55,27,180.0,1108,-0.0
x,108,12,9434,56,27,180.0,1108,-0.0
x,108,12,9500,57,27,180.0,1108,-0.0
x,108,12,9566,58,27,180.0,1108,-0.0
x,108,12,9632,59,27,180.0,1108,-0.0
x,108,12,9698,60,27,180.0,1108,-0.0
x,108,12,9764,61,27,180.0,1108,-0.0
x,108,12,9830,62,27,180.0,1108,-0.0
x,108,12,9896,63,27,180.0,1108,-0.0
x,108,12,9962,64,27,180.0,1108,-0.0
x,108,12,10028,65,27,180.0,1108,-0.0
x,108,12,10094,66,27,180.0,1108,-0.0
x,108,14,5778,1,1,180.0,1108,-0.0
x,108,14,5844,2,1,180.0,1108,-0.0
x,108,14,5910,3,1,180.0,1108,-0.0
x,108,14,5976,4,1,180.0,1108,-0.0
x,108,14,6042,5,1,180.0,1108,-0.0
x,108,14,6108,6,1,180.0,1108,-0.0
x,108,14,6174,7,1,180.0,1108,-0.0
x,108,14,6240,8,1,180.0,1108,-0.0
x,108,14,6306,9,1,180.0,1108,-0.0
x,108,14,6372,10,1,180.0,1108,-0.0
x,108,14,6438,11,1,180.0,1108,-0.0
x,108,14,6504,12,1,180.0,1108,-0.0
x,108,14,6570,13,1,180.0,1108,-0.0
x,108,14,6636,14,1,180.0,1108,-0.0
x,108,14,6702,15,1,180.0,1108,-0.0
x,108,14,6768,16,1,180.0,1108,-0.0
x,108,14,6834,17,1,180.0,1108,-0.0
x,108,14,6900,18,1,180.0,1108,-0.0
x,108,14,6966,19,1,180.0,1108,-0.0
x,108,14,7032,20,1,180.0,1108,-0.0
x,108,14,7098,21,1,180.0,1108,-0.0
x,108,14,7164,22,1,180.0,1108,-0.0
x,108,14,7230,23,1,180.0,1108,-0.0
x,108,14,7296,24,1,180.0,1108,-0.0
x,108,14,7362,25,1,180.0,1108,-0.0
x,108,14,7428,26,1,180.0,1108,-0.0
x,108,14,7494,27,1,180.0,1108,-0.0
x,108,14,7560,28,1,180.0,1108,-0.0
x,108,14,7626,29,1,180.0,1108,-0.0
x,108,14,7692,30,1,180.0,1108,-0.0
x,108,14,7758,31,1,180.0,1108,-0.0
x,108,14,7824,32,1,180.0,1108,-0.0
x,108,14,7890,33,1,180.0,1108,-0.0
x,108,14,7956,34,1,180.0,1108,-0.0
x,108,14,8022,35,1,180.0,1108,-0.0
x,108,14,8088,36,1,180.0,1108,-0.0
x,108,14,8154,37,1,180.0,1108,-0.0
x,108,14,8220,38,1,180.0,1108,-0.0
x,108,14,8286,39,1,180.0,1108,-0.0
x,108,14,8352,40,1,180.0,1108,-0.0
x,108,14,8418,41,1,180.0,1108,-0.0
x,108,14,8484,42,1,180.0,1108,-0.0
x,108,14,8550,43,1,180.0,1108,-0.0
x,108,14,8616,44,1,180.0,1108,-0.0
x,108,14,8682,45,1,180.0,1108,-0.0
x,108,14,8748,46,1,180.0,1108,-0.0
x,108,14,8814,47,1,180.0,1108,-0.0
x,108,14,8880,48,1,180.0,1108,-0.0
x,108,14,8946,49,1,180.0,1108,-0.0
x,108,14,9012,50,1,180.0,1108,-0.0
x,108,14,9078,51,1,180.0,1108,-0.0
x,108,14,9144,52,1,180.0,1108,-0.0
x,108,14,9210,53,1,180.0,1108,-0.0
x,108,14,9276,54,1,180.0,1108,-0.0
x,108,14,9342,55,1,180.0,1108,-0.0
x,108,14,9408,56,1,180.0,1108,-0.0
x,108,14,9474,57,1,180.0,1108,-0.0
x,108,14,9540,58,1,180.0,1108,-0.0
x,108,14,9606,59,1,180.0,1108,-0.0
x,108,14,9672,60,1,180.0,1108,-0.0
x,108,14,9738,61,1,180.0,1108,-0.0
x,108,14,9804,62,1,180.0,1108,-0.0
x,108,14,9870,63,1,180.0,1108,-0.0
x,108,14,9936,64,1,180.0,1108,1.0
x,108,14,10002,65,1,180.0,1108,-0.0
x,108,14,10068,66,1,180.0,1108,-0.0
x,108,20,5832,1,55,180.0,1108,-0.0
x,108,20,5898,2,55,180.0,1108,1.0
x,108,20,5964,3,55,180.0,1108,-0.0
x,108,20,6030,4,55,180.0,1108,-0.0
x,108,20,6096,5,55,180.0,1108,-0.0
x,108,20,6162,6,55,180.0,1108,-0.0
x,108,20,6228,7,55,180.0,1108,-0.0
x,108,20,6294,8,55,180.0,1108,-0.0
x,108,20,6360,9,55,180.0,1108,-0.0
x,108,20,6426,10,55,180.0,1108,-0.0
x,108,20,6492,11,55,180.0,1108,-0.0
x,108,20,6558,12,55,180.0,1108,-0.0
x,108,20,6624,13,55,180.0,1108,-0.0
x,108,20,6690,14,55,180.0,1108,-0.0
x,108,20,6756,15,55,180.0,1108,-0.0
x,108,20,6822,16,55,180.0,1108,-0.0
