varname,currtime,i,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
x,66,2,5779,1,2,138.0,1066,-0.0
x,66,2,5845,2,2,138.0,1066,0.0
x,66,2,5911,3,2,138.0,1066,-0.0
x,66,2,5977,4,2,138.0,1066,-0.0
x,66,2,6043,5,2,138.0,1066,-0.0
x,66,2,6109,6,2,138.0,1066,-0.0
x,66,2,6175,7,2,138.0,1066,-0.0
x,66,2,6241,8,2,138.0,1066,-0.0
x,66,2,6307,9,2,138.0,1066,0.0
x,66,2,6373,10,2,138.0,1066,-0.0
x,66,2,6439,11,2,138.0,1066,-0.0
x,66,2,6505,12,2,138.0,1066,-0.0
x,66,2,6571,13,2,138.0,1066,-0.0
x,66,2,6637,14,2,138.0,1066,-0.0
x,66,2,6703,15,2,138.0,1066,0.0
x,66,2,6769,16,2,138.0,1066,-0.0
x,66,2,6835,17,2,138.0,1066,-0.0
x,66,2,6901,18,2,138.0,1066,-0.0
x,66,2,6967,19,2,138.0,1066,-0.0
x,66,2,7033,20,2,138.0,1066,-0.0
x,66,2,7099,21,2,138.0,1066,-0.0
x,66,2,7165,22,2,138.0,1066,0.0
x,66,2,7231,23,2,138.0,1066,-0.0
x,66,2,7297,24,2,138.0,1066,-0.0
x,66,2,7363,25,2,138.0,1066,-0.0
x,66,2,7429,26,2,138.0,1066,-0.0
x,66,2,7495,27,2,138.0,1066,-0.0
x,66,2,7561,28,2,138.0,1066,-0.0
x,66,2,7627,29,2,138.0,1066,-0.0
x,66,2,7693,30,2,138.0,1066,-0.0
x,66,2,7759,31,2,138.0,1066,-0.0
x,66,2,7825,32,2,138.0,1066,-0.0
x,66,2,7891,33,2,138.0,1066,-0.0
x,66,2,7957,34,2,138.0,1066,-0.0
x,66,2,8023,35,2,138.0,1066,-0.0
x,66,2,8089,36,2,138.0,1066,-0.0
x,66,2,8155,37,2,138.0,1066,-0.0
x,66,2,8221,38,2,138.0,1066,-0.0
x,66,2,8287,39,2,138.0,1066,-0.0
x,66,2,8353,40,2,138.0,1066,-0.0
x,66,2,8419,41,2,138.0,1066,-0.0
x,66,2,8485,42,2,138.0,1066,-0.0
x,66,2,8551,43,2,138.0,1066,-0.0
x,66,2,8617,44,2,138.0,1066,-0.0
x,66,2,8683,45,2,138.0,1066,-0.0
x,66,2,8749,46,2,138.0,1066,-0.0
x,66,2,8815,47,2,138.0,1066,-0.0
x,66,2,8881,48,2,138.0,1066,-0.0
x,66,2,8947,49,2,138.0,1066,-0.0
x,66,2,9013,50,2,138.0,1066,-0.0
x,66,2,9079,51,2,138.0,1066,-0.0
x,66,2,9145,52,2,138.0,1066,-0.0
x,66,2,9211,53,2,138.0,1066,-0.0
x,66,2,9277,54,2,138.0,1066,-0.0
x,66,2,9343,55,2,138.0,1066,-0.0
x,66,2,9409,56,2,138.0,1066,-0.0
x,66,2,9475,57,2,138.0,1066,-0.0
x,66,2,9541,58,2,138.0,1066,-0.0
x,66,2,9607,59,2,138.0,1066,-0.0
x,66,2,9673,60,2,138.0,1066,-0.0
x,66,2,9739,61,2,138.0,1066,-0.0
x,66,2,9805,62,2,138.0,1066,-0.0
x,66,2,9871,63,2,138.0,1066,-0.0
x,66,2,9937,64,2,138.0,1066,-0.0
x,66,2,10003,65,2,138.0,1066,-0.0
x,66,2,10069,66,2,138.0,1066,-0.0
x,66,2,3703,22,15,72.0,84.0,1.0
x,66,2,3704,22,15,78.0,90.0,0.0
x,66,2,3705,22,15,84.0,96.0,0.0
x,66,2,3706,22,15,90.0,102.0,0.0
x,66,2,3707,22,15,96.0,108.0,0.0
x,66,2,3708,22,15,102.0,114.0,0.0
