varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,12,8,25,17,12.0,24.0,0.0
y,12,10,25,17,24.0,36.0,0.0
y,12,12,25,17,36.0,48.0,1.0
y,12,14,25,17,48.0,60.0,1.0
y,12,16,25,17,60.0,72.0,0.0
y,12,18,25,17,72.0,84.0,0.0
y,12,29,25,30,12.0,18.0,0.0
y,12,30,25,30,18.0,24.0,0.0
y,12,31,25,30,24.0,30.0,0.0
y,12,32,25,30,30.0,36.0,0.0
y,12,33,25,30,36.0,42.0,0.0
y,12,34,25,30,42.0,48.0,0.0
y,12,35,25,30,48.0,54.0,0.0
y,12,36,25,30,54.0,60.0,0.0
y,12,37,25,30,60.0,66.0,0.0
y,12,38,25,30,66.0,72.0,0.0
y,12,39,25,30,72.0,78.0,0.0
y,12,40,25,30,78.0,84.0,0.0
y,12,51,25,19,12.0,18.0,0.0
y,12,52,25,19,18.0,24.0,0.0
y,12,53,25,19,24.0,30.0,0.0
y,12,54,25,19,30.0,36.0,0.0
y,12,55,25,19,36.0,42.0,0.0
y,12,56,25,19,42.0,48.0,0.0
y,12,57,25,19,48.0,54.0,0.0
y,12,58,25,19,54.0,60.0,0.0
y,12,59,25,19,60.0,66.0,4.0
y,12,60,25,19,66.0,72.0,0.0
y,12,61,25,19,72.0,78.0,0.0
y,12,62,25,19,78.0,84.0,0.0
y,12,63,3,5,12.0,18.0,0.0
y,12,64,3,5,18.0,24.0,0.0
y,12,65,3,5,24.0,30.0,0.0
y,12,66,3,5,30.0,36.0,0.0
y,12,67,3,5,36.0,42.0,0.0
y,12,68,3,5,42.0,48.0,0.0
y,12,69,3,5,48.0,54.0,0.0
y,12,70,3,5,54.0,60.0,0.0
y,12,71,3,5,60.0,66.0,0.0
y,12,72,3,5,66.0,72.0,0.0
y,12,73,3,5,72.0,78.0,0.0
y,12,74,3,5,78.0,84.0,0.0
y,12,75,55,60,12.0,24.0,0.0
y,12,77,55,60,24.0,36.0,0.0
y,12,79,55,60,36.0,48.0,0.0
y,12,81,55,60,48.0,60.0,0.0
y,12,83,55,60,60.0,72.0,0.0
y,12,85,55,60,72.0,84.0,0.0
y,12,92,55,54,12.0,24.0,0.0
y,12,94,55,54,24.0,36.0,0.0
y,12,96,55,54,36.0,48.0,0.0
y,12,98,55,54,48.0,60.0,0.0
y,12,100,55,54,60.0,72.0,0.0
y,12,102,55,54,72.0,84.0,0.0
y,12,103,55,50,12.0,24.0,0.0
y,12,105,55,50,24.0,36.0,0.0
y,12,107,55,50,36.0,48.0,0.0
y,12,109,55,50,48.0,60.0,0.0
y,12,111,55,50,60.0,72.0,0.0
y,12,113,55,50,72.0,84.0,0.0
y,12,128,56,60,12.0,18.0,0.0
y,12,129,56,60,18.0,24.0,0.0
y,12,130,56,60,24.0,30.0,0.0
y,12,131,56,60,30.0,36.0,0.0
y,12,132,56,60,36.0,42.0,0.0
y,12,133,56,60,42.0,48.0,0.0
y,12,134,56,60,48.0,54.0,0.0
y,12,135,56,60,54.0,60.0,0.0
y,12,136,56,60,60.0,66.0,0.0
y,12,137,56,60,66.0,72.0,0.0
y,12,138,56,60,72.0,78.0,0.0
y,12,139,56,60,78.0,84.0,0.0
y,12,152,56,45,12.0,24.0,0.0
y,12,154,56,45,24.0,36.0,0.0
y,12,156,56,45,36.0,48.0,0.0
y,12,158,56,45,48.0,60.0,0.0
y,12,160,56,45,60.0,72.0,0.0
y,12,162,56,45,72.0,84.0,0.0
y,12,163,55,56,12.0,18.0,0.0
y,12,164,55,56,18.0,24.0,0.0
y,12,165,55,56,24.0,30.0,0.0
y,12,166,55,56,30.0,36.0,0.0
y,12,167,55,56,36.0,42.0,0.0
y,12,168,55,56,42.0,48.0,0.0
y,12,169,55,56,48.0,54.0,0.0
y,12,170,55,56,54.0,60.0,0.0
y,12,171,55,56,60.0,66.0,0.0
y,12,172,55,56,66.0,72.0,0.0
y,12,173,55,56,72.0,78.0,0.0
y,12,174,55,56,78.0,84.0,0.0
y,12,175,64,55,12.0,24.0,0.0
y,12,177,64,55,24.0,36.0,0.0
y,12,179,64,55,36.0,48.0,0.0
y,12,181,64,55,48.0,60.0,0.0
y,12,183,64,55,60.0,72.0,0.0
y,12,185,64,55,72.0,84.0,0.0
y,12,197,64,60,12.0,24.0,0.0
y,12,199,64,60,24.0,36.0,0.0
y,12,201,64,60,36.0,48.0,0.0
y,12,203,64,60,48.0,60.0,0.0
y,12,205,64,60,60.0,72.0,0.0
y,12,207,64,60,72.0,84.0,0.0
y,12,229,64,53,12.0,24.0,0.0
y,12,231,64,53,24.0,36.0,0.0
y,12,233,64,53,36.0,48.0,0.0
y,12,235,64,53,48.0,60.0,0.0
y,12,237,64,53,60.0,72.0,0.0
y,12,239,64,53,72.0,84.0,0.0
y,12,240,40,39,12.0,18.0,0.0
y,12,241,40,39,18.0,24.0,0.0
y,12,242,40,39,24.0,30.0,0.0
y,12,243,40,39,30.0,36.0,0.0
y,12,244,40,39,36.0,42.0,0.0
y,12,245,40,39,42.0,48.0,0.0
y,12,246,40,39,48.0,54.0,0.0
y,12,247,40,39,54.0,60.0,0.0
y,12,248,40,39,60.0,66.0,0.0
y,12,249,40,39,66.0,72.0,0.0
y,12,250,40,39,72.0,78.0,0.0
y,12,251,40,39,78.0,84.0,0.0
y,12,262,40,43,12.0,18.0,0.0
y,12,263,40,43,18.0,24.0,0.0
y,12,264,40,43,24.0,30.0,0.0
y,12,265,40,43,30.0,36.0,0.0
y,12,266,40,43,36.0,42.0,0.0
y,12,267,40,43,42.0,48.0,0.0
y,12,268,40,43,48.0,54.0,0.0
y,12,269,40,43,54.0,60.0,0.0
y,12,270,40,43,60.0,66.0,0.0
y,12,271,40,43,66.0,72.0,0.0
y,12,272,40,43,72.0,78.0,0.0
y,12,273,40,43,78.0,84.0,0.0
y,12,274,40,35,12.0,24.0,0.0
y,12,276,40,35,24.0,36.0,0.0
y,12,278,40,35,36.0,48.0,0.0
y,12,280,40,35,48.0,60.0,0.0
y,12,282,40,35,60.0,72.0,0.0
y,12,284,40,35,72.0,84.0,0.0
y,12,295,49,51,12.0,24.0,1.0
y,12,297,49,51,24.0,36.0,0.0
y,12,299,49,51,36.0,48.0,1.0
y,12,301,49,51,48.0,60.0,1.0
y,12,303,49,51,60.0,72.0,0.0
y,12,305,49,51,72.0,84.0,0.0
y,12,323,49,48,12.0,18.0,0.0
y,12,324,49,48,18.0,24.0,0.0
y,12,325,49,48,24.0,30.0,0.0
y,12,326,49,48,30.0,36.0,0.0
y,12,327,49,48,36.0,42.0,0.0
y,12,328,49,48,42.0,48.0,0.0
y,12,329,49,48,48.0,54.0,0.0
y,12,330,49,48,54.0,60.0,0.0
y,12,331,49,48,60.0,66.0,0.0
y,12,332,49,48,66.0,72.0,0.0
y,12,333,49,48,72.0,78.0,0.0
y,12,334,49,48,78.0,84.0,0.0
y,12,335,27,29,12.0,24.0,0.0
y,12,337,27,29,24.0,36.0,0.0
y,12,339,27,29,36.0,48.0,0.0
y,12,341,27,29,48.0,60.0,0.0
y,12,343,27,29,60.0,72.0,0.0
y,12,345,27,29,72.0,84.0,0.0
y,12,346,27,31,12.0,24.0,0.0
y,12,348,27,31,24.0,36.0,0.0
y,12,350,27,31,36.0,48.0,0.0
y,12,352,27,31,48.0,60.0,0.0
y,12,354,27,31,60.0,72.0,0.0
y,12,356,27,31,72.0,84.0,0.0
y,12,357,27,28,12.0,24.0,0.0
y,12,359,27,28,24.0,36.0,0.0
y,12,361,27,28,36.0,48.0,0.0
y,12,363,27,28,48.0,60.0,0.0
y,12,365,27,28,60.0,72.0,0.0
y,12,367,27,28,72.0,84.0,0.0
y,12,378,27,23,12.0,24.0,0.0
y,12,380,27,23,24.0,36.0,1.0
