method,example,orderid,ordercompleted,orderdist,ordershortestdist,orderdetour,ordertime,ordershortesttime,orderdelay
abcg,4,1,1,472.8484031,472.8484031,1.20E-16,20.19891362,20.19891362,-2.48E-10
abcg,4,2,1,1295.681166,1249.859678,0.036661306,67.31851195,47.94232708,0.404156119
abcg,4,3,1,496.78456,496.78456,0,20.2799422,20.2799422,-1.48E-10
abcg,4,4,1,959.7502327,639.7395193,0.50022033,50.2799422,25.05967522,1.006408373
abcg,4,5,1,245.5998838,245.5998838,0,14.24520393,8.245203931,0.727695767
abcg,4,6,1,496.78456,496.78456,0,26.2799422,20.2799422,0.295858831
abcg,4,7,1,1352.70711,1084.734371,0.247039963,56.46671945,43.31186014,0.303724182
abcg,4,8,1,692.5201677,688.6033244,0.005688098,27.06923682,20.83286764,0.299352412
abcg,4,9,1,308.3379153,308.3379153,0,24.5702605,18.5044975,0.32779939
abcg,4,10,1,672.9160896,672.6003773,0.000469391,29.65012187,25.53191459,0.161296454
abcg,4,11,1,217.9513702,217.9513702,0,5.792768582,5.792768582,2.22E-16
abcg,4,12,1,1753.559059,1375.484684,0.274866292,119.794533,66.30582417,0.80669699
abcg,4,13,1,1113.374635,995.0589915,0.118903145,41.29123927,41.29123927,0
abcg,4,14,1,2352.014596,2111.188252,0.114071468,130.5535627,80.18768339,0.628099942
abcg,4,15,1,1273.488861,1232.684885,0.033101709,69.46018179,57.46018179,0.208840272
abcg,4,16,1,1432.62606,1430.376581,0.001572648,68.2799422,56.2799422,0.213219835
abcg,4,17,1,227.3685256,227.3685256,0,7.616951193,7.616951193,-2.22E-16
abcg,4,18,1,1368.443918,1364.211363,0.003102566,61.18612446,55.18612446,0.108722982
abcg,4,19,1,249.7798995,240.8789548,0.03695194,8.605880337,6.800324389,0.265510268
abcg,4,20,1,2227.801192,1664.359714,0.338533475,89.35702135,74.10748111,0.205775989
abcg,4,21,1,1440.361799,1385.63062,0.039499112,81.46018179,57.46018179,0.417680544
abcg,4,22,1,1113.374635,995.0589915,0.118903145,71.29123927,41.29123927,0.72654637
abcg,4,23,1,1125.802392,951.5606963,0.183111488,98.62009215,50.62009215,0.948240075
abcg,4,24,1,876.2241628,783.4286109,0.118448,42.35368524,30.35368524,0.395339146
abcg,4,25,1,1790.274553,1788.025074,0.00125808,92.53823528,76.78122497,0.205219574
abcg,4,26,1,1705.748162,1375.484684,0.240106983,79.26842878,66.30582417,0.195497225
abcg,4,27,1,125.6224314,125.6224314,0,4.553562676,4.553562676,-4.44E-16
abcg,4,28,1,2136.069722,1664.359714,0.283418304,105.0189224,74.10748111,0.41711634
abcg,4,29,0,,,,,,
abcg,4,30,1,1223.189503,1219.377729,0.003126,58.78122497,52.78122497,0.113676786
abcg,4,31,1,956.2291321,917.9346899,0.041718047,35.72214025,35.72214025,2.80E-11
abcg,4,32,1,1368.443918,1364.211363,0.003102566,61.18612446,55.18612446,0.108722982
abcg,4,33,1,479.1009592,479.1009592,1.19E-16,19.31186014,19.31186014,5.18E-11
abcg,4,34,1,956.2291321,917.9346899,0.041718047,35.72214025,35.72214025,2.80E-11
abcg,4,35,1,888.6445715,888.3288592,0.0003554,47.65012187,37.53191459,0.269589425
abcg,4,36,1,1313.048145,1288.681039,0.018908562,71.13178264,56.13753052,0.267098534
abcg,4,37,1,915.3191413,915.3191413,1.24E-16,64.30953611,34.30953611,0.874392469
abcg,4,38,1,959.7502327,639.7395193,0.50022033,45.43417667,27.20443652,0.670101736
abcg,4,39,1,824.1809292,799.0729281,0.031421414,33.05051833,27.05051833,0.22180721
abcg,4,40,0,,,,,,
abcg,4,41,1,1029.264424,969.7069722,0.061417989,44.00131328,44.00131328,-4.55E-11
abcg,4,42,1,949.9710331,931.3233575,0.020022772,35.94232708,29.94232708,0.200385227
abcg,4,43,1,2131.330068,1912.104474,0.114651473,100.5535627,68.18768339,0.474658731
abcg,4,44,1,1795.75412,1495.345797,0.200895555,81.46018179,63.46018179,0.283642427
abcg,4,45,1,1640.117384,1582.751299,0.036244535,85.18612446,61.18612446,0.392245794
abcg,4,46,0,,,,,,
abcg,4,47,1,180.5588058,180.5588058,0,5.073730041,5.073730041,2.22E-16
abcg,4,48,0,,,,,,
abcg,4,49,1,575.8949719,538.8737946,0.068701016,26.01487986,24.5044975,0.061636945
abcg,4,50,1,1029.264424,969.7069722,0.061417989,49.46773841,43.46773841,0.138033406
abcg,4,51,1,1558.596107,1501.230021,0.038212722,91.31186014,61.31186014,0.489301742
abcg,4,52,1,795.8841462,795.449771,0.000546075,32.47884398,23.80302991,0.364483601
abcg,4,53,0,,,,,,
abcg,4,54,1,1123.767032,1115.697385,0.007232828,55.9396375,51.16200977,0.093382331
abcg,4,55,1,795.8841462,795.449771,0.000546075,35.72214025,29.72214025,0.201869716
abcg,4,56,1,1542.950831,1099.340033,0.403524646,103.2684288,54.30582417,0.90160872
abcg,4,57,0,,,,,,
abcg,4,58,1,1093.850932,1053.046955,0.038748488,62.46671945,44.46671945,0.404797121
abcg,4,59,1,245.5998838,245.5998838,0,14.24520393,8.245203931,0.727695767
abcg,4,60,1,265.9841254,265.9841254,0,15.77715618,9.777156177,0.613675377
abcg,4,61,1,773.9264453,714.3689935,0.083370712,64.5722728,34.5722728,0.867747405
abcg,4,62,1,1252.19937,1041.37434,0.202448842,83.08206564,47.08206564,0.764622357
abcg,4,63,1,484.3969467,308.6391246,0.569460603,23.51726875,13.21165365,0.780039757
abcg,4,64,1,959.7502327,639.7395193,0.50022033,45.43417667,27.20443652,0.670101736
abcg,4,65,0,,,,,,
abcg,4,66,1,1640.117384,1582.751299,0.036244535,73.18612446,61.18612446,0.196122897
abcg,4,67,1,943.5647072,931.3233575,0.013144038,35.94232708,29.94232708,0.200385227
abcg,4,68,0,,,,,,
abcg,4,69,1,956.3683532,949.4630648,0.007272835,45.20443652,33.20443652,0.36139749
abcg,4,70,1,1558.596107,1501.230021,0.038212722,97.31186014,61.31186014,0.587162091
abcg,4,71,0,,,,,,
abcg,4,72,1,176.1315296,176.1315296,0,5.650121865,5.650121865,-1.11E-16
abcg,4,73,1,1558.596107,1501.230021,0.038212722,69.16200977,63.16200977,0.094993811
abcg,4,74,1,858.0083273,840.6941626,0.020595081,31.91243172,23.94232708,0.332887635
abcg,4,75,1,915.3191413,915.3191413,1.24E-16,31.46773841,31.46773841,9.53E-11
abcg,4,76,1,564.3355332,559.4924311,0.008656242,21.97985563,20.87746083,0.052803107
abcg,4,77,1,255.3379787,255.3379787,0,12.86057705,6.86057705,0.874562002
abcg,4,78,1,1802.492907,1495.345797,0.205402062,117.4601818,63.46018179,0.850927282
abcg,4,79,1,65.96489919,65.96489919,0,1.75,1.75,0
abcg,4,80,0,,,,,,
abcg,4,81,1,334.3316596,334.3316596,0,8.7038975,8.7038975,-4.44E-16
abcg,4,82,1,990.8328831,990.7389916,9.48E-05,42.22280836,29.80302991,0.416728718
abcg,4,83,0,,,,,,
abcg,4,84,0,,,,,,
abcg,4,85,1,1747.431238,1741.804443,0.00323044,74.35957378,68.83286764,0.080291674
abcg,4,86,1,888.6445715,888.3288592,0.0003554,41.65012187,37.53191459,0.109725478
abcg,4,87,1,1209.096601,1144.790392,0.056172911,64.78122497,55.71961917,0.162628638
abcg,4,88,1,675.9237505,675.9237505,0,43.18612446,31.18612446,0.38478651
abcg,4,89,1,1795.75412,1495.345797,0.200895555,105.4601818,63.46018179,0.66183233
abcg,4,90,1,452.7042242,442.0215432,0.024167784,13.65306347,12.98912993,0.051114551
abcg,4,91,1,1542.950831,1099.340033,0.403524646,127.2684288,54.30582417,1.343550268
abcg,4,92,1,173.9376961,173.9376961,0,5.736752688,5.736752688,-1.11E-16
abcg,4,93,1,486.6400626,427.0554745,0.139524234,34.89078934,22.30953611,0.563940602
abcg,4,94,1,1211.299373,1113.223911,0.088100391,53.54627873,41.02906907,0.305081493
abcg,4,95,1,748.4083551,736.1670054,0.016628495,23.94232708,23.94232708,0
abcg,4,96,1,748.4083551,736.1670054,0.016628495,23.94232708,23.94232708,0
abcg,4,97,1,677.9569548,677.9541351,4.16E-06,25.46773841,25.46773841,1.18E-10
abcg,4,98,1,498.106854,498.106854,0,27.27975892,21.27975893,0.281958081
abcg,4,99,1,1333.499121,1292.695144,0.031565042,74.46671945,56.46671945,0.318771839
abcg,4,100,1,1841.345431,1495.345797,0.231384363,93.46018179,63.46018179,0.472737379
abcg,4,101,1,245.5998838,245.5998838,0,14.24520393,8.245203931,0.727695767
abcg,4,102,1,1624.264992,1099.340033,0.477490988,95.79453297,54.30582417,0.763982675
abcg,4,103,1,751.4448069,736.1670054,0.020753173,23.94232708,23.94232708,0
abcg,4,104,1,959.7502327,639.7395193,0.50022033,63.43417667,27.20443652,1.331758521
abcg,4,105,1,1164.781681,1110.050503,0.049305125,69.2974548,44.44402778,0.559207351
abcg,4,106,1,463.4222211,451.1163339,0.027278744,20.24520393,20.24520393,4.94E-11
abcg,4,107,1,1173.36347,855.4680012,0.371604161,57.20443652,39.20443652,0.459131711
abcg,4,108,1,888.6445715,888.3288592,0.0003554,59.65012187,37.53191459,0.589317319
abcg,4,109,0,,,,,,
abcg,4,110,1,785.1591464,769.89822,0.019822005,41.07373004,29.07373004,0.412743738
abcg,4,111,1,579.6426963,564.3817699,0.027040077,17.07373004,17.07373004,5.86E-11
abcg,4,112,1,677.9569548,677.9541351,4.16E-06,25.46773841,25.46773841,1.18E-10
abcg,4,113,1,1426.434597,1385.63062,0.029447947,57.46018179,57.46018179,6.96E-11
abcg,4,114,1,254.7342814,254.7342814,0,9.621779987,9.621779987,0
abcg,4,115,1,693.9818895,688.6033244,0.007810832,29.76499377,23.76499377,0.252472189
abcg,4,116,1,1100.259447,855.4680012,0.286149155,45.20443652,39.20443652,0.153043904
abcg,4,117,1,852.0552801,851.7395678,0.000370668,53.65012187,37.53191459,0.429453372
abcg,4,118,1,385.5142457,385.5142457,0,18.63030335,12.63030335,0.475047973
abcg,4,119,1,1087.482922,409.2314644,1.657378567,54.59528735,13.05967522,3.180447556
abcg,4,120,1,991.0296214,990.7389916,0.000293346,42.22280836,29.80302991,0.416728718
abcg,4,121,1,275.5801174,275.5801174,0,21.70961287,9.70961287,1.235888615
abcg,4,122,1,766.3319039,748.7035856,0.023545123,45.54884996,33.54884996,0.357687373
abcg,4,123,1,249.7798995,240.8789548,0.03695194,14.60588034,6.800324389,1.147821119
abcg,4,124,1,677.9569548,677.9541351,4.16E-06,40.6799275,28.6799275,0.4184111
abcg,4,125,1,251.282207,249.8648853,0.005672352,14.35957378,7.49482566,0.915931661
abcg,4,126,1,572.3979404,572.3979404,0,30.36332796,18.36332796,0.653476321
abcg,4,127,1,1085.344225,409.2314644,1.652152436,54.59528735,13.05967522,3.180447556
abcg,4,128,1,135.3026374,135.3026374,0,10.6799275,4.679927501,1.282071143
abcg,4,129,1,173.9376961,173.9376961,0,11.47689569,5.476895687,1.095511097
abcg,4,130,1,636.9605085,572.3979404,0.112793152,29.72214025,23.72214025,0.252928275
abcg,4,131,1,1406.427449,1400.800654,0.004016842,69.16200977,57.16200977,0.209929638
abcg,4,132,1,1676.767765,1619.34059,0.035463308,85.9396375,63.16200977,0.360622276
abcg,4,133,1,294.6974805,291.6610287,0.010410893,16.53963489,10.32215408,0.602343345
abcg,4,134,1,472.2198345,459.8546127,0.026889416,21.05051833,15.05051833,0.398657367
abcg,4,135,1,1019.345169,639.7395193,0.593375333,67.2284577,27.20443652,1.471231398
abcg,4,136,1,377.3568457,377.3568457,0,17.47689569,11.47689569,0.522789451
abcg,4,137,1,1214.679226,1173.875249,0.034760062,57.46018179,51.46018179,0.116595002
abcg,4,138,1,1045.239561,818.8787098,0.276427813,57.20443652,39.20443652,0.459131711
abcg,4,139,1,245.5998838,245.5998838,0,20.24520393,8.245203931,1.455391534
abcg,4,140,1,1352.016977,1288.681039,0.049147877,81.61798304,56.13753052,0.453893363
abcg,4,141,1,135.3026374,135.3026374,0,10.6799275,4.679927501,1.282071143
abcg,4,142,1,890.8653925,853.9893709,0.043180891,41.07373004,35.07373004,0.171068204
abcg,4,143,1,856.1717092,840.6941626,0.018410437,35.94232708,23.94232708,0.501204413
abcg,4,144,1,959.7502327,639.7395193,0.50022033,57.43417667,27.20443652,1.111206259
abcg,4,145,1,1299.268573,1241.902488,0.046192101,81.16200977,51.16200977,0.586372586
abcg,4,146,1,2082.250511,1375.484684,0.513830387,114.8721029,67.94547078,0.690651365
abcg,4,147,1,245.5998838,245.5998838,0,20.24520393,8.245203931,1.455391534
abcg,4,148,1,470.4131842,459.8546127,0.022960673,20.7038975,14.7038975,0.408055075
abcg,4,149,1,2431.006097,1733.595171,0.402291687,113.5732727,73.18612446,0.551841603
abcg,4,150,1,629.1274614,592.0306214,0.06266034,29.73675269,23.73675269,0.252772571
abcg,4,151,1,1214.679226,1173.875249,0.034760062,57.46018179,51.46018179,0.116595002
abcg,4,152,1,1019.345169,639.7395193,0.593375333,67.2284577,27.20443652,1.471231398
abcg,4,153,1,766.3319039,748.7035856,0.023545123,45.54884996,33.54884996,0.357687373
abcg,4,154,1,1548.166193,1538.477491,0.006297591,83.08206564,65.08206564,0.276573889
abcg,4,155,1,493.6117462,412.2975855,0.197222015,35.79453297,19.26842878,0.85767783
abcg,4,156,1,366.9598439,339.2086953,0.08181143,28.14914187,12.12779746,1.321043204
abcg,4,157,1,512.2381446,512.2381446,-2.22E-16,26.90426507,20.90426507,0.287022767
abcg,4,158,1,1522.006815,1464.64073,0.039167343,73.31186014,61.31186014,0.195720697
abcg,4,159,1,288.5117393,285.5258886,0.010457373,20.47884398,12.22280836,0.67546143
abcg,4,160,1,334.3316596,334.3316596,0,14.7038975,8.7038975,0.689346353
abcg,4,161,1,852.0552801,851.7395678,0.000370668,47.65012187,37.53191459,0.269589425
abcg,4,162,1,792.7933718,771.503013,0.02759595,35.47689569,29.47689569,0.20354925
abcg,4,163,1,1558.657196,1501.230021,0.038253415,79.9396375,63.16200977,0.265628465
abcg,4,164,1,759.1043031,739.2671624,0.026833521,46.69888532,33.82442395,0.380626183
abcg,4,165,1,530.5710777,525.5361028,0.009580645,23.72214025,17.72214025,0.33855956
abcg,4,166,1,2053.127603,1617.635337,0.269215352,96.36332796,76.23975592,0.26395116
abcg,4,167,1,496.78456,496.78456,0,26.2799422,20.2799422,0.295858831
abcg,4,168,1,1033.18378,1015.555462,0.017358302,51.46018179,39.46018179,0.304104022
abcg,4,169,1,1657.768255,1099.340033,0.507966784,101.794533,54.30582417,0.874468062
abcg,4,170,1,915.3191413,915.3191413,1.24E-16,37.46773841,31.46773841,0.190671472
abcg,4,171,1,943.5647072,931.3233575,0.013144038,41.94232708,29.94232708,0.400770453
abcg,4,172,1,472.8484031,472.8484031,1.20E-16,26.19891362,20.19891362,0.297045678
abcg,4,173,1,255.3379787,255.3379787,0,12.86057705,6.86057705,0.874562002
abcg,4,174,0,,,,,,
abcg,4,175,1,1647.067615,1099.340033,0.49823309,133.2684288,54.30582417,1.454035655
abcg,4,176,1,926.7690262,753.7078802,0.229613025,48.09206979,42.09206979,0.142544665
abcg,4,177,1,254.7342814,254.7342814,0,15.62177999,9.621779987,0.623585242
abcg,4,178,1,1439.007171,1232.442762,0.167605681,72.09206979,64.23975592,0.122234491
abcg,4,179,1,1368.443918,1364.211363,0.003102566,63.06923682,56.83286764,0.109731735
abcg,4,180,1,1042.905856,1040.868426,0.001957433,55.18612446,43.18612446,0.277867027
abcg,4,181,1,954.1264208,740.8232246,0.287927253,54.09206979,40.23975592,0.34424448
abcg,4,182,1,479.1009592,479.1009592,1.19E-16,31.31186014,19.31186014,0.621379811
abcg,4,183,1,653.1320501,651.3577057,0.002724071,44.19891361,26.19891362,0.687051389
abcg,4,184,1,1522.006815,1464.64073,0.039167343,79.31186014,61.31186014,0.293581045
abcg,4,185,1,1702.290462,1643.150033,0.035992106,79.31186014,67.31186014,0.178274675
abcg,4,186,1,287.3163387,287.3163387,0,22.5722728,10.5722728,1.135044491
abcg,4,187,1,1404.39978,1316.454914,0.066804313,103.7196192,55.71961917,0.861455995
abcg,4,188,1,1513.285571,1398.040555,0.082433242,68.2799422,56.2799422,0.213219835
abcg,4,189,1,1079.495148,1077.457718,0.00189096,57.16200977,45.16200977,0.265710053
abcg,4,190,1,351.3374252,291.7528371,0.204229678,32.00131328,20.00131328,0.599960604
abcg,4,191,1,245.5998838,245.5998838,0,20.24520393,8.245203931,1.455391534
abcg,4,192,1,1154.748026,1130.301764,0.021628084,50.54504368,37.97987556,0.330837527
abcg,4,193,1,572.3979404,572.3979404,0,35.72214025,23.72214025,0.505856549
abcg,4,194,1,249.7798995,240.8789548,0.03695194,14.60588034,6.800324389,1.147821119
abcg,4,195,1,583.0196404,564.3817699,0.033023516,29.07373004,17.07373004,0.702834118
abcg,4,196,0,,,,,,
abcg,4,197,1,1629.640577,1361.667837,0.196797437,98.46671945,55.31186014,0.780209872
abcg,4,198,1,538.383024,538.1007325,0.000524607,25.31851195,17.94232708,0.41110525
abcg,4,199,1,475.2562863,459.8546127,0.033492485,23.07373004,14.7038975,0.569225441
abcg,4,200,0,,,,,,
abcg,4,201,0,,,,,,
abcg,4,202,1,1007.179194,973.5472851,0.034545738,50.7038975,41.07373004,0.234460504
abcg,4,203,1,572.3979404,572.3979404,0,29.72214025,23.72214025,0.252928275
abcg,4,204,1,166.7754792,166.7754792,0,11.79453297,5.794532967,1.035458774
abcg,4,205,1,1276.564832,1269.205875,0.00579808,52.30953611,46.30953611,0.129562948
abcg,4,206,1,915.3191413,915.3191413,1.24E-16,49.46773841,31.46773841,0.572014416
abcg,4,207,1,1273.488861,1232.684885,0.033101709,63.46018179,57.46018179,0.104420136
abcg,4,208,1,757.6036626,739.9753443,0.023822845,39.2974548,29.58862278,0.328127203
abcg,4,209,1,1044.023093,994.2292802,0.050082827,44.18768339,32.18768339,0.37281341
abcg,4,210,1,818.2708144,777.4668377,0.052483238,39.2974548,32.44402778,0.211238477
abcg,4,211,1,572.3979404,572.3979404,0,29.72214025,23.72214025,0.252928275
abcg,4,212,1,991.0296214,990.7389916,0.000293346,48.22280836,29.80302991,0.618050531
abcg,4,213,0,,,,,,
abcg,4,214,1,339.7397,336.3135528,0.01018736,26.24520393,14.24520393,0.842388783
abcg,4,215,1,240.8789548,240.8789548,0,12.80032439,6.800324389,0.882310851
abcg,4,216,1,1640.117384,1582.751299,0.036244535,73.18612446,61.18612446,0.196122897
abcg,4,217,1,1558.596107,1501.230021,0.038212722,87.16200977,63.16200977,0.379975243
abcg,4,218,1,651.3577057,651.3577057,0,38.53823528,28.78122497,0.339006082
abcg,4,219,1,653.1320501,651.3577057,0.002724071,34.78122497,28.78122497,0.208469237
abcg,4,220,1,878.5595052,853.9893709,0.028771007,41.07373004,35.07373004,0.171068204
abcg,4,221,1,251.282207,249.8648853,0.005672352,14.35957378,7.49482566,0.915931661
abcg,4,222,1,669.9515353,637.2205857,0.051365179,31.31186014,25.31186014,0.237043029
abcg,4,223,1,674.6025396,591.3348114,0.140813168,44.24520393,31.96182667,0.384313994
abcg,4,224,1,451.1163339,451.1163339,0,32.24520393,20.24520393,0.592732977
