method,example,orderid,ordercompleted,orderdist,ordershortestdist,orderdetour,ordertime,ordershortesttime,orderdelay
otd,4,1,1,472.84840310000004,472.8484031,1.2021489020189528e-16,20.198913615000002,20.19891362,-2.4753787908338154e-10
otd,4,2,1,1284.4933891,1249.859678,0.02771007954702578,47.94232708,47.94232708,0.0
otd,4,3,1,496.78456,496.78456,0.0,20.279942196999997,20.2799422,-1.479295574924322e-10
otd,4,4,1,959.7502327,639.7395193,0.5002203299088889,50.279942197,25.05967522,1.006408373436214
otd,4,5,1,245.5998838,245.5998838,0.0,14.245203930999999,8.245203931,0.7276957671648883
otd,4,6,1,496.78456,496.78456,0.0,26.279942196999997,20.2799422,0.2958588312445978
otd,4,7,1,1275.388149,1084.734371,0.1757607973869578,67.311860141,43.31186014,0.5541207402181088
otd,4,8,1,692.5201677,688.6033244,0.005688098156384652,27.069236822,20.83286764,0.29935241224428966
otd,4,9,1,308.3379153,308.3379153,0.0,24.570260496,18.5044975,0.3277993901752805
otd,4,10,1,672.9160896,672.6003773,0.0004693906079376992,29.650121865000003,25.53191459,0.16129645352225053
otd,4,11,1,217.9513702,217.9513702,0.0,5.792768582000001,5.792768582,2.220446049250313e-16
otd,4,12,0,,,,,,
otd,4,13,1,1010.3199178999998,995.0589915,0.015336705190709076,53.291239270000005,41.29123927,0.2906185479571828
otd,4,14,0,,,,,,
otd,4,15,1,1273.4888613,1232.684885,0.03310170895784137,81.460181794,57.46018179,0.4176805442717342
otd,4,16,1,1439.5267734000001,1430.376581,0.006397051323088008,68.279942197,56.2799422,0.21321983512982357
otd,4,17,1,227.3685256,227.3685256,0.0,7.6169511929999985,7.616951193,-2.220446049250313e-16
otd,4,18,1,1368.4439182,1364.211363,0.003102565566300892,61.186124456,55.18612446,0.10872298163189398
otd,4,19,1,240.8789548,240.8789548,0.0,12.800324389,6.800324389,0.8823108511860727
otd,4,20,0,,,,,,
otd,4,21,1,1426.4345968,1385.63062,0.02944794681283826,69.460181794,57.46018179,0.2088402721706737
otd,4,22,1,1010.3199178999998,995.0589915,0.015336705190709076,47.29123927,41.29123927,0.14530927397859128
otd,4,23,1,1123.966958,951.5606963,0.181182621739607,86.620092145,50.62009215,0.7111800564946227
otd,4,24,1,783.4286109000001,783.4286109,1.4511448285123643e-16,30.573327867000003,30.35368524,0.0072361107148386505
otd,4,25,0,,,,,,
otd,4,26,0,,,,,,
otd,4,27,1,125.6224314,125.6224314,0.0,4.5535626759999985,4.553562676,-4.440892098500626e-16
otd,4,28,0,,,,,,
otd,4,29,0,,,,,,
otd,4,30,1,1223.1895031999998,1219.377729,0.0031259995236469647,58.781224965999996,52.78122497,0.1136767856261447
otd,4,31,1,954.5971547,917.9346899,0.03994016698943373,41.722140251,35.72214025,0.16796306041601183
otd,4,32,1,1368.4439182,1364.211363,0.003102565566300892,61.186124456,55.18612446,0.10872298163189398
otd,4,33,1,479.10095920000003,479.1009592,1.1864601347433082e-16,31.311860140999997,19.31186014,0.6213798108523376
otd,4,34,1,954.5971547,917.9346899,0.03994016698943373,35.722140251,35.72214025,2.7993829476713472e-11
otd,4,35,1,888.6445715,888.3288592,0.000355400251528801,59.650121865,37.53191459,0.5893173187837633
otd,4,36,1,1306.3093576,1288.681039,0.01367934971222934,140.137530523,56.13753052,1.4963251718575954
otd,4,37,1,915.3191413000001,915.3191413,1.2420458897008323e-16,40.309536109999996,34.30953611,0.1748784938613963
otd,4,38,1,959.7502327,639.7395193,0.5002203299088889,45.434176667,27.20443652,0.670101736295768
otd,4,39,1,842.46041497,799.0729281,0.05429728044117926,33.050518333,27.05051833,0.22180721011714533
otd,4,40,0,,,,,,
otd,4,41,1,1029.264424,969.7069722,0.06141798863720696,44.001313278,44.00131328,-4.5453196761968684e-11
otd,4,42,1,949.97103311,931.3233575,0.020022772391381758,35.94232708,29.94232708,0.20038522670496461
otd,4,43,0,,,,,,
otd,4,44,0,,,,,,
otd,4,45,1,1640.1173842,1582.751299,0.036244535219301086,73.186124456,61.18612446,0.19612289717491294
otd,4,46,0,,,,,,
otd,4,47,1,180.5588058,180.5588058,0.0,5.073730041000001,5.073730041,2.220446049250313e-16
otd,4,48,0,,,,,,
otd,4,49,1,575.89497189,538.8737946,0.0687010161952306,38.014879861,24.5044975,0.5513429671838812
otd,4,50,1,1029.264424,969.7069722,0.06141798863720696,49.467738413000006,43.46773841,0.13803340644057216
otd,4,51,1,1558.5961068000001,1501.230021,0.03821272223279104,67.311860141,61.31186014,0.09786034850842151
otd,4,52,0,,,,,,
otd,4,53,0,,,,,,
otd,4,54,1,1116.0130970999999,1115.697385,0.00028297287799050266,63.16200976900001,51.16200977,0.23454903458535514
otd,4,55,1,832.54661095,795.449771,0.04663630728482526,29.722140251,29.72214025,3.364486467205552e-11
otd,4,56,0,,,,,,
otd,4,57,0,,,,,,
otd,4,58,1,1093.8509318,1053.046955,0.038748487525895624,50.466719451,44.46671945,0.13493237358664656
