orderid,start_date,end_date,miles_travelled,pitstop_count,delivery_time,select,,
0,8/15/2019,8/17/2019,1093.850932,5,1.729490741,1,,
1,8/5/2019,8/7/2019,863.8193641,5,2.476273148,1,,
2,8/20/2019,8/20/2019,0,1,-0.058125,0,,
3,8/20/2019,8/22/2019,1292.199245,6,2.266979167,1,,
4,8/6/2019,8/5/2019,0,1,-0.585972222,0,,
5,8/17/2019,8/21/2019,2201.496422,10,3.916284722,1,,
6,8/11/2019,8/13/2019,915.3490973,5,1.977569444,1,,
7,8/13/2019,8/13/2019,390.5776238,2,0.881284722,1,,
8,8/3/2019,8/5/2019,1101.16777,6,1.343773148,1,,
9,8/12/2019,8/13/2019,176.1315296,3,0.517696759,1,,
10,8/6/2019,8/9/2019,1090.429697,5,2.776770833,1,,
11,8/14/2019,8/16/2019,500.4879964,3,1.209641204,1,,
12,8/8/2019,8/10/2019,1170.679429,5,2.41130787,1,,
13,8/12/2019,8/13/2019,692.5201677,4,0.860983796,1,,
14,8/22/2019,8/23/2019,692.5201677,4,0.700011574,1,,
15,8/6/2019,8/6/2019,0,1,-0.029618056,0,,
16,8/7/2019,8/7/2019,544.0348717,4,0.627673611,1,,
17,8/13/2019,8/18/2019,1925.093755,8,4.586539352,1,,
18,8/11/2019,8/11/2019,176.1315296,2,0.1840625,1,,
19,8/2/2019,8/3/2019,674.6856498,4,1.009085648,1,,
20,8/10/2019,8/11/2019,215.4509026,2,0.521377315,1,,
21,8/14/2019,8/14/2019,249.8648853,2,0.28994213,1,,
22,8/12/2019,8/13/2019,884.8413867,4,1.337523148,1,,
23,8/21/2019,8/22/2019,795.449771,4,1.255092593,1,,
24,8/8/2019,8/8/2019,249.8648853,2,0.463738426,1,,
25,8/3/2019,8/3/2019,0,1,-0.001388889,0,,
26,8/16/2019,8/19/2019,640.4354607,4,3.0665625,1,,
27,8/15/2019,8/17/2019,1214.679226,6,2.268287037,1,,
28,8/17/2019,8/18/2019,672.9160896,4,0.686018519,1,,
29,8/14/2019,8/15/2019,472.5859265,3,0.962210648,1,,
30,8/10/2019,8/11/2019,991.0296214,6,1.107280093,1,,
31,8/23/2019,8/23/2019,440.9613709,3,0.741412037,1,,
32,8/21/2019,8/21/2019,316.0713589,3,0.323414352,1,,
33,8/25/2019,8/26/2019,859.2157253,5,0.964664352,1,,
34,8/10/2019,8/10/2019,0,1,-0.008055556,0,,
35,8/7/2019,8/7/2019,223.1457221,2,0.219456019,1,,
36,8/16/2019,8/17/2019,675.9237505,4,1.172465278,1,,
37,8/9/2019,8/10/2019,356.9612022,2,0.659155093,1,,
38,8/21/2019,8/22/2019,969.7097919,5,1.424479167,1,,
39,8/10/2019,8/12/2019,1556.637977,8,1.89744213,1,,
40,8/8/2019,8/8/2019,245.5998838,2,0.27787037,1,,
41,8/12/2019,8/15/2019,969.7097919,5,2.618171296,1,,
42,8/20/2019,8/22/2019,1558.596107,8,2.040486111,1,,
43,8/20/2019,8/20/2019,259.3275339,2,0.266678241,1,,
44,8/9/2019,8/9/2019,0,1,-0.373020833,0,,
45,8/15/2019,8/18/2019,1551.909241,7,3.11443287,1,,
46,8/6/2019,8/8/2019,1101.16777,6,2.7190625,1,,
47,8/12/2019,8/12/2019,179.6379295,2,0.280150463,1,,
48,8/4/2019,8/7/2019,1406.665173,6,3.009155093,1,,
49,8/10/2019,8/11/2019,509.4376945,3,0.6803125,1,,
50,8/13/2019,8/13/2019,123.6825211,2,0.259618056,1,,
51,8/23/2019,8/25/2019,1522.006815,8,1.863055556,1,,
52,8/22/2019,8/22/2019,259.3275339,2,0.394398148,1,,
53,8/7/2019,8/8/2019,255.3379787,2,0.788090278,1,,
54,8/8/2019,8/10/2019,1324.931006,7,2.331168981,1,,
55,8/22/2019,8/22/2019,255.3379787,2,0.291064815,1,,
56,8/13/2019,8/16/2019,1314.829138,6,3.352962963,1,,
57,8/18/2019,8/20/2019,944.8421067,4,2.053553241,1,,
58,8/17/2019,8/19/2019,1101.16777,6,1.869733796,1,,
59,8/3/2019,8/3/2019,125.6224314,2,0.268865741,1,,
60,8/21/2019,8/21/2019,226.0523524,2,0.293703704,1,,
61,1/1/1970,8/23/2019,810.5897227,4,18131.14472,0,,
62,8/10/2019,8/10/2019,224.7676611,2,0.463518519,1,,
63,8/6/2019,8/8/2019,1273.488861,6,1.577939815,1,,
64,8/3/2019,8/5/2019,1065.142857,5,1.707777778,1,,
65,8/14/2019,8/15/2019,1101.16777,6,1.905416667,1,,
66,8/25/2019,8/25/2019,179.6379295,2,0.290787037,1,,
67,8/7/2019,8/9/2019,912.4899003,4,2.002835648,1,,
68,8/2/2019,8/3/2019,249.8648853,2,0.229201389,1,,
