location1,location2,id,distance
1,1,1_1,0
1,2,1_2,94.05205987
1,3,1_3,125.6224314
1,4,1_4,213.6853023
1,5,1_5,180.7175243
1,6,1_6,231.7069717
1,7,1_7,270.9805777
1,8,1_8,332.583665
1,9,1_9,339.2183154
1,10,1_10,374.8399551
1,11,1_11,472.5859265
1,12,1_12,519.7771212
1,13,1_13,591.9111989
1,14,1_14,603.9928621
1,15,1_15,601.0066552
1,16,1_16,617.2212174
1,17,1_17,654.5632444
1,18,1_18,673.549975
1,19,1_19,692.8713116
1,20,1_20,691.7770102
1,21,1_21,729.7959392
1,22,1_22,799.0729281
1,23,1_23,853.6649829
1,24,1_24,844.0663773
1,25,1_25,881.8556035
1,26,1_26,903.6000853
1,27,1_27,968.2901415
1,28,1_28,981.3995114
1,29,1_29,994.2292802
1,30,1_30,1057.815987
1,31,1_31,1094.383597
1,32,1_32,1109.116535
1,33,1_33,1110.050503
1,34,1_34,1327.349892
1,35,1_35,1193.207686
1,36,1_36,1273.081311
1,37,1_37,1260.746768
1,38,1_38,1368.392797
1,39,1_39,1312.765601
1,40,1_40,1388.319067
1,41,1_41,1495.984741
1,42,1_42,1385.63062
1,43,1_43,1507.806695
1,44,1_44,1550.014778
1,45,1_45,1554.455981
1,46,1_46,1578.356769
1,47,1_47,1600.23324
1,48,1_48,1688.472168
1,49,1_49,1823.774805
1,50,1_50,1775.271056
1,51,1_51,1689.079359
1,52,1_52,1625.278809
1,53,1_53,1733.595171
1,54,1_54,1798.617414
1,55,1_55,1752.533864
1,56,1_56,1770.184463
1,57,1_57,1855.038001
1,58,1_58,1781.892453
1,59,1_59,1933.700714
1,60,1_60,1912.104474
1,61,1_61,1948.677866
1,62,1_62,1950.073361
1,63,1_63,2060.111666
1,64,1_64,2111.188252
1,65,1_65,2077.48816
2,1,2_1,94.05205987
2,2,2_2,0
2,3,2_3,52.02696769
2,4,2_4,140.0898386
2,5,2_5,117.432144
2,6,2_6,143.5328216
2,7,2_7,217.9513702
2,8,2_8,252.4588071
2,9,2_9,276.3123927
2,10,2_10,286.665805
2,11,2_11,384.4117764
2,12,2_12,456.7473264
2,13,2_13,511.786341
2,14,2_14,523.8680042
2,15,2_15,538.1007325
2,16,2_16,529.0470673
2,17,2_17,566.3890943
2,18,2_18,610.6440523
2,19,2_19,604.6971615
2,20,2_20,611.6521523
2,21,2_21,666.8900165
2,22,2_22,736.1670054
2,23,2_23,765.4908328
2,24,2_24,763.9415194
2,25,2_25,793.6814534
2,26,2_26,840.6941626
2,27,2_27,905.3842188
2,28,2_28,893.2253613
2,29,2_29,931.3233575
2,30,2_30,969.6418372
2,31,2_31,1031.477675
2,32,2_32,1046.210613
2,33,2_33,1029.925645
2,34,2_34,1239.175742
2,35,2_35,1130.301764
2,36,2_36,1184.907161
2,37,2_37,1172.572618
2,38,2_38,1288.267939
2,39,2_39,1249.859678
2,40,2_40,1325.413144
