lambda_delay,horizon,tstep,method,varsettingiterations,variablefixingthreshold,strongreducedcosts,columnmemory,deletioniterationpercent,deletionthreshold,deletiontype,nrow,totaltime,mptime,pptime,iptime,vsopt,iogap
100,120,6,a_ip,0,"(1,1)",0,1000,1,-1,all,8,89078,0,0,89078.2938,0.00%,1.86%
100,120,6,b_basisip,0,"(1,1)",0,1000,1,-1,all,8,654,53.40654808,0,600.8123881,2.55%,4.45%
100,120,6,d_sag,0,"(1,1)",0,1000,1,-1,all,5,21354,2430.572006,6.585452366,18917.14893,0.15%,2.04%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,all,8,1518,192.178306,10.70486009,1314.782181,2.12%,4.01%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,space,1,2952,313.7313166,18.40307379,2620.175612,2.32%,4.09%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,all,8,1481,195.2564739,10.24237445,1275.914238,2.21%,4.11%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,space,1,3407,310.6755624,17.26735067,3079.503646,2.35%,4.12%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,all,7,4084,187.7099612,10.44222971,3886.184135,1.10%,2.96%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,space,2,15227,288.8578385,14.23026991,14924.04048,1.22%,3.07%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,all,8,2916,192.2682018,10.3760204,2713.543257,1.59%,3.48%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,space,1,3918,310.803162,18.52044249,3588.819368,1.70%,3.46%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,1,0,all,5,7801,155.336707,8.907836722,7636.257525,0.47%,2.32%
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,1,0,space,2,39634,201.4756918,9.51062274,39423.21971,0.57%,2.65%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,all,8,1724,136.802887,9.736716747,1577.082053,2.05%,3.94%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,space,1,5061,212.4452544,15.15222645,4833.284888,2.00%,3.77%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,all,8,1552,137.9797023,9.588305206,1404.386247,2.19%,4.08%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,space,1,3764,209.6928362,15.33313608,3538.780666,2.13%,3.90%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0,all,8,3731,121.9026788,8.690895021,3600.049449,1.02%,2.90%
