lambda_delay,horizon,tstep,method,varsettingiterations,variablefixingthreshold,strongreducedcosts,columnmemory,deletioniterationpercent,deletionthreshold,deletiontype,nrow,totaltime,mptime,pptime,iptime,vsopt,iogap
100,120,6,a_ip,0,"(1,1)",0,1000,1,-1,all,1,144000.5853,0,0,144000.5853,0,0.017347931
100,120,6,b_basisip,0,"(1,1)",0,1000,1,-1,all,1,636.8214278,47.8040359,0,589.0173919,0.029763951,0.047628226
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,all,1,2952.310002,313.7313166,18.40307379,2620.175612,0.023181288,0.040931367
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,space,1,2952.310002,313.7313166,18.40307379,2620.175612,0.023181288,0.040931367
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,all,1,3407.446559,310.6755624,17.26735067,3079.503646,0.023455713,0.041210553
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,space,1,3407.446559,310.6755624,17.26735067,3079.503646,0.023455713,0.041210553
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,all,1,5581.755596,313.119557,18.68085861,5249.95518,0.01047752,0.028007215
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,space,1,5581.755596,313.119557,18.68085861,5249.95518,0.01047752,0.028007215
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,all,1,3918.142972,310.803162,18.52044249,3588.819368,0.016989914,0.034632585
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,space,1,3918.142972,310.803162,18.52044249,3588.819368,0.016989914,0.034632585
100,120,6,e_mag,0,"(0.5, 0.6)",0,1000,1,0,all,1,15009.94706,155.6813071,8.663291216,14845.60246,0.004716782,0.02214654
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,all,1,5060.882369,212.4452544,15.15222645,4833.284888,0.019963098,0.037657348
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,space,1,5060.882369,212.4452544,15.15222645,4833.284888,0.019963098,0.037657348
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,all,1,3763.806638,209.6928362,15.33313608,3538.780666,0.021277546,0.038994599
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,space,1,3763.806638,209.6928362,15.33313608,3538.780666,0.021277546,0.038994599
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0,all,1,5341.047841,104.482291,7.412792444,5229.152758,0.007437492,0.024914448
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,all,1,6174.126604,209.0156784,14.82604551,5950.28488,0.013930717,0.031520318
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,space,1,6174.126604,209.0156784,14.82604551,5950.28488,0.013930717,0.031520318
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,1,0,all,1,19389.89361,103.9640923,7.380923748,19278.54859,0.005800981,0.023249548
100,120,6,e_mag,0,"(1,1)",0,1000,1,-1,all,2,144897.5988,880.3171833,16.35045707,144000.9312,0.002840973,0.02023819
100,120,6,e_mag,0,"(1,1)",1,1000,1,-1,all,1,70843.36425,117.65451,7.243233919,70718.46651,0.003016558,0.02041682
100,120,6,e_mag,1,"(1,1)",0,100,1,-1,all,1,144166.3782,156.4346051,9.274115801,144000.6695,0.003166884,0.020569754
100,120,6,e_mag,1,"(1,1)",0,50,1,-1,all,1,145360.6467,1334.142786,25.81978393,144000.6841,0.002260459,0.019647604
100,120,6,e_mag,1,"(1,1)",0,10,1,-1,all,1,137641.1731,864.2224252,20.4952836,136756.4554,0.002657277,0.020051306
100,120,6,e_mag,1,"(1,1)",1,100,1,-1,all,1,69670.95977,115.1554401,7.029883862,69548.77445,0.003016558,0.02041682
100,120,6,e_mag,1,"(1,1)",1,50,1,-1,all,1,26969.97749,829.5179558,18.94782305,26121.51171,0.003018881,0.020419184
100,120,6,e_mag,1,"(1,1)",1,30,1,-1,all,1,8091.919131,809.4799645,16.91508842,7265.524078,0.001723715,0.019101549
100,120,6,e_mag,1,"(1,1)",1,10,1,-1,all,1,46715.14989,626.8164828,15.8970499,46072.43636,0.003316785,0.020722256
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0,all,1,2963.412778,310.8832468,17.29763937,2635.231892,0.023181288,0.040931367
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0,space,1,2963.412778,310.8832468,17.29763937,2635.231892,0.023181288,0.040931367
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0.1,all,1,3418.289151,310.4985934,18.09490919,3089.695648,0.023455713,0.041210553
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0.1,space,1,3418.289151,310.4985934,18.09490919,3089.695648,0.023455713,0.041210553
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0,all,1,5478.78865,308.575982,18.24248362,5151.970184,0.01047752,0.028007215
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0,space,1,5478.78865,308.575982,18.24248362,5151.970184,0.01047752,0.028007215
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0.1,all,1,3893.745378,309.028892,18.0674181,3566.649068,0.016989914,0.034632585
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0.1,space,1,3893.745378,309.028892,18.0674181,3566.649068,0.016989914,0.034632585
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,1,0,all,1,14922.10772,155.3305659,9.277800083,14757.49935,0.004716782,0.02214654
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0,all,1,5394.700631,230.3896738,13.46294308,5150.848014,0.019963098,0.037657348
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0,space,1,5394.700631,230.3896738,13.46294308,5150.848014,0.019963098,0.037657348
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0.1,all,1,4067.305526,232.095049,13.42843103,3821.782046,0.021277546,0.038994599
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0.1,space,1,4067.305526,232.095049,13.42843103,3821.782046,0.021277546,0.038994599
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0,all,1,8569.107201,230.4296632,13.43072557,8325.246812,0.007437492,0.024914448
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0,space,1,8569.107201,230.4296632,13.43072557,8325.246812,0.007437492,0.024914448
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0.1,all,1,3945.683879,232.1046538,13.4904213,3700.088804,0.013930717,0.031520318
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0.1,space,1,3945.683879,232.1046538,13.4904213,3700.088804,0.013930717,0.031520318
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,1,0,all,1,13797.10884,115.22469,6.729081392,13675.15507,0.005800981,0.023249548
500,120,6,a_ip,0,"(1,1)",0,1000,1,-1,all,1,144002.7247,0,0,144002.7247,0,0.039782213
500,120,6,b_basisip,0,"(1,1)",0,1000,1,-1,all,1,1197.234813,50.55033898,0,1146.684474,0.043123979,0.084621759
500,120,6,d_sag,0,"(1,1)",0,1000,1,-1,all,1,59112.07778,656.2106245,6.825106621,58449.04205,0.003365272,0.043281363
500,120,6,e_mag,0,"(1,1)",0,1000,1,-1,all,1,33036.67535,235.8824573,10.90575385,32789.88714,0.004169569,0.044117656
500,120,6,e_mag,0,"(1,1)",1,1000,1,-1,all,1,94096.50586,72.26170778,8.83657074,94015.40758,0.010391116,0.05058671
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0,all,1,2337.741332,199.8942394,21.4881382,2116.358954,0.042875396,0.084363287
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0,space,2,1832.5298,149.7685664,16.33170224,1666.429532,0.04113997,0.082558822
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0.1,all,1,2174.559237,198.9440618,21.308887,1954.306288,0.042875405,0.084363297
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0.1,space,2,1905.208041,149.3021743,16.12094069,1739.784926,0.041139975,0.082558827
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0,all,1,2550.75964,197.525033,21.1932025,2332.041404,0.023651877,0.064375014
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0,space,2,1910.780704,153.3791163,15.88454628,1741.517042,0.021844451,0.062495684
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0.1,all,1,1161.053336,199.2101374,21.30590438,940.537294,0.027774177,0.068661308
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0.1,space,2,907.0459993,149.465488,16.23823488,741.3422765,0.02661942,0.067460612
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,1,0,all,1,8409.317855,224.129539,21.61858368,8163.569732,0.011767067,0.0520174
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,1,0,space,2,11737.79121,162.098106,16.12478042,11559.56833,0.013006077,0.0533057
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0,all,1,1970.19067,143.6115546,18.68727541,1807.89184,0.040343382,0.081730544
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0,space,1,1970.19067,143.6115546,18.68727541,1807.89184,0.040343382,0.081730544
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0.1,all,1,2300.401884,141.8835421,18.72166014,2139.796682,0.040884097,0.08229277
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0.1,space,1,2300.401884,141.8835421,18.72166014,2139.796682,0.040884097,0.08229277
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0,all,1,4256.219652,144.0354915,18.63089848,4093.553262,0.034186055,0.075328264
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0,space,1,4256.219652,144.0354915,18.63089848,4093.553262,0.034186055,0.075328264
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0.1,all,1,2092.944053,142.8704481,18.6463604,1931.427244,0.034848944,0.076017525
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0.1,space,1,2092.944053,142.8704481,18.6463604,1931.427244,0.034848944,0.076017525
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,1,0,all,1,16207.69355,72.07720923,9.322242737,16126.2941,0.019615973,0.060178552
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,all,1,5462.745178,213.2921938,24.69179248,5224.761192,0.036746126,0.07799018
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,space,2,4290.984095,160.4013892,18.58845579,4111.99425,0.035524787,0.076720255
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,all,1,4730.762063,234.4259062,32.5488472,4463.78731,0.038411295,0.079721594
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,space,2,3501.845686,170.6830253,22.52110231,3308.641558,0.037056245,0.078312637
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,all,1,2736.923924,214.2114996,24.73020076,2497.982224,0.021638651,0.062281698
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,space,2,2074.625216,165.3377327,20.973526,1888.313957,0.020807851,0.061417847
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,all,1,1950.348354,213.7671632,24.74398852,1711.837202,0.029225103,0.070169955
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,space,2,1586.183356,160.4753305,18.81580937,1406.892216,0.027827716,0.068716977
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,all,1,8684.683982,213.879198,24.69520568,8446.109578,0.011301097,0.051532892
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,space,2,5413.756355,163.23641,19.86201644,5230.657929,0.007871064,0.047966405
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,all,1,5434.704194,147.5676827,23.77352476,5263.362986,0.030464674,0.071458838
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,space,1,5434.704194,147.5676827,23.77352476,5263.362986,0.030464674,0.071458838
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,all,1,1070.932151,146.8067093,24.65910816,899.4663338,0.051743085,0.093583753
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,space,1,1070.932151,146.8067093,24.65910816,899.4663338,0.051743085,0.093583753
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,all,1,6074.348998,147.0433474,23.90326882,5903.402382,0.027410235,0.068282888
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,space,1,6074.348998,147.0433474,23.90326882,5903.402382,0.027410235,0.068282888
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,all,1,3470.396033,148.1967988,23.59282828,3298.606406,0.030796619,0.07180399
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,space,1,3470.396033,148.1967988,23.59282828,3298.606406,0.030796619,0.07180399
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,1,0,all,1,7551.746711,145.9699965,23.6414504,7382.135264,0.015362781,0.055756159
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,1,0,space,1,7551.746711,145.9699965,23.6414504,7382.135264,0.015362781,0.055756159
500,120,6,e_mag,1,"(1,1)",0,100,1,-1,all,1,15499.02041,1253.362803,29.94049239,14215.71711,0.003642055,0.043569156
500,120,6,e_mag,1,"(1,1)",0,10,1,-1,all,1,144789.2332,767.6766636,19.83240438,144001.7241,0.009345572,0.049499572
500,120,6,e_mag,1,"(1,1)",1,100,1,-1,all,1,66937.08309,63.85319829,9.348224401,66863.88167,0.010391116,0.05058671
500,120,6,e_mag,1,"(1,1)",1,10,1,-1,all,1,124815.3295,487.9470084,17.28264713,124310.0998,0.009930173,0.05010743
1000,120,6,a_ip,0,"(1,1)",0,1000,1,-1,all,1,144002.6688,0,0,144002.6688,0,0.061924505
1000,120,6,b_basisip,0,"(1,1)",0,1000,1,-1,all,1,529.842994,58.11261296,0,471.730381,0.066201311,0.1322253
1000,120,6,d_sag,0,"(1,1)",0,1000,1,-1,all,1,8711.091574,503.6784346,5.5155406,8201.897599,0.002850065,0.064951059
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,all,1,1053.479567,105.7962728,16.13137388,931.55192,0.062361279,0.128147476
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,space,2,853.1726156,76.04262078,12.34277976,764.7872151,0.062000686,0.127764553
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,all,1,1242.325824,105.1470566,16.13106394,1121.047704,0.062361279,0.128147476
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,space,2,932.7460701,75.72284377,12.42737853,844.5958478,0.062361279,0.128147476
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,all,1,1807.524071,104.7187018,16.17020512,1686.635164,0.056640289,0.122072216
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,space,2,1265.787458,75.4725678,12.3256973,1177.989193,0.053128131,0.11834257
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,all,1,953.4317933,104.0910926,16.15318871,833.187512,0.062361279,0.128147476
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,space,2,784.0955861,75.12311947,12.2946651,696.6778015,0.061700418,0.127445691
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,1,0,all,1,5303.675449,52.39256358,8.084472895,5243.198413,0.035837697,0.099981435
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,1,0,space,1,4204.522675,46.57722282,8.834468365,4149.110984,0.030771529,0.094601546
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,all,1,1334.422435,89.37767744,15.87742567,1229.167332,0.059824831,0.125453959
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,space,1,1334.422435,89.37767744,15.87742567,1229.167332,0.059824831,0.125453959
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,all,1,1364.414469,78.30086326,17.00426817,1269.109338,0.06253021,0.128326868
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,space,1,1364.414469,78.30086326,17.00426817,1269.109338,0.06253021,0.128326868
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0,all,1,2103.939589,89.18349076,15.8234601,1998.932638,0.05859874,0.124151944
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0,space,1,2103.939589,89.18349076,15.8234601,1998.932638,0.05859874,0.124151944
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,all,1,1107.673312,88.20103884,15.80886507,1003.663408,0.059895734,0.125529253
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,space,1,1107.673312,88.20103884,15.80886507,1003.663408,0.059895734,0.125529253
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,1,0,all,1,7727.569652,39.18328309,8.583195925,7679.803173,0.039748266,0.104134163
1000,120,6,e_mag,0,"(1,1)",0,1000,1,-1,all,2,164151.9004,968.8227713,22.24020874,163160.8374,0.016345577,0.079282274
1000,120,6,e_mag,0,"(1,1)",1,1000,1,-1,all,1,58946.201,39.47494078,8.641641855,58898.08442,0.017858408,0.080888787
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,all,1,551.0836568,128.9423251,22.83303404,399.3082976,0.07960138,0.146455162
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,space,2,435.6455657,93.29439343,17.55260003,324.7985723,0.079601377,0.146455158
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,all,1,578.696128,112.7632751,24.27187682,441.660976,0.079601381,0.146455162
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,space,2,384.8546497,80.19299698,17.14778125,287.5138715,0.076916859,0.143604403
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,all,1,2460.373451,127.9781847,22.8170166,2309.57825,0.051955187,0.117096991
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,space,2,1890.550282,92.60078228,17.45445478,1780.495045,0.050191029,0.115223589
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,all,1,1482.487794,128.340095,22.83977556,1331.307924,0.055558285,0.12092321
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,space,2,1146.27415,92.69594884,17.58028698,1035.997914,0.054515144,0.119815473
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,all,1,4986.931989,56.89177942,11.89474368,4918.145466,0.032124979,0.096038808
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,space,1,5995.746837,56.71228218,12.2816143,5926.752941,0.030298597,0.094099328
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,all,1,763.9216465,103.886991,20.4303217,639.6043338,0.079205557,0.146034827
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,space,1,763.9216465,103.886991,20.4303217,639.6043338,0.079205557,0.146034827
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,all,1,657.6366643,91.47799062,22.0954237,544.06325,0.081495944,0.148467045
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,space,1,657.6366643,91.47799062,22.0954237,544.06325,0.081495944,0.148467045
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,all,1,1410.348654,104.9064116,20.46105862,1284.981184,0.045984404,0.11075647
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,space,1,1410.348654,104.9064116,20.46105862,1284.981184,0.045984404,0.11075647
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,all,1,2425.412406,92.45533944,21.84520006,2311.111866,0.055320017,0.120670187
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,space,1,2425.412406,92.45533944,21.84520006,2311.111866,0.055320017,0.120670187
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,1,0,all,1,6327.189182,45.4549911,11.00029922,6270.733892,0.037833381,0.1021007
1000,120,6,e_mag,1,"(1,1)",0,100,1,-1,all,1,36287.91405,47.45092893,8.463390112,36231.99973,0.013774123,0.076551584
1000,120,6,e_mag,1,"(1,1)",0,50,1,-1,all,1,289929.4293,1891.070747,35.88657236,288002.472,0.018917032,0.082012965
1000,120,6,e_mag,1,"(1,1)",0,30,1,-1,all,1,115787.9431,780.8986905,14.71868229,114992.3257,0.015416062,0.0782952
1000,120,6,e_mag,1,"(1,1)",0,10,1,-1,all,1,74805.71118,783.7876737,17.65361714,74004.26989,0.0085947,0.071051428
1000,120,6,e_mag,1,"(1,1)",1,100,1,-1,all,1,54821.73484,39.2087791,8.537291288,54773.98877,0.017858408,0.080888787
1000,120,6,e_mag,1,"(1,1)",1,50,1,-1,all,1,48190.31055,458.5952213,17.26351619,47714.45181,0.021364927,0.084612445
1000,120,6,e_mag,1,"(1,1)",1,30,1,-1,all,1,62529.95397,562.5698075,14.91213655,61952.47203,0.022786224,0.086121755
1000,120,6,e_mag,1,"(1,1)",1,10,1,-1,all,1,52301.02929,333.9591992,13.642169,51953.42792,0.015238739,0.078106895
