location,shift,drivers,unused,totalhoursworked,utilization,nightsaway
1,1,9,4,120.0,0.37037037037037035,5.0
1,2,2,0,48.0,0.6666666666666666,3.0
2,1,8,0,240.0,0.8333333333333334,11.0
2,2,3,0,108.0,1.0,4.0
3,1,1,0,36.0,1.0,1.0
3,2,1,0,24.0,0.6666666666666666,1.0
4,1,1,0,36.0,1.0,2.0
4,2,1,0,36.0,1.0,2.0
5,1,2,0,66.0,0.9166666666666666,3.0
5,2,2,0,72.0,1.0,4.0
6,1,1,0,36.0,1.0,1.0
6,2,4,0,132.0,0.9166666666666666,5.0
7,1,5,0,180.0,1.0,7.0
7,2,6,0,204.0,0.9444444444444444,8.0
8,1,3,0,108.0,1.0,6.0
8,2,5,0,180.0,1.0,10.0
9,1,10,1,204.0,0.5666666666666667,12.0
9,2,5,0,174.0,0.9666666666666667,10.0
10,1,7,0,246.0,0.9761904761904762,10.0
10,2,3,0,108.0,1.0,4.0
11,1,5,0,180.0,1.0,8.0
11,2,5,0,174.0,0.9666666666666667,10.0
12,1,3,0,108.0,1.0,5.0
12,2,4,0,138.0,0.9583333333333334,5.0
13,1,2,0,72.0,1.0,4.0
13,2,0,0,0,1,0
14,1,5,0,180.0,1.0,10.0
14,2,3,0,108.0,1.0,6.0
15,1,4,0,144.0,1.0,6.0
15,2,9,0,276.0,0.8518518518518519,14.0
16,1,2,0,72.0,1.0,3.0
16,2,2,0,72.0,1.0,2.0
17,1,2,0,72.0,1.0,4.0
17,2,1,0,36.0,1.0,2.0
18,1,2,0,72.0,1.0,3.0
18,2,0,0,0,1,0
19,1,1,0,36.0,1.0,1.0
19,2,5,0,180.0,1.0,7.0
20,1,3,0,72.0,0.6666666666666666,3.0
20,2,2,0,48.0,0.6666666666666666,2.0
21,1,4,0,120.0,0.8333333333333334,6.0
21,2,4,0,96.0,0.6666666666666666,4.0
22,1,8,0,276.0,0.9583333333333334,11.0
22,2,4,0,138.0,0.9583333333333334,6.0
23,1,1,0,36.0,1.0,2.0
23,2,2,0,66.0,0.9166666666666666,4.0
24,1,3,0,108.0,1.0,6.0
24,2,5,0,132.0,0.7333333333333333,6.0
25,1,7,0,246.0,0.9761904761904762,10.0
25,2,9,0,324.0,1.0,15.0
26,1,3,0,108.0,1.0,4.0
26,2,5,0,180.0,1.0,9.0
27,1,3,0,84.0,0.7777777777777778,4.0
27,2,0,0,0,1,0
28,1,3,0,102.0,0.9444444444444444,6.0
28,2,1,0,24.0,0.6666666666666666,1.0
29,1,1,0,36.0,1.0,1.0
29,2,0,0,0,1,0
30,1,7,0,252.0,1.0,9.0
30,2,5,0,180.0,1.0,6.0
31,1,6,0,144.0,0.6666666666666666,6.0
31,2,1,0,36.0,1.0,2.0
32,1,4,0,144.0,1.0,6.0
32,2,4,0,144.0,1.0,6.0
33,1,5,0,180.0,1.0,10.0
33,2,5,0,168.0,0.9333333333333333,9.0
34,1,3,0,96.0,0.8888888888888888,5.0
34,2,0,0,0,1,0
35,1,2,0,66.0,0.9166666666666666,2.0
35,2,3,0,108.0,1.0,5.0
36,1,6,1,156.0,0.7222222222222222,8.0
36,2,4,0,132.0,0.9166666666666666,7.0
37,1,7,0,240.0,0.9523809523809523,13.0
37,2,9,0,216.0,0.6666666666666666,9.0
38,1,1,1,0.0,0.0,0.0
38,2,2,0,48.0,0.6666666666666666,2.0
39,1,6,0,186.0,0.8611111111111112,9.0
39,2,5,0,156.0,0.8666666666666667,6.0
40,1,3,0,108.0,1.0,5.0
40,2,4,1,72.0,0.5,4.0
41,1,0,0,0,1,0
41,2,1,0,12.0,0.3333333333333333,1.0
42,1,5,0,144.0,0.8,7.0
42,2,7,0,228.0,0.9047619047619048,12.0
43,1,4,0,144.0,1.0,6.0
43,2,9,0,294.0,0.9074074074074074,15.0
44,1,7,2,120.0,0.47619047619047616,6.0
44,2,3,0,84.0,0.7777777777777778,4.0
45,1,9,0,312.0,0.9629629629629629,17.0
45,2,15,0,444.0,0.8222222222222222,22.0
46,1,2,0,48.0,0.6666666666666666,2.0
46,2,3,0,96.0,0.8888888888888888,5.0
47,1,3,0,102.0,0.9444444444444444,5.0
47,2,7,0,246.0,0.9761904761904762,13.0
48,1,5,0,120.0,0.6666666666666666,5.0
48,2,3,0,96.0,0.8888888888888888,5.0
49,1,7,4,60.0,0.23809523809523808,3.0
49,2,3,2,36.0,0.3333333333333333,2.0
50,1,6,0,168.0,0.7777777777777778,8.0
50,2,8,0,228.0,0.7916666666666666,12.0
51,1,4,0,120.0,0.8333333333333334,6.0
51,2,6,1,132.0,0.6111111111111112,6.0
52,1,5,1,60.0,0.3333333333333333,4.0
52,2,6,5,24.0,0.1111111111111111,1.0
53,1,7,0,180.0,0.7142857142857143,8.0
53,2,8,0,240.0,0.8333333333333334,12.0
54,1,6,0,204.0,0.9444444444444444,8.0
54,2,4,0,138.0,0.9583333333333334,6.0
55,1,9,3,132.0,0.4074074074074074,7.0
55,2,8,1,192.0,0.6666666666666666,9.0
56,1,7,0,168.0,0.6666666666666666,7.0
56,2,9,1,204.0,0.6296296296296297,8.0
57,1,2,0,24.0,0.3333333333333333,2.0
57,2,1,0,12.0,0.3333333333333333,1.0
58,1,3,1,60.0,0.5555555555555556,3.0
58,2,0,0,0,1,0
59,1,4,2,48.0,0.3333333333333333,2.0
59,2,2,2,0.0,0.0,0.0
60,1,11,2,240.0,0.6060606060606061,10.0
60,2,7,2,144.0,0.5714285714285714,8.0
61,1,4,3,12.0,0.08333333333333333,1.0
61,2,0,0,0,1,0
62,1,5,4,24.0,0.13333333333333333,1.0
62,2,5,4,12.0,0.06666666666666667,1.0
63,1,5,5,0.0,0.0,0.0
63,2,6,6,0.0,0.0,0.0
64,1,3,0,72.0,0.6666666666666666,4.0
64,2,4,1,84.0,0.5833333333333334,4.0
65,1,3,3,0.0,0.0,0.0
65,2,5,5,0.0,0.0,0.0
66,1,2,2,0.0,0.0,0.0
66,2,1,1,0.0,0.0,0.0
