id,currtime,order,actual,best
69,0,72,6.331,6.331
69,0,108,5.486,5.486
69,0,126,5.629,5.629
69,0,154,23.245,23.245
69,0,177,18.825,18.825
69,0,184,23.72,23.466
69,0,197,6.331,6.331
69,0,201,8.19,8.19
69,0,206,19.696,10.179
69,0,219,5.616,5.616
69,0,225,6.24,6.24
69,0,229,2.275,2.275
69,0,255,13.729,11.986
69,0,259,5.421,5.421
69,0,260,16.394,16.394
69,0,264,19.391,18.5
69,0,274,6.331,6.331
69,0,280,18.11,18.11
69,0,285,18.331,15.685
69,0,300,7.475,7.475
69,24,15,19.371,13.371
69,24,43,19.514,19.514
69,24,54,22.361,22.361
69,24,81,19.514,19.514
69,24,85,9.445,9.445
69,24,98,10.361,10.361
69,24,104,32.574,19.234
69,24,105,35.629,11.629
69,24,116,11.72,7.865
69,24,117,8.125,8.125
69,24,119,5.629,5.629
69,24,123,5.941,5.941
69,24,124,18.695,6.695
69,24,130,17.98,17.98
69,24,131,30.305,30.305
69,24,132,47.05,35.05
69,24,133,10.361,10.361
69,24,137,3.575,3.575
69,24,138,16.186,4.186
69,24,146,5.954,5.954
69,24,147,30.136,18.136
69,24,148,17.954,17.954
69,24,149,35.954,29.954
69,24,152,34.634,30.851
69,24,153,18.11,18.11
69,24,155,23.206,23.206
69,24,171,4.641,4.641
69,24,172,14.184,6.955
69,24,183,11.245,11.245
69,24,187,11.954,11.954
69,24,191,23.954,23.954
69,24,194,10.205,10.205
69,24,199,6.331,6.331
69,24,202,32.424,24.571
69,24,204,45.445,39.445
69,24,205,6.331,6.331
69,24,209,29.135,23.135
69,24,215,23.206,16.12
69,24,221,30.5,23.141
69,24,222,30.331,30.331
69,24,223,15.965,14.216
69,24,224,16.186,4.186
69,24,232,10.641,8.125
69,24,236,6.24,6.24
69,24,237,29.72,29.466
69,24,242,32.411,20.411
69,24,245,18.11,18.11
69,24,249,46.985,34.985
69,24,253,29.239,29.239
69,24,261,6.331,6.331
69,24,265,23.141,18.5
69,24,266,30.331,24.331
69,24,267,30.526,18.526
69,24,271,23.154,11.154
69,24,275,17.421,17.421
69,24,277,7.475,7.475
69,24,279,18.5,18.5
69,24,282,18.11,18.11
69,24,283,5.629,5.629
69,24,291,46.985,34.985
69,24,295,30.37,24.37
69,24,296,35.154,13.91
69,24,297,30.331,24.331
69,24,301,35.551,22.101
69,48,1,11.245,11.245
69,48,2,23.154,23.154
69,48,3,17.135,16.679
69,48,10,5.941,5.941
69,48,12,18.136,18.136
69,48,13,21.685,18.331
69,48,14,6.11,6.11
69,48,16,18.331,15.685
69,48,17,23.141,17.141
69,48,19,10.641,8.125
69,48,21,7.371,7.371
69,48,22,11.245,11.245
69,48,23,6.24,6.24
69,48,25,9.289,6.721
69,48,27,32.606,18.136
69,48,30,9.965,8.216
69,48,32,23.154,11.154
69,48,36,7.371,7.371
69,48,40,45.074,30.11
69,48,46,6.24,6.24
69,48,49,11.954,11.954
