experiment_id,formulation,driver,shift,homeloc,hours,legendname
10,heterogeneous,1,2,1,6.89,With driver equity
10,heterogeneous,2,2,1,2.236,With driver equity
10,heterogeneous,3,2,1,8.619,With driver equity
10,heterogeneous,4,2,1,18.031,With driver equity
10,heterogeneous,5,2,2,10.79,With driver equity
10,heterogeneous,6,1,2,17.128,With driver equity
10,heterogeneous,7,1,2,21.931,With driver equity
10,heterogeneous,8,1,2,2.782,With driver equity
10,heterogeneous,9,2,2,25.572,With driver equity
10,heterogeneous,10,1,2,16.159,With driver equity
10,heterogeneous,11,1,2,8.541,With driver equity
10,heterogeneous,12,2,2,23.712,With driver equity
10,heterogeneous,13,1,3,24.726,With driver equity
10,heterogeneous,14,2,4,20.371,With driver equity
10,heterogeneous,15,2,4,18.278,With driver equity
10,heterogeneous,16,2,5,6.019,With driver equity
10,heterogeneous,17,2,5,16.224,With driver equity
10,heterogeneous,18,1,6,11.648,With driver equity
10,heterogeneous,19,1,6,9.165,With driver equity
10,heterogeneous,20,2,6,18.551,With driver equity
10,heterogeneous,21,1,6,8.203,With driver equity
10,heterogeneous,22,2,7,15.21,With driver equity
10,heterogeneous,23,1,7,18.929,With driver equity
10,heterogeneous,24,2,7,19.266,With driver equity
10,heterogeneous,25,2,7,0,With driver equity
10,heterogeneous,26,1,7,25.558,With driver equity
10,heterogeneous,27,2,7,12.929,With driver equity
10,heterogeneous,28,2,7,19.266,With driver equity
10,heterogeneous,29,2,7,12.929,With driver equity
10,heterogeneous,30,2,7,20.657,With driver equity
10,heterogeneous,31,2,8,17.849,With driver equity
10,heterogeneous,32,2,8,12.506,With driver equity
10,heterogeneous,33,2,8,13.156,With driver equity
10,heterogeneous,34,1,8,19.747,With driver equity
10,heterogeneous,35,2,8,19.097,With driver equity
10,heterogeneous,36,1,8,13.156,With driver equity
10,heterogeneous,37,1,9,15.347,With driver equity
10,heterogeneous,38,2,9,6.877,With driver equity
10,heterogeneous,39,2,9,8.216,With driver equity
10,heterogeneous,40,1,9,19.487,With driver equity
10,heterogeneous,41,1,9,30.615,With driver equity
10,heterogeneous,42,2,9,10.491,With driver equity
10,heterogeneous,43,1,9,11.401,With driver equity
10,heterogeneous,44,2,9,8.216,With driver equity
10,heterogeneous,45,2,9,22.399,With driver equity
10,heterogeneous,46,1,9,30.615,With driver equity
10,heterogeneous,47,2,9,20.82,With driver equity
10,heterogeneous,48,2,10,24.59,With driver equity
10,heterogeneous,49,1,10,11.856,With driver equity
10,heterogeneous,50,1,10,9.074,With driver equity
10,heterogeneous,51,2,10,8.229,With driver equity
10,heterogeneous,52,2,10,17.648,With driver equity
10,heterogeneous,53,1,10,11.856,With driver equity
10,heterogeneous,54,2,10,17.264,With driver equity
10,heterogeneous,55,2,10,11.648,With driver equity
10,heterogeneous,56,2,11,11.674,With driver equity
10,heterogeneous,57,1,11,21.58,With driver equity
10,heterogeneous,58,2,11,17.674,With driver equity
10,heterogeneous,59,2,11,23.485,With driver equity
